phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.724056e+01,1.660800e-04,3.312000e-05,8.588800e-05,2.108800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.364001e+01,2.099200e-04,3.689600e-05,1.173120e-04,2.836800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.164857e+01,2.458080e-04,3.884800e-05,1.424320e-04,3.612800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,1.006054e+01,2.846080e-04,4.153600e-05,1.708960e-04,4.217600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.580650e+00,2.988640e-04,4.558400e-05,1.756000e-04,4.648000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,8.308509e+00,3.446240e-04,5.217600e-05,2.058400e-04,5.380800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.033262e+00,3.564320e-04,5.560000e-05,2.090240e-04,5.760000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.218335e+00,3.966720e-04,5.952000e-05,2.377760e-04,6.411200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.038345e+00,4.068160e-04,6.313600e-05,2.404000e-04,6.652800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.356586e+00,4.504480e-04,6.657600e-05,2.701120e-04,7.424000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.341305e+01,2.134720e-04,8.060800e-05,8.488000e-05,2.065600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.124667e+01,2.545920e-04,8.472000e-05,1.141600e-04,2.790400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.689062e+00,2.955200e-04,8.910400e-05,1.420160e-04,3.558400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.349210e+00,3.429440e-04,9.870400e-05,1.714720e-04,4.172800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.077498e+00,3.544800e-04,1.016960e-04,1.757280e-04,4.508800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,7.208740e+00,3.972000e-04,1.045440e-04,2.056960e-04,5.225600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.030603e+00,4.072640e-04,1.076000e-04,2.086400e-04,5.617600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.386530e+00,4.483360e-04,1.101120e-04,2.389760e-04,6.321600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.231526e+00,4.594880e-04,1.140960e-04,2.424960e-04,6.609600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-12,5.729006e+00,4.997920e-04,1.164480e-04,2.713440e-04,7.235200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.402484e+01,2.041600e-04,4.068800e-05,1.079200e-04,2.865600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.118971e+01,2.558880e-04,4.532800e-05,1.459840e-04,3.702400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.182931e+00,3.118080e-04,5.088000e-05,1.830400e-04,4.918400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.757466e+00,3.691040e-04,5.929600e-05,2.201760e-04,5.934400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,6.615540e+00,4.328160e-04,7.212800e-05,2.579040e-04,6.979200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.807840e+00,4.930080e-04,8.304000e-05,2.962400e-04,8.006400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.145695e+00,5.564480e-04,9.840000e-05,3.338240e-04,8.996800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.784434e+00,5.984640e-04,1.109120e-04,3.512960e-04,9.884800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.324303e+00,6.621440e-04,1.231680e-04,3.895520e-04,1.096160e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.035197e+00,7.095840e-04,1.484640e-04,4.028000e-04,1.183840e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-3,1.209250e+01,2.367840e-04,7.222400e-05,1.084960e-04,2.852800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.900801e+00,2.892000e-04,7.710400e-05,1.460960e-04,3.748800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.378135e+00,3.417600e-04,8.195200e-05,1.829920e-04,4.732800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.191937e+00,3.981280e-04,8.734400e-05,2.201440e-04,5.969600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-7,6.233480e+00,4.593440e-04,9.787200e-05,2.581280e-04,6.982400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.569605e+00,5.140960e-04,1.035360e-04,2.959680e-04,7.990400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-9,4.983208e+00,5.745920e-04,1.146720e-04,3.339040e-04,8.972800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.707164e+00,6.082880e-04,1.219200e-04,3.508480e-04,9.726400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.264231e+00,6.714720e-04,1.322400e-04,3.905920e-04,1.096320e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.063971e+00,7.045600e-04,1.419680e-04,4.029760e-04,1.187840e-04,1.433600e-05,
-1.000000,1024,BF16x9,4.023313e+01,7.116800e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.908060e+01,1.500640e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,8.690395e+01,2.635840e-04,6.804800e-05,1.217280e-04,3.540800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,6.971784e+01,3.285600e-04,7.835200e-05,1.616320e-04,4.652800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,5.912024e+01,3.874560e-04,8.430400e-05,2.026400e-04,5.779200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-6,5.020535e+01,4.562560e-04,9.491200e-05,2.423200e-04,7.260800e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.603395e+01,4.976000e-04,1.052800e-04,2.615040e-04,8.166400e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,3.980581e+01,5.754560e-04,1.247520e-04,3.009120e-04,9.721600e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-9,3.730505e+01,6.140320e-04,1.367200e-04,3.172960e-04,1.044160e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.358408e+01,6.820640e-04,1.487040e-04,3.576800e-04,1.184320e-04,3.283200e-05,
-1.000000,2048,OS2-i8-fast-11,3.152316e+01,7.266560e-04,1.595200e-04,3.757280e-04,1.294720e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-12,2.890424e+01,7.924960e-04,1.723520e-04,4.161120e-04,1.413440e-04,3.696000e-05,
-1.000000,2048,OS2-i8-accu-3,6.475443e+01,3.537440e-04,1.589440e-04,1.207360e-04,3.507200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,5.479603e+01,4.180320e-04,1.684800e-04,1.612480e-04,4.620800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-5,4.750492e+01,4.821920e-04,1.773120e-04,2.012320e-04,6.038400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-6,4.200868e+01,5.452800e-04,1.854720e-04,2.413120e-04,7.310400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-7,3.894390e+01,5.881920e-04,1.954400e-04,2.604000e-04,8.204800e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-8,3.479199e+01,6.583840e-04,2.090240e-04,3.003040e-04,9.550400e-05,3.072000e-05,
-1.000000,2048,OS2-i8-accu-9,3.271982e+01,7.000800e-04,2.198880e-04,3.167840e-04,1.066240e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-10,2.996914e+01,7.643360e-04,2.287360e-04,3.567200e-04,1.194720e-04,3.481600e-05,
-1.000000,2048,OS2-i8-accu-11,2.849180e+01,8.039680e-04,2.379360e-04,3.749280e-04,1.306080e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-12,2.640214e+01,8.676000e-04,2.472960e-04,4.145120e-04,1.412800e-04,3.689600e-05,
