phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.479765e+00,1.688320e-04,3.718400e-05,8.601600e-05,1.907200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.888259e+00,2.078400e-04,4.064000e-05,1.140160e-04,2.528000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.772061e+00,2.480320e-04,4.504000e-05,1.421280e-04,3.252800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.977110e+00,2.876480e-04,4.833600e-05,1.709120e-04,3.856000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.826240e+00,2.966400e-04,5.094400e-05,1.727520e-04,4.204800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.225068e+00,3.388480e-04,5.524800e-05,2.033760e-04,4.848000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.113197e+00,3.480640e-04,5.828800e-05,2.061600e-04,5.134400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.674229e+00,3.896480e-04,6.180800e-05,2.369280e-04,5.763200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.581575e+00,3.997280e-04,6.547200e-05,2.385280e-04,6.147200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.246915e+00,4.409280e-04,6.836800e-05,2.692960e-04,6.732800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.479722e+00,2.209440e-04,8.947200e-05,8.531200e-05,1.880000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.488467e+00,2.608480e-04,9.212800e-05,1.138720e-04,2.619200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.807828e+00,2.977760e-04,9.518400e-05,1.419040e-04,3.222400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.152134e+00,3.448000e-04,1.059200e-04,1.707200e-04,3.803200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.029111e+00,3.553280e-04,1.106400e-04,1.730080e-04,4.038400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.550734e+00,4.032000e-04,1.168800e-04,2.047520e-04,4.936000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.475837e+00,4.118880e-04,1.205280e-04,2.074080e-04,5.115200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.162902e+00,4.526400e-04,1.235360e-04,2.377760e-04,5.742400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,3.090794e+00,4.632000e-04,1.278560e-04,2.392000e-04,6.123200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.839325e+00,5.042240e-04,1.314080e-04,2.684960e-04,6.780800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.064463e+00,2.026560e-04,4.283200e-05,1.078880e-04,2.515200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.634310e+00,2.540960e-04,4.675200e-05,1.452800e-04,3.406400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.694077e+00,3.049920e-04,5.059200e-05,1.824800e-04,4.294400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,4.011948e+00,3.568480e-04,5.526400e-05,2.201440e-04,5.152000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.469638e+00,4.126240e-04,6.292800e-05,2.578560e-04,6.076800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.062863e+00,4.674240e-04,7.046400e-05,2.961120e-04,6.856000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.719876e+00,5.263680e-04,8.204800e-05,3.342400e-04,7.692800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.566501e+00,5.578240e-04,8.868800e-05,3.507840e-04,8.400000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.334120e+00,6.133600e-04,9.691200e-05,3.887040e-04,9.251200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.221302e+00,6.445120e-04,1.064160e-04,4.014080e-04,1.000000e-04,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,5.986384e+00,2.391520e-04,7.872000e-05,1.080640e-04,2.502400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.950674e+00,2.891840e-04,8.145600e-05,1.452640e-04,3.422400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.181824e+00,3.423520e-04,8.779200e-05,1.825920e-04,4.243200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.637633e+00,3.935680e-04,9.192000e-05,2.200320e-04,5.092800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.187464e+00,4.491520e-04,9.948800e-05,2.582080e-04,5.995200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.831598e+00,5.056000e-04,1.083840e-04,2.961440e-04,6.841600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-9,2.539117e+00,5.638400e-04,1.193120e-04,3.339360e-04,7.640000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.411494e+00,5.936800e-04,1.257440e-04,3.497280e-04,8.363200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.193369e+00,6.527200e-04,1.348960e-04,3.886080e-04,9.240000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.093260e+00,6.839360e-04,1.443200e-04,4.018720e-04,9.953600e-05,1.020800e-05,
-1.000000,1024,BF16x9,2.048031e+01,6.990400e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.678582e+00,1.479200e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.353655e+01,2.630720e-04,7.446400e-05,1.169280e-04,3.120000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.543702e+01,3.232000e-04,8.412800e-05,1.569600e-04,4.137600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.994344e+01,3.824960e-04,9.424000e-05,1.955520e-04,5.163200e-05,2.252800e-05,
