phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.728552e+01,1.656480e-04,3.374400e-05,8.547200e-05,2.011200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.384366e+01,2.068320e-04,3.854400e-05,1.131680e-04,2.753600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.144226e+01,2.502400e-04,4.433600e-05,1.420480e-04,3.545600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,9.752424e+00,2.936000e-04,5.144000e-05,1.711680e-04,4.169600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.366532e+00,3.056960e-04,5.524800e-05,1.760800e-04,4.456000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.136627e+00,3.519040e-04,6.044800e-05,2.071680e-04,5.136000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.895741e+00,3.626400e-04,6.459200e-05,2.089280e-04,5.512000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.071442e+00,4.049120e-04,6.804800e-05,2.393600e-04,6.251200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,6.931212e+00,4.131040e-04,7.155200e-05,2.403360e-04,6.508800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.258112e+00,4.575360e-04,7.542400e-05,2.712000e-04,7.190400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.339599e+01,2.137440e-04,8.220800e-05,8.547200e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.102291e+01,2.597600e-04,9.028800e-05,1.141440e-04,2.774400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.601211e+00,2.982240e-04,9.251200e-05,1.423040e-04,3.480000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.410423e+00,3.404480e-04,9.824000e-05,1.714240e-04,4.131200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.090645e+00,3.539040e-04,1.019200e-04,1.764800e-04,4.462400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.209902e+00,3.971360e-04,1.041600e-04,2.076960e-04,5.155200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.039176e+00,4.067680e-04,1.078560e-04,2.103200e-04,5.446400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.399548e+00,4.474240e-04,1.111520e-04,2.390080e-04,6.232000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.240001e+00,4.588640e-04,1.159360e-04,2.410240e-04,6.486400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.707810e+00,5.016480e-04,1.179360e-04,2.714080e-04,7.273600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.358513e+01,2.107680e-04,4.872000e-05,1.079680e-04,2.825600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.085706e+01,2.637280e-04,5.324800e-05,1.454080e-04,3.755200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.050573e+00,3.163680e-04,5.801600e-05,1.833920e-04,4.657600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,7.605158e+00,3.764960e-04,6.777600e-05,2.198080e-04,5.868800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,6.546089e+00,4.374080e-04,7.849600e-05,2.576480e-04,6.876800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.726990e+00,4.999680e-04,9.164800e-05,2.959680e-04,7.897600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.107511e+00,5.606080e-04,1.028320e-04,3.338720e-04,8.926400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.790582e+00,5.976960e-04,1.146240e-04,3.493440e-04,9.683200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.335303e+00,6.604640e-04,1.272960e-04,3.870240e-04,1.071200e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.115846e+00,6.956800e-04,1.393280e-04,4.009600e-04,1.149600e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-3,1.217312e+01,2.352160e-04,7.142400e-05,1.085760e-04,2.840000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.912317e+00,2.888640e-04,7.654400e-05,1.462080e-04,3.905600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-5,8.329004e+00,3.437760e-04,8.230400e-05,1.833440e-04,4.993600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.191937e+00,3.981280e-04,8.828800e-05,2.205920e-04,5.897600e-05,1.028800e-05,
-1.000000,1024,OS2-f8-accu-7,6.288901e+00,4.552960e-04,9.636800e-05,2.578400e-04,6.886400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.601508e+00,5.111680e-04,1.024480e-04,2.959680e-04,7.891200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,5.014065e+00,5.710560e-04,1.128160e-04,3.337920e-04,8.884800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.721446e+00,6.064480e-04,1.216000e-04,3.494880e-04,9.710400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.299473e+00,6.659680e-04,1.315840e-04,3.875040e-04,1.070560e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.112630e+00,6.962240e-04,1.409760e-04,4.001760e-04,1.141600e-04,1.430400e-05,
