phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,9.089647e+00,1.575040e-04,2.643200e-05,8.596800e-05,1.936000e-05,9.248000e-06,
-1.000000,1024,OS2-i8-fast-4,7.159425e+00,1.999680e-04,3.073600e-05,1.142400e-04,2.731200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,6.035241e+00,2.372160e-04,3.171200e-05,1.429120e-04,3.417600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.184754e+00,2.761280e-04,3.505600e-05,1.706080e-04,4.012800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.990434e+00,2.868800e-04,3.859200e-05,1.741760e-04,4.313600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.314503e+00,3.318240e-04,4.707200e-05,2.033120e-04,4.924800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.168188e+00,3.434720e-04,5.024000e-05,2.072320e-04,5.267200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.718664e+00,3.849920e-04,5.494400e-05,2.367360e-04,5.961600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.628193e+00,3.945920e-04,5.800000e-05,2.389280e-04,6.310400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.268382e+00,4.380320e-04,6.240000e-05,2.694720e-04,7.067200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.688480e+00,2.140480e-04,8.264000e-05,8.508800e-05,1.886400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.595553e+00,2.558560e-04,8.651200e-05,1.139200e-04,2.689600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.856099e+00,2.948160e-04,9.011200e-05,1.420960e-04,3.300800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.279424e+00,3.345440e-04,9.441600e-05,1.704640e-04,3.876800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.107532e+00,3.485440e-04,9.976000e-05,1.736960e-04,4.212800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.710337e+00,3.858560e-04,1.015360e-04,2.028480e-04,4.928000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.600744e+00,3.976000e-04,1.040000e-04,2.080320e-04,5.249600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.266711e+00,4.382560e-04,1.063200e-04,2.375360e-04,6.024000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.203440e+00,4.469120e-04,1.080320e-04,2.401600e-04,6.361600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.939503e+00,4.870400e-04,1.112800e-04,2.692960e-04,6.982400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.272309e+00,1.968640e-04,3.643200e-05,1.075680e-04,2.558400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.720765e+00,2.502560e-04,4.176000e-05,1.450240e-04,3.553600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.735815e+00,3.023040e-04,4.745600e-05,1.814240e-04,4.409600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.932947e+00,3.640160e-04,6.179200e-05,2.196320e-04,5.260800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.357920e+00,4.263520e-04,7.681600e-05,2.578880e-04,6.136000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.905051e+00,4.928160e-04,9.465600e-05,2.953280e-04,7.094400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.578185e+00,5.552960e-04,1.099680e-04,3.330240e-04,7.883200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.404108e+00,5.955040e-04,1.272800e-04,3.496000e-04,8.400000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.167231e+00,6.605920e-04,1.431360e-04,3.863520e-04,9.488000e-05,1.022400e-05,
-1.000000,1024,OS2-f8-fast-12,2.017326e+00,7.096800e-04,1.726080e-04,3.994560e-04,1.007040e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,6.232829e+00,2.296960e-04,6.881600e-05,1.083840e-04,2.553600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.073052e+00,2.822080e-04,7.364800e-05,1.451360e-04,3.478400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.280448e+00,3.344640e-04,8.004800e-05,1.815840e-04,4.339200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.687250e+00,3.882720e-04,8.633600e-05,2.202080e-04,5.190400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.207114e+00,4.464000e-04,9.553600e-05,2.576960e-04,6.203200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.868268e+00,4.991360e-04,1.013760e-04,2.950080e-04,7.057600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.567974e+00,5.575040e-04,1.102720e-04,3.337440e-04,8.017600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.428247e+00,5.895840e-04,1.203520e-04,3.493280e-04,8.598400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.209727e+00,6.478880e-04,1.308640e-04,3.869120e-04,9.478400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.106665e+00,6.795840e-04,1.403840e-04,4.010560e-04,1.010240e-04,1.022400e-05,
-1.000000,1024,BF16x9,2.083803e+01,6.870400e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.424740e+00,1.519040e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.638594e+01,2.469120e-04,5.808000e-05,1.177920e-04,3.139200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.694214e+01,3.100320e-04,7.001600e-05,1.573600e-04,4.192000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,3.163461e+01,3.620480e-04,7.241600e-05,1.966720e-04,5.185600e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-6,2.729979e+01,4.195360e-04,8.072000e-05,2.343360e-04,6.214400e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-7,2.501408e+01,4.578720e-04,9.027200e-05,2.546080e-04,6.864000e-05,2.256000e-05,
-1.000000,2048,OS2-i8-fast-8,2.150731e+01,5.325280e-04,1.152160e-04,2.916800e-04,7.884800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-9,2.001532e+01,5.722240e-04,1.269600e-04,3.128640e-04,8.505600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.802639e+01,6.353600e-04,1.400320e-04,3.496640e-04,9.544000e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-11,1.697642e+01,6.746560e-04,1.521920e-04,3.684640e-04,1.020640e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.547301e+01,7.402080e-04,1.655360e-04,4.075040e-04,1.124160e-04,2.867200e-05,
-1.000000,2048,OS2-i8-accu-3,3.554436e+01,3.222240e-04,1.349280e-04,1.166080e-04,3.112000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,3.003642e+01,3.813120e-04,1.428320e-04,1.569760e-04,4.118400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.597061e+01,4.410080e-04,1.523200e-04,1.951680e-04,5.148800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-6,2.298667e+01,4.982560e-04,1.600800e-04,2.338400e-04,6.166400e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-7,2.127654e+01,5.383040e-04,1.698560e-04,2.557120e-04,6.867200e-05,2.256000e-05,
-1.000000,2048,OS2-i8-accu-8,1.891373e+01,6.055520e-04,1.876640e-04,2.912800e-04,7.900800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-9,1.791989e+01,6.391360e-04,1.953120e-04,3.104800e-04,8.521600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.633117e+01,7.013120e-04,2.053440e-04,3.486560e-04,9.542400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-11,1.559028e+01,7.346400e-04,2.135040e-04,3.671200e-04,1.023040e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.438474e+01,7.962080e-04,2.219680e-04,4.062880e-04,1.129120e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-3,2.492003e+01,4.596000e-04,8.204800e-05,2.835680e-04,5.483200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-4,1.928156e+01,5.940000e-04,1.006080e-04,3.791840e-04,7.406400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-5,1.575325e+01,7.270400e-04,1.190880e-04,4.737120e-04,9.315200e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-6,1.293719e+01,8.852960e-04,1.612320e-04,5.689280e-04,1.112960e-04,2.260800e-05,
-1.000000,2048,OS2-f8-fast-7,1.099329e+01,1.041840e-03,2.008320e-04,6.649280e-04,1.298080e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-8,9.478779e+00,1.208304e-03,2.484960e-04,7.634240e-04,1.490720e-04,2.454400e-05,
-1.000000,2048,OS2-f8-fast-9,8.384416e+00,1.366016e-03,2.933120e-04,8.565920e-04,1.657440e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-10,7.723400e+00,1.482928e-03,3.405120e-04,9.063040e-04,1.837280e-04,2.659200e-05,
-1.000000,2048,OS2-f8-fast-11,6.940150e+00,1.650288e-03,3.848160e-04,1.004848e-03,2.073920e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-12,6.409060e+00,1.787040e-03,4.546400e-04,1.054624e-03,2.224640e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-3,2.175107e+01,5.265600e-04,1.487200e-04,2.835200e-04,5.488000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,1.731646e+01,6.614080e-04,1.682400e-04,3.788000e-04,7.404800e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-5,1.446351e+01,7.918720e-04,1.821280e-04,4.728640e-04,9.456000e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-6,1.229691e+01,9.313920e-04,2.067360e-04,5.684000e-04,1.129760e-04,2.256000e-05,
-1.000000,2048,OS2-f8-accu-7,1.065601e+01,1.074816e-03,2.336960e-04,6.641760e-04,1.310720e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-8,9.363347e+00,1.223200e-03,2.644960e-04,7.609440e-04,1.488000e-04,2.454400e-05,
-1.000000,2048,OS2-f8-accu-9,8.371668e+00,1.368096e-03,2.939040e-04,8.554720e-04,1.665600e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-10,7.819666e+00,1.464672e-03,3.209920e-04,9.057280e-04,1.863360e-04,2.659200e-05,
-1.000000,2048,OS2-f8-accu-11,7.108025e+00,1.611312e-03,3.475840e-04,1.003600e-03,2.043840e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-12,6.698619e+00,1.709792e-03,3.786240e-04,1.054448e-03,2.202240e-04,2.867200e-05,
-1.000000,2048,BF16x9,3.569146e+01,3.208960e-04,,,,,
-1.000000,2048,CTRTRMM (GEMM),1.160815e+01,9.866560e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.389148e+02,6.595840e-04,1.650560e-04,3.285600e-04,7.548800e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,1.091097e+02,8.397600e-04,2.059680e-04,4.402880e-04,1.011200e-04,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,9.267430e+01,9.886880e-04,2.178560e-04,5.510880e-04,1.263520e-04,7.376000e-05,
-1.000000,4096,OS2-i8-fast-6,7.930292e+01,1.155392e-03,2.458560e-04,6.615520e-04,1.527360e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-7,6.926166e+01,1.322896e-03,2.754720e-04,7.716480e-04,1.781920e-04,7.580800e-05,
-1.000000,4096,OS2-i8-fast-8,6.074381e+01,1.508400e-03,3.476960e-04,8.571200e-04,2.028320e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-9,5.449826e+01,1.681264e-03,3.814400e-04,9.673760e-04,2.282560e-04,7.987200e-05,
-1.000000,4096,OS2-i8-fast-10,5.002597e+01,1.831568e-03,4.204480e-04,1.051696e-03,2.525920e-04,8.192000e-05,
-1.000000,4096,OS2-i8-fast-11,4.557926e+01,2.010256e-03,4.590240e-04,1.160512e-03,2.783840e-04,8.601600e-05,
-1.000000,4096,OS2-i8-fast-12,4.228350e+01,2.166944e-03,5.023200e-04,1.247072e-03,3.016640e-04,8.806400e-05,
-1.000000,4096,OS2-i8-accu-3,1.055132e+02,8.683840e-04,3.723360e-04,3.294080e-04,7.548800e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,8.863644e+01,1.033728e-03,4.003680e-04,4.396800e-04,1.013440e-04,7.372800e-05,
-1.000000,4096,OS2-i8-accu-5,7.634479e+01,1.200160e-03,4.292800e-04,5.494560e-04,1.269920e-04,7.376000e-05,
-1.000000,4096,OS2-i8-accu-6,6.705491e+01,1.366432e-03,4.568960e-04,6.600640e-04,1.525920e-04,7.577600e-05,
