phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.746262e+01,1.639680e-04,3.112000e-05,8.595200e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.380202e+01,2.074560e-04,3.531200e-05,1.169120e-04,2.732800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.172566e+01,2.441920e-04,3.798400e-05,1.427520e-04,3.500800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,1.009915e+01,2.835200e-04,4.102400e-05,1.711360e-04,4.152000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.628590e+00,2.973760e-04,4.374400e-05,1.763040e-04,4.620800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.340649e+00,3.432960e-04,4.960000e-05,2.065600e-04,5.358400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.114858e+00,3.528480e-04,5.315200e-05,2.094880e-04,5.688000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.271127e+00,3.937920e-04,5.683200e-05,2.387520e-04,6.320000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.096680e+00,4.034720e-04,6.051200e-05,2.400960e-04,6.648000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.393375e+00,4.478560e-04,6.384000e-05,2.704160e-04,7.392000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.296226e+01,2.208960e-04,8.835200e-05,8.560000e-05,2.060800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.094270e+01,2.616640e-04,9.243200e-05,1.141440e-04,2.774400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.488202e+00,3.017760e-04,9.579200e-05,1.429120e-04,3.436800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.353107e+00,3.427840e-04,9.907200e-05,1.724960e-04,4.161600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.052782e+00,3.555680e-04,1.027520e-04,1.755040e-04,4.524800e-05,1.028800e-05,
-1.000000,1024,OS2-i8-accu-8,7.205837e+00,3.973600e-04,1.040960e-04,2.061120e-04,5.294400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.031432e+00,4.072160e-04,1.078240e-04,2.097600e-04,5.550400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.377654e+00,4.489600e-04,1.121760e-04,2.379840e-04,6.416000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.224590e+00,4.600000e-04,1.156480e-04,2.416800e-04,6.676800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-12,5.688759e+00,5.033280e-04,1.196960e-04,2.715200e-04,7.230400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.415687e+01,2.022560e-04,3.878400e-05,1.084960e-04,2.828800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.125020e+01,2.545120e-04,4.310400e-05,1.445440e-04,3.859200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-5,9.263742e+00,3.090880e-04,4.806400e-05,1.830080e-04,4.904000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.765207e+00,3.687360e-04,5.758400e-05,2.205920e-04,5.956800e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-7,6.673515e+00,4.290560e-04,6.841600e-05,2.576800e-04,7.059200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-8,5.830547e+00,4.910880e-04,8.204800e-05,2.959360e-04,7.976000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.182352e+00,5.525120e-04,9.355200e-05,3.347520e-04,8.963200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-10,4.849783e+00,5.904000e-04,1.053120e-04,3.492160e-04,9.761600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.384159e+00,6.531040e-04,1.176160e-04,3.872640e-04,1.093600e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-12,4.167508e+00,6.870560e-04,1.303520e-04,4.005760e-04,1.163840e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-3,1.199846e+01,2.386400e-04,7.419200e-05,1.087360e-04,2.836800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.874578e+00,2.899680e-04,7.907200e-05,1.456320e-04,3.704000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.269348e+00,3.462560e-04,8.398400e-05,1.832800e-04,4.960000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.150556e+00,4.004320e-04,8.899200e-05,2.208000e-04,5.897600e-05,1.032000e-05,
-1.000000,1024,OS2-f8-accu-7,6.255706e+00,4.577120e-04,9.700800e-05,2.577280e-04,6.958400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-8,5.573074e+00,5.137760e-04,1.036000e-04,2.963840e-04,7.958400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,5.013503e+00,5.711200e-04,1.134880e-04,3.337440e-04,8.856000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.713363e+00,6.074880e-04,1.218560e-04,3.496960e-04,9.828800e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-11,4.302678e+00,6.654720e-04,1.307520e-04,3.870400e-04,1.091520e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-12,4.113102e+00,6.961440e-04,1.404000e-04,3.998240e-04,1.150400e-04,1.430400e-05,
-1.000000,1024,BF16x9,4.152134e+01,6.896000e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.810756e+01,1.581280e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,8.827029e+01,2.595040e-04,6.520000e-05,1.198080e-04,3.542400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,7.119478e+01,3.217440e-04,7.563200e-05,1.585600e-04,4.587200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,5.972200e+01,3.835520e-04,8.206400e-05,1.995360e-04,5.880000e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,5.123486e+01,4.470880e-04,9.128000e-05,2.388000e-04,7.174400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.673116e+01,4.901760e-04,1.014560e-04,2.567200e-04,8.286400e-05,2.867200e-05,
