phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.730056e+01,1.655040e-04,3.350400e-05,8.564800e-05,2.006400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.387048e+01,2.064320e-04,3.796800e-05,1.139840e-04,2.723200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.164933e+01,2.457920e-04,4.038400e-05,1.426560e-04,3.457600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,9.979755e+00,2.869120e-04,4.294400e-05,1.716320e-04,4.316800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.690636e+00,2.954720e-04,4.513600e-05,1.760320e-04,4.419200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,8.327454e+00,3.438400e-04,5.244800e-05,2.050560e-04,5.235200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.053144e+00,3.555520e-04,5.574400e-05,2.085760e-04,5.624000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.264633e+00,3.941440e-04,5.945600e-05,2.362080e-04,6.256000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.056663e+00,4.057600e-04,6.323200e-05,2.402560e-04,6.579200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.347793e+00,4.510720e-04,6.649600e-05,2.710720e-04,7.368000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.336897e+01,2.141760e-04,8.169600e-05,8.547200e-05,2.054400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.127856e+01,2.538720e-04,8.460800e-05,1.141440e-04,2.771200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.534202e+00,3.003200e-04,9.507200e-05,1.425440e-04,3.403200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.383631e+00,3.415360e-04,9.865600e-05,1.718240e-04,4.096000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.035787e+00,3.563200e-04,1.037120e-04,1.758400e-04,4.465600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.207869e+00,3.972480e-04,1.056000e-04,2.059200e-04,5.150400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.023153e+00,4.076960e-04,1.089920e-04,2.093440e-04,5.523200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.396118e+00,4.476640e-04,1.128320e-04,2.369280e-04,6.238400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.218966e+00,4.604160e-04,1.172800e-04,2.411200e-04,6.512000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.703990e+00,5.019840e-04,1.192960e-04,2.701600e-04,7.278400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.400618e+01,2.044320e-04,4.036800e-05,1.089280e-04,2.867200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.115066e+01,2.567840e-04,4.548800e-05,1.455040e-04,3.809600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.198981e+00,3.112640e-04,5.059200e-05,1.832480e-04,4.891200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.737676e+00,3.700480e-04,5.966400e-05,2.200640e-04,5.974400e-05,1.027200e-05,
-1.000000,1024,OS2-f8-fast-7,6.637870e+00,4.313600e-04,7.148800e-05,2.574080e-04,6.960000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.816901e+00,4.922400e-04,8.267200e-05,2.962400e-04,7.872000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,5.136095e+00,5.574880e-04,9.844800e-05,3.344160e-04,8.905600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.798546e+00,5.967040e-04,1.109600e-04,3.499840e-04,9.785600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.340666e+00,6.596480e-04,1.229600e-04,3.884800e-04,1.085120e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.053936e+00,7.063040e-04,1.484320e-04,4.024480e-04,1.145920e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-3,1.199685e+01,2.386720e-04,7.396800e-05,1.097440e-04,2.830400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.824164e+00,2.914560e-04,7.851200e-05,1.457920e-04,3.932800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.300801e+00,3.449440e-04,8.425600e-05,1.833600e-04,4.862400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.143421e+00,4.008320e-04,8.923200e-05,2.204160e-04,5.961600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-7,6.254175e+00,4.578240e-04,9.740800e-05,2.581920e-04,6.960000e-05,1.228800e-05,
