phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,9.072137e+00,1.578080e-04,2.614400e-05,8.595200e-05,1.918400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.261685e+00,1.971520e-04,2.969600e-05,1.141280e-04,2.612800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,6.065927e+00,2.360160e-04,3.129600e-05,1.431360e-04,3.332800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.223801e+00,2.740640e-04,3.489600e-05,1.703200e-04,3.969600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,5.011958e+00,2.856480e-04,3.787200e-05,1.735360e-04,4.396800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.300196e+00,3.329280e-04,4.702400e-05,2.044160e-04,5.022400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.170713e+00,3.432640e-04,5.088000e-05,2.068000e-04,5.403200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.719127e+00,3.849440e-04,5.494400e-05,2.370720e-04,6.006400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.627163e+00,3.947040e-04,5.812800e-05,2.393120e-04,6.364800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.262899e+00,4.387680e-04,6.252800e-05,2.692640e-04,7.123200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.994879e+00,2.046720e-04,7.427200e-05,8.508800e-05,1.817600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.825043e+00,2.457760e-04,7.804800e-05,1.141440e-04,2.636800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,5.002991e+00,2.861600e-04,8.320000e-05,1.415840e-04,3.280000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.401952e+00,3.252320e-04,8.550400e-05,1.701760e-04,3.982400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.194173e+00,3.413440e-04,9.411200e-05,1.731520e-04,4.348800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.726562e+00,3.841760e-04,9.737600e-05,2.044480e-04,5.022400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.638816e+00,3.934400e-04,9.928000e-05,2.080320e-04,5.384000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.294131e+00,4.346080e-04,1.026080e-04,2.370720e-04,6.099200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,3.236229e+00,4.423840e-04,1.058240e-04,2.394560e-04,6.254400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.962177e+00,4.833120e-04,1.080160e-04,2.698400e-04,6.972800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.358428e+00,1.945600e-04,3.608000e-05,1.064160e-04,2.521600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.775041e+00,2.479040e-04,4.171200e-05,1.444000e-04,3.446400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.750650e+00,3.013600e-04,4.763200e-05,1.817120e-04,4.331200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.944911e+00,3.629120e-04,6.195200e-05,2.199360e-04,5.200000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.371331e+00,4.246560e-04,7.704000e-05,2.575360e-04,5.940800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.924229e+00,4.895840e-04,9.470400e-05,2.952000e-04,6.811200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.586308e+00,5.535520e-04,1.098880e-04,3.334560e-04,7.680000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,2.409027e+00,5.942880e-04,1.272960e-04,3.492960e-04,8.355200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.179478e+00,6.568800e-04,1.434720e-04,3.856320e-04,9.187200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.025087e+00,7.069600e-04,1.711680e-04,4.000640e-04,9.806400e-05,1.030400e-05,
-1.000000,1024,OS2-f8-accu-3,6.308410e+00,2.269440e-04,6.739200e-05,1.075840e-04,2.542400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.095296e+00,2.809760e-04,7.305600e-05,1.453760e-04,3.504000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.299576e+00,3.329760e-04,7.833600e-05,1.829600e-04,4.324800e-05,1.024000e-05,
