phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.714804e+01,1.669760e-04,3.484800e-05,8.577600e-05,2.016000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.377122e+01,2.079200e-04,3.921600e-05,1.134880e-04,2.740800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.145398e+01,2.499840e-04,4.425600e-05,1.420800e-04,3.529600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,9.770527e+00,2.930560e-04,5.113600e-05,1.710560e-04,4.209600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.363592e+00,3.057920e-04,5.476800e-05,1.760320e-04,4.465600e-05,1.027200e-05,
-1.000000,1024,OS2-i8-fast-8,8.120750e+00,3.525920e-04,6.188800e-05,2.054560e-04,5.169600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.880443e+00,3.633440e-04,6.521600e-05,2.099360e-04,5.512000e-05,1.227200e-05,
-1.000000,1024,OS2-i8-fast-10,7.073957e+00,4.047680e-04,6.884800e-05,2.381440e-04,6.260800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,6.902340e+00,4.148320e-04,7.241600e-05,2.408160e-04,6.500800e-05,1.233600e-05,
-1.000000,1024,OS2-i8-fast-12,6.255268e+00,4.577440e-04,7.619200e-05,2.709280e-04,7.203200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.348380e+01,2.123520e-04,8.136000e-05,8.524800e-05,2.030400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.127288e+01,2.540000e-04,8.579200e-05,1.138560e-04,2.768000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.671259e+00,2.960640e-04,8.998400e-05,1.423040e-04,3.497600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.472138e+00,3.379680e-04,9.604800e-05,1.709440e-04,4.153600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.084431e+00,3.541760e-04,1.024000e-04,1.758240e-04,4.457600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.205257e+00,3.973920e-04,1.051040e-04,2.067680e-04,5.150400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.015169e+00,4.081600e-04,1.087520e-04,2.108960e-04,5.438400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.404816e+00,4.470560e-04,1.120000e-04,2.375840e-04,6.200000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.245009e+00,4.584960e-04,1.164320e-04,2.406080e-04,6.417600e-05,1.232000e-05,
-1.000000,1024,OS2-i8-accu-12,5.698722e+00,5.024480e-04,1.193600e-04,2.714240e-04,7.281600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.354913e+01,2.113280e-04,4.963200e-05,1.083200e-04,2.761600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.077210e+01,2.658080e-04,5.484800e-05,1.459200e-04,3.806400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.003672e+00,3.180160e-04,6.016000e-05,1.829440e-04,4.664000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,7.570092e+00,3.782400e-04,6.966400e-05,2.197600e-04,5.870400e-05,1.104000e-05,
-1.000000,1024,OS2-f8-fast-7,6.503506e+00,4.402720e-04,8.140800e-05,2.578880e-04,6.846400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.713459e+00,5.011520e-04,9.334400e-05,2.960960e-04,7.844800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,5.066732e+00,5.651200e-04,1.080640e-04,3.340160e-04,8.880000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.748885e+00,6.029440e-04,1.192480e-04,3.492640e-04,9.678400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.298853e+00,6.660640e-04,1.320640e-04,3.878400e-04,1.073280e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.016180e+00,7.129440e-04,1.562880e-04,4.015040e-04,1.140320e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-3,1.212117e+01,2.362240e-04,7.254400e-05,1.089440e-04,2.811200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.858802e+00,2.904320e-04,7.748800e-05,1.461760e-04,3.915200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-5,8.313140e+00,3.444320e-04,8.353600e-05,1.827360e-04,4.932800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.163150e+00,3.997280e-04,8.974400e-05,2.200960e-04,5.958400e-05,1.228800e-05,
