phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.403314e+00,1.703680e-04,3.790400e-05,8.563200e-05,2.048000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.807554e+00,2.103040e-04,4.089600e-05,1.145280e-04,2.752000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.740584e+00,2.493920e-04,4.489600e-05,1.425920e-04,3.356800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.944382e+00,2.895520e-04,4.793600e-05,1.702880e-04,4.164800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,4.792635e+00,2.987200e-04,5.115200e-05,1.752000e-04,4.284800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,4.222874e+00,3.390240e-04,5.523200e-05,2.030880e-04,4.908800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,4.083352e+00,3.506080e-04,5.859200e-05,2.080320e-04,5.161600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.674832e+00,3.895840e-04,6.203200e-05,2.374560e-04,5.803200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.567581e+00,4.012960e-04,6.532800e-05,2.393120e-04,6.331200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.232955e+00,4.428320e-04,6.841600e-05,2.680640e-04,7.099200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.473628e+00,2.211520e-04,8.905600e-05,8.516800e-05,2.025600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.381517e+00,2.660320e-04,9.820800e-05,1.137440e-04,2.737600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.652584e+00,3.077120e-04,1.034080e-04,1.426720e-04,3.275200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.143865e+00,3.454880e-04,1.071200e-04,1.702880e-04,3.832000e-05,1.020800e-05,
