phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.740996e+01,1.644640e-04,3.268800e-05,8.601600e-05,2.003200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.370898e+01,2.088640e-04,4.022400e-05,1.133280e-04,2.824000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.149444e+01,2.491040e-04,4.368000e-05,1.418720e-04,3.500800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,9.803176e+00,2.920800e-04,4.928000e-05,1.717120e-04,4.203200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,9.352826e+00,3.061440e-04,5.480000e-05,1.756000e-04,4.448000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-8,8.154795e+00,3.511200e-04,6.051200e-05,2.062560e-04,5.158400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.919151e+00,3.615680e-04,6.432000e-05,2.080480e-04,5.499200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.078714e+00,4.044960e-04,6.809600e-05,2.393440e-04,6.244800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,6.924775e+00,4.134880e-04,7.166400e-05,2.414080e-04,6.484800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.269293e+00,4.567200e-04,7.574400e-05,2.705600e-04,7.182400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.351435e+01,2.118720e-04,8.060800e-05,8.518400e-05,2.048000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.101070e+01,2.600480e-04,9.080000e-05,1.141920e-04,2.777600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-5,9.519494e+00,3.007840e-04,9.548800e-05,1.424960e-04,3.425600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.406472e+00,3.406080e-04,9.694400e-05,1.720800e-04,4.204800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,8.111180e+00,3.530080e-04,1.017280e-04,1.760960e-04,4.451200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-8,7.223289e+00,3.964000e-04,1.041920e-04,2.070880e-04,5.126400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.075915e+00,4.046560e-04,1.066720e-04,2.095040e-04,5.422400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.419520e+00,4.460320e-04,1.096800e-04,2.394720e-04,6.137600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.298419e+00,4.546080e-04,1.127520e-04,2.408800e-04,6.473600e-05,1.233600e-05,
-1.000000,1024,OS2-i8-accu-12,5.744270e+00,4.984640e-04,1.161600e-04,2.704000e-04,7.241600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.367754e+01,2.093440e-04,4.798400e-05,1.075680e-04,2.742400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.088546e+01,2.630400e-04,5.337600e-05,1.447360e-04,3.780800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.052404e+00,3.163040e-04,5.800000e-05,1.825280e-04,4.772800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,7.619730e+00,3.757760e-04,6.760000e-05,2.200160e-04,5.840000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,6.556161e+00,4.367360e-04,7.832000e-05,2.578400e-04,6.852800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.725524e+00,5.000960e-04,9.228800e-05,2.956160e-04,7.897600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,5.108094e+00,5.605440e-04,1.042240e-04,3.335520e-04,8.822400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.784434e+00,5.984640e-04,1.154080e-04,3.486080e-04,9.689600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.331316e+00,6.610720e-04,1.283040e-04,3.864960e-04,1.074560e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.100192e+00,6.983360e-04,1.408480e-04,4.019840e-04,1.146240e-04,1.440000e-05,
-1.000000,1024,OS2-f8-accu-3,1.221633e+01,2.343840e-04,7.056000e-05,1.088000e-04,2.828800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,1.000990e+01,2.860480e-04,7.510400e-05,1.459200e-04,3.774400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.420712e+00,3.400320e-04,7.979200e-05,1.832800e-04,4.870400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,7.272013e+00,3.937440e-04,8.593600e-05,2.201280e-04,5.806400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,6.278751e+00,4.560320e-04,9.644800e-05,2.581440e-04,6.832000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.615746e+00,5.098720e-04,1.022560e-04,2.958560e-04,7.841600e-05,1.228800e-05,
