phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.425470e+00,1.699200e-04,3.665600e-05,8.593600e-05,2.080000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.845049e+00,2.091520e-04,4.115200e-05,1.144320e-04,2.643200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.747959e+00,2.490720e-04,4.508800e-05,1.419520e-04,3.350400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.934838e+00,2.901120e-04,4.804800e-05,1.699680e-04,4.222400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.788018e+00,2.990080e-04,5.084800e-05,1.745120e-04,4.256000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,4.168770e+00,3.434240e-04,5.508800e-05,2.051360e-04,5.131200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,4.050083e+00,3.534880e-04,5.852800e-05,2.078080e-04,5.459200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.626428e+00,3.947840e-04,6.198400e-05,2.372800e-04,6.156800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.545247e+00,4.038240e-04,6.500800e-05,2.395200e-04,6.454400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.239157e+00,4.419840e-04,6.824000e-05,2.682400e-04,6.944000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.447970e+00,2.220320e-04,8.931200e-05,8.544000e-05,2.025600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.436778e+00,2.633280e-04,9.353600e-05,1.139520e-04,2.739200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.761013e+00,3.007040e-04,9.716800e-05,1.417120e-04,3.291200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.126475e+00,3.469440e-04,1.079200e-04,1.700160e-04,3.848000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.986567e+00,3.591200e-04,1.104000e-04,1.741440e-04,4.369600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,3.538797e+00,4.045600e-04,1.156640e-04,2.062080e-04,5.075200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.471118e+00,4.124480e-04,1.189920e-04,2.076320e-04,5.323200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.161114e+00,4.528960e-04,1.224480e-04,2.377440e-04,5.856000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.095927e+00,4.624320e-04,1.250080e-04,2.401280e-04,6.273600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.837344e+00,5.045760e-04,1.304960e-04,2.688960e-04,6.921600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.060561e+00,2.027680e-04,4.283200e-05,1.076800e-04,2.529600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.647112e+00,2.535200e-04,4.673600e-05,1.451200e-04,3.390400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.689402e+00,3.052960e-04,5.084800e-05,1.828800e-04,4.318400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,4.008893e+00,3.571200e-04,5.558400e-05,2.194880e-04,5.225600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-7,3.476513e+00,4.118080e-04,6.252800e-05,2.577920e-04,6.078400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,3.060244e+00,4.678240e-04,7.011200e-05,2.953600e-04,7.041600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.722939e+00,5.257760e-04,8.200000e-05,3.330720e-04,7.758400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.572478e+00,5.565280e-04,8.820800e-05,3.491040e-04,8.539200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.334851e+00,6.131680e-04,9.691200e-05,3.864480e-04,9.305600e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-12,2.227218e+00,6.428000e-04,1.057440e-04,4.003520e-04,9.992000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-3,6.010108e+00,2.382080e-04,7.664000e-05,1.084800e-04,2.590400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.927772e+00,2.905280e-04,8.294400e-05,1.456000e-04,3.433600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.202052e+00,3.407040e-04,8.560000e-05,1.829760e-04,4.360000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.637041e+00,3.936320e-04,9.046400e-05,2.198400e-04,5.312000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.196573e+00,4.478720e-04,9.832000e-05,2.577600e-04,6.057600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-8,2.837434e+00,5.045600e-04,1.079520e-04,2.950400e-04,6.868800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.537677e+00,5.641600e-04,1.203520e-04,3.327680e-04,7.747200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.410260e+00,5.939840e-04,1.253120e-04,3.490560e-04,8.500800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.196654e+00,6.517440e-04,1.339680e-04,3.864960e-04,9.416000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.109347e+00,6.787200e-04,1.420640e-04,3.999840e-04,9.932800e-05,1.030400e-05,
-1.000000,1024,BF16x9,2.064094e+01,6.936000e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.686964e+00,1.477920e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.336248e+01,2.641280e-04,7.502400e-05,1.179520e-04,3.169600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.532162e+01,3.242560e-04,8.475200e-05,1.583520e-04,4.118400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.992717e+01,3.827040e-04,9.412800e-05,1.961920e-04,5.129600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.575106e+01,4.447680e-04,1.050240e-04,2.354080e-04,6.163200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.372648e+01,4.827200e-04,1.148160e-04,2.545120e-04,6.876800e-05,2.256000e-05,
-1.000000,2048,OS2-i8-fast-8,2.098833e+01,5.456960e-04,1.275840e-04,2.921760e-04,7.913600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-9,1.967047e+01,5.822560e-04,1.396160e-04,3.108960e-04,8.502400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.776468e+01,6.447200e-04,1.512000e-04,3.484640e-04,9.572800e-05,2.566400e-05,
-1.000000,2048,OS2-i8-fast-11,1.677551e+01,6.827360e-04,1.611520e-04,3.681120e-04,1.022400e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.534926e+01,7.461760e-04,1.717760e-04,4.078400e-04,1.130400e-04,2.665600e-05,
-1.000000,2048,OS2-i8-accu-3,3.185847e+01,3.595040e-04,1.707040e-04,1.186720e-04,3.112000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.737810e+01,4.183360e-04,1.792960e-04,1.569920e-04,4.137600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.392953e+01,4.786240e-04,1.894720e-04,1.953600e-04,5.164800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.130377e+01,5.376160e-04,1.987200e-04,2.345440e-04,6.174400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,1.997120e+01,5.734880e-04,2.072640e-04,2.532960e-04,6.859200e-05,2.256000e-05,
-1.000000,2048,OS2-i8-accu-8,1.796486e+01,6.375360e-04,2.194400e-04,2.914560e-04,7.897600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-9,1.698126e+01,6.744640e-04,2.322240e-04,3.099840e-04,8.489600e-05,2.454400e-05,
