phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.738290e+01,1.647200e-04,3.256000e-05,8.590400e-05,2.006400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.395485e+01,2.051840e-04,3.657600e-05,1.141600e-04,2.720000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.170036e+01,2.447200e-04,3.929600e-05,1.424000e-04,3.448000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,1.002616e+01,2.855840e-04,4.276800e-05,1.705920e-04,4.233600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.686964e+00,2.955840e-04,4.542400e-05,1.754240e-04,4.403200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,8.330554e+00,3.437120e-04,5.251200e-05,2.050880e-04,5.244800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.103100e+00,3.533600e-04,5.544000e-05,2.085600e-04,5.488000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.234092e+00,3.958080e-04,5.936000e-05,2.396800e-04,6.166400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.053325e+00,4.059520e-04,6.315200e-05,2.411360e-04,6.534400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.383797e+00,4.485280e-04,6.641600e-05,2.687520e-04,7.366400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.342714e+01,2.132480e-04,8.134400e-05,8.550400e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.128924e+01,2.536320e-04,8.424000e-05,1.142080e-04,2.747200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.782277e+00,2.927040e-04,8.726400e-05,1.423840e-04,3.448000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.565403e+00,3.342880e-04,9.084800e-05,1.710240e-04,4.265600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.221103e+00,3.482880e-04,9.617600e-05,1.758880e-04,4.452800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.208740e+00,3.972000e-04,1.050400e-04,2.057600e-04,5.193600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.025359e+00,4.075680e-04,1.088000e-04,2.086720e-04,5.539200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.366083e+00,4.497760e-04,1.132800e-04,2.392480e-04,6.190400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.221344e+00,4.602400e-04,1.164000e-04,2.409440e-04,6.505600e-05,1.225600e-05,
