phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,9.027289e+00,1.585920e-04,2.608000e-05,8.604800e-05,2.004800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.248156e+00,1.975200e-04,2.894400e-05,1.142720e-04,2.726400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,6.031580e+00,2.373600e-04,3.107200e-05,1.427680e-04,3.492800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.204053e+00,2.751040e-04,3.467200e-05,1.700800e-04,4.110400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,5.028294e+00,2.847200e-04,3.720000e-05,1.733440e-04,4.366400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.320753e+00,3.313440e-04,4.712000e-05,2.033120e-04,4.952000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,4.196533e+00,3.411520e-04,5.072000e-05,2.067360e-04,5.168000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.732625e+00,3.835520e-04,5.465600e-05,2.364480e-04,5.923200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.654719e+00,3.917280e-04,5.798400e-05,2.386240e-04,6.142400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.295830e+00,4.343840e-04,6.236800e-05,2.676960e-04,6.896000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.910069e+00,2.071840e-04,7.593600e-05,8.500800e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.641059e+00,2.537920e-04,8.510400e-05,1.138560e-04,2.683200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.865341e+00,2.942560e-04,9.006400e-05,1.416640e-04,3.374400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.276561e+00,3.347680e-04,9.387200e-05,1.705600e-04,4.019200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.159662e+00,3.441760e-04,9.715200e-05,1.736000e-04,4.241600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.724856e+00,3.843520e-04,9.924800e-05,2.041120e-04,4.905600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.626134e+00,3.948160e-04,1.021760e-04,2.077600e-04,5.241600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.290739e+00,4.350560e-04,1.049120e-04,2.377280e-04,5.913600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.233188e+00,4.428000e-04,1.072160e-04,2.390240e-04,6.216000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.966892e+00,4.825440e-04,1.093920e-04,2.690080e-04,6.851200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.313321e+00,1.957600e-04,3.633600e-05,1.073280e-04,2.568000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.771688e+00,2.480480e-04,4.116800e-05,1.446080e-04,3.497600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.732308e+00,3.025280e-04,4.740800e-05,1.824320e-04,4.388800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.923290e+00,3.649120e-04,6.185600e-05,2.204800e-04,5.225600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.366511e+00,4.252640e-04,7.691200e-05,2.576960e-04,5.980800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,2.913944e+00,4.913120e-04,9.488000e-05,2.957280e-04,6.907200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.578259e+00,5.552800e-04,1.104800e-04,3.337920e-04,7.785600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.403333e+00,5.956960e-04,1.277120e-04,3.499360e-04,8.430400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.173813e+00,6.585920e-04,1.434080e-04,3.866560e-04,9.291200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.017826e+00,7.095040e-04,1.724800e-04,4.013280e-04,9.968000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-3,6.247189e+00,2.291680e-04,6.936000e-05,1.079200e-04,2.492800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.071902e+00,2.822720e-04,7.425600e-05,1.455520e-04,3.483200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.259866e+00,3.360800e-04,7.964800e-05,1.832960e-04,4.390400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.660251e+00,3.911360e-04,8.816000e-05,2.205120e-04,5.225600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.204702e+00,4.467360e-04,9.692800e-05,2.579520e-04,6.035200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.854542e+00,5.015360e-04,1.035680e-04,2.963200e-04,6.961600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.565030e+00,5.581440e-04,1.122240e-04,3.338880e-04,7.824000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.420824e+00,5.913920e-04,1.224960e-04,3.501120e-04,8.539200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.207111e+00,6.486560e-04,1.320160e-04,3.875520e-04,9.363200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.104237e+00,6.803680e-04,1.408640e-04,4.023360e-04,1.001760e-04,1.024000e-05,
-1.000000,1024,BF16x9,2.082832e+01,6.873600e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.422756e+00,1.519360e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.659731e+01,2.457920e-04,5.779200e-05,1.177280e-04,3.142400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.704538e+01,3.091680e-04,7.009600e-05,1.569600e-04,4.201600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,3.171871e+01,3.610880e-04,7.190400e-05,1.965600e-04,5.187200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.731750e+01,4.192640e-04,8.028800e-05,2.344000e-04,6.211200e-05,2.254400e-05,
-1.000000,2048,OS2-i8-fast-7,2.487673e+01,4.604000e-04,9.012800e-05,2.556640e-04,6.985600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-8,2.143454e+01,5.343360e-04,1.148480e-04,2.935520e-04,8.070400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-9,2.003268e+01,5.717280e-04,1.261920e-04,3.111840e-04,8.792000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.802639e+01,6.353600e-04,1.392000e-04,3.499040e-04,9.772800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.687995e+01,6.785120e-04,1.519360e-04,3.683520e-04,1.066560e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.544030e+01,7.417760e-04,1.647680e-04,4.082560e-04,1.166560e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-3,3.601106e+01,3.180480e-04,1.311840e-04,1.167520e-04,3.118400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,3.013505e+01,3.800640e-04,1.420800e-04,1.559360e-04,4.131200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.602726e+01,4.400480e-04,1.507680e-04,1.960960e-04,5.152000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.301919e+01,4.975520e-04,1.589120e-04,2.330080e-04,6.195200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,2.134888e+01,5.364800e-04,1.690240e-04,2.531040e-04,6.880000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-8,1.900663e+01,6.025920e-04,1.854880e-04,2.910240e-04,7.923200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-9,1.793246e+01,6.386880e-04,1.938720e-04,3.107200e-04,8.723200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.640829e+01,6.980160e-04,2.036960e-04,3.482560e-04,9.753600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,1.554458e+01,7.368000e-04,2.118400e-04,3.676640e-04,1.060640e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.441313e+01,7.946400e-04,2.197440e-04,4.072160e-04,1.157920e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-3,2.481378e+01,4.615680e-04,8.200000e-05,2.840320e-04,5.612800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-4,1.932372e+01,5.927040e-04,9.982400e-05,3.777920e-04,7.523200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-5,1.576957e+01,7.262880e-04,1.182560e-04,4.716480e-04,9.424000e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-6,1.296766e+01,8.832160e-04,1.600960e-04,5.657600e-04,1.133920e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-7,1.103600e+01,1.037808e-03,1.988640e-04,6.619040e-04,1.319200e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-8,9.525194e+00,1.202416e-03,2.470080e-04,7.578080e-04,1.517920e-04,2.460800e-05,
-1.000000,2048,OS2-f8-fast-9,8.415267e+00,1.361008e-03,2.908960e-04,8.528000e-04,1.693440e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-10,7.730239e+00,1.481616e-03,3.381120e-04,9.050240e-04,1.891360e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-11,6.987300e+00,1.639152e-03,3.803840e-04,1.001600e-03,2.051040e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-12,6.434235e+00,1.780048e-03,4.493120e-04,1.050080e-03,2.252640e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-3,2.182402e+01,5.248000e-04,1.469920e-04,2.824480e-04,5.579200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,1.743625e+01,6.568640e-04,1.633760e-04,3.773440e-04,7.568000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,1.449954e+01,7.899040e-04,1.809280e-04,4.712480e-04,9.496000e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-6,1.237579e+01,9.254560e-04,2.024480e-04,5.650880e-04,1.120320e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-7,1.069150e+01,1.071248e-03,2.294400e-04,6.619520e-04,1.336800e-04,2.460800e-05,
-1.000000,2048,OS2-f8-accu-8,9.442020e+00,1.213008e-03,2.589600e-04,7.558400e-04,1.514880e-04,2.460800e-05,
-1.000000,2048,OS2-f8-accu-9,8.426263e+00,1.359232e-03,2.872160e-04,8.525280e-04,1.707680e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-10,7.853640e+00,1.458336e-03,3.148160e-04,9.040800e-04,1.880640e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-11,7.152200e+00,1.601360e-03,3.417920e-04,1.000608e-03,2.067520e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-12,6.736887e+00,1.700080e-03,3.715520e-04,1.050128e-03,2.223360e-04,2.867200e-05,
-1.000000,2048,BF16x9,3.563815e+01,3.213760e-04,,,,,
-1.000000,2048,CTRTRMM (GEMM),1.161455e+01,9.861120e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.392831e+02,6.578400e-04,1.629280e-04,3.303360e-04,7.440000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,1.095962e+02,8.360320e-04,2.023040e-04,4.417920e-04,9.937600e-05,7.577600e-05,
-1.000000,4096,OS2-i8-fast-5,9.303716e+01,9.848320e-04,2.144320e-04,5.516160e-04,1.244160e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-6,7.969139e+01,1.149760e-03,2.422560e-04,6.615200e-04,1.499040e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-7,6.961698e+01,1.316144e-03,2.718880e-04,7.711520e-04,1.748640e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-8,6.114137e+01,1.498592e-03,3.429760e-04,8.564000e-04,1.992640e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-9,5.483433e+01,1.670960e-03,3.772480e-04,9.665120e-04,2.240480e-04,7.987200e-05,
-1.000000,4096,OS2-i8-fast-10,5.030325e+01,1.821472e-03,4.155840e-04,1.051456e-03,2.487360e-04,8.192000e-05,
-1.000000,4096,OS2-i8-fast-11,4.586950e+01,1.997536e-03,4.537440e-04,1.161248e-03,2.735200e-04,8.396800e-05,
-1.000000,4096,OS2-i8-fast-12,4.252464e+01,2.154656e-03,4.972480e-04,1.246832e-03,2.977920e-04,8.601600e-05,
-1.000000,4096,OS2-i8-accu-3,1.053695e+02,8.695680e-04,3.750400e-04,3.292960e-04,7.449600e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,8.838200e+01,1.036704e-03,4.050560e-04,4.393600e-04,9.939200e-05,7.577600e-05,
-1.000000,4096,OS2-i8-accu-5,7.620155e+01,1.202416e-03,4.328480e-04,5.497120e-04,1.247680e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-6,6.704234e+01,1.366688e-03,4.616480e-04,6.599520e-04,1.489120e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-7,5.975690e+01,1.533312e-03,4.910560e-04,7.690400e-04,1.746240e-04,7.782400e-05,
-1.000000,4096,OS2-i8-accu-8,5.376253e+01,1.704272e-03,5.491200e-04,8.550400e-04,1.994720e-04,7.782400e-05,
-1.000000,4096,OS2-i8-accu-9,4.895972e+01,1.871456e-03,5.792160e-04,9.640960e-04,2.243840e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-10,4.540470e+01,2.017984e-03,6.131040e-04,1.049088e-03,2.486400e-04,8.192000e-05,
-1.000000,4096,OS2-i8-accu-11,4.189650e+01,2.186960e-03,6.422240e-04,1.160496e-03,2.737120e-04,8.396800e-05,
-1.000000,4096,OS2-i8-accu-12,3.930151e+01,2.331360e-03,6.732640e-04,1.246160e-03,2.974880e-04,8.601600e-05,
-1.000000,4096,OS2-f8-fast-3,6.864232e+01,1.334832e-03,2.466400e-04,8.254560e-04,1.708800e-04,7.372800e-05,
-1.000000,4096,OS2-f8-fast-4,5.307737e+01,1.726272e-03,3.021280e-04,1.101712e-03,2.288640e-04,7.379200e-05,
-1.000000,4096,OS2-f8-fast-5,4.322828e+01,2.119584e-03,3.604000e-04,1.378080e-03,2.870560e-04,7.526400e-05,
-1.000000,4096,OS2-f8-fast-6,3.554193e+01,2.577968e-03,4.835840e-04,1.652000e-03,3.453760e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-7,3.011983e+01,3.042048e-03,6.146720e-04,1.930448e-03,3.975680e-04,7.580800e-05,
-1.000000,4096,OS2-f8-fast-8,2.582783e+01,3.547568e-03,7.755680e-04,2.209456e-03,4.611520e-04,7.782400e-05,
-1.000000,4096,OS2-f8-fast-9,2.287593e+01,4.005344e-03,9.045920e-04,2.483056e-03,5.124000e-04,7.987200e-05,
-1.000000,4096,OS2-f8-fast-10,2.032476e+01,4.508096e-03,1.065168e-03,2.760704e-03,5.729440e-04,8.396800e-05,
-1.000000,4096,OS2-f8-fast-11,1.851550e+01,4.948608e-03,1.210528e-03,2.999984e-03,6.233440e-04,8.601600e-05,
-1.000000,4096,OS2-f8-fast-12,1.661051e+01,5.516144e-03,1.436992e-03,3.280480e-03,6.808160e-04,8.806400e-05,
-1.000000,4096,OS2-f8-accu-3,5.968527e+01,1.535152e-03,4.457920e-04,8.268320e-04,1.707840e-04,7.372800e-05,
