phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.719087e+01,1.665600e-04,3.472000e-05,8.558400e-05,2.011200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.377864e+01,2.078080e-04,3.929600e-05,1.138560e-04,2.771200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.146205e+01,2.498080e-04,4.380800e-05,1.420640e-04,3.608000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,9.771061e+00,2.930400e-04,5.121600e-05,1.709440e-04,4.232000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,9.365062e+00,3.057440e-04,5.478400e-05,1.757120e-04,4.480000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.078957e+00,3.544160e-04,6.192000e-05,2.060800e-04,5.265600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.868316e+00,3.639040e-04,6.496000e-05,2.093760e-04,5.624000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.074516e+00,4.047360e-04,6.896000e-05,2.373760e-04,6.374400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,6.907135e+00,4.145440e-04,7.212800e-05,2.410240e-04,6.571200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.257018e+00,4.576160e-04,7.587200e-05,2.703840e-04,7.307200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.340702e+01,2.135680e-04,8.176000e-05,8.508800e-05,2.054400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.124172e+01,2.547040e-04,8.614400e-05,1.139360e-04,2.772800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.684867e+00,2.956480e-04,8.979200e-05,1.421920e-04,3.513600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.464124e+00,3.382880e-04,9.625600e-05,1.712160e-04,4.142400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,8.113019e+00,3.529280e-04,1.021440e-04,1.752320e-04,4.492800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.196275e+00,3.978880e-04,1.050560e-04,2.059520e-04,5.214400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.006380e+00,4.086720e-04,1.093440e-04,2.086080e-04,5.590400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.386303e+00,4.483520e-04,1.120320e-04,2.373120e-04,6.313600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,6.243266e+00,4.586240e-04,1.162880e-04,2.413760e-04,6.520000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.704353e+00,5.019520e-04,1.205280e-04,2.709920e-04,7.171200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.359649e+01,2.105920e-04,4.964800e-05,1.070720e-04,2.720000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.081115e+01,2.648480e-04,5.491200e-05,1.458080e-04,3.696000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,8.967578e+00,3.192960e-04,6.020800e-05,1.832960e-04,4.747200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,7.549016e+00,3.792960e-04,6.974400e-05,2.202720e-04,5.948800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-7,6.516056e+00,4.394240e-04,8.102400e-05,2.578880e-04,6.808000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-8,5.714737e+00,5.010400e-04,9.254400e-05,2.962240e-04,7.907200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.078667e+00,5.637920e-04,1.066720e-04,3.335520e-04,8.923200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.741712e+00,6.038560e-04,1.196160e-04,3.495520e-04,9.721600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.299886e+00,6.659040e-04,1.318880e-04,3.873760e-04,1.075840e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-12,4.021144e+00,7.120640e-04,1.543680e-04,4.014080e-04,1.158240e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-3,1.213844e+01,2.358880e-04,7.211200e-05,1.088320e-04,2.814400e-05,1.024000e-05,
