phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.650279e+00,1.655040e-04,3.499200e-05,8.537600e-05,1.830400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.945470e+00,2.061280e-04,3.920000e-05,1.135360e-04,2.534400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.798995e+00,2.468800e-04,4.408000e-05,1.417600e-04,3.308800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.981821e+00,2.873760e-04,4.913600e-05,1.704320e-04,3.892800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.789043e+00,2.989440e-04,5.446400e-05,1.722240e-04,4.201600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.122862e+00,3.472480e-04,6.249600e-05,2.039040e-04,4.974400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,3.967124e+00,3.608800e-04,6.601600e-05,2.088320e-04,5.459200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.551861e+00,4.030720e-04,7.025600e-05,2.387040e-04,6.115200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.485722e+00,4.107200e-04,7.371200e-05,2.403040e-04,6.275200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.158436e+00,4.532800e-04,7.731200e-05,2.700640e-04,6.998400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.768418e+00,2.115200e-04,8.080000e-05,8.582400e-05,1.880000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.624748e+00,2.545280e-04,8.678400e-05,1.138560e-04,2.636800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.836152e+00,2.960320e-04,9.393600e-05,1.414880e-04,3.192000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.245918e+00,3.371840e-04,9.680000e-05,1.703040e-04,4.017600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.125904e+00,3.469920e-04,1.025280e-04,1.715840e-04,4.238400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.666250e+00,3.904960e-04,1.056640e-04,2.028320e-04,4.918400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.563602e+00,4.017440e-04,1.082240e-04,2.072800e-04,5.409600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.219925e+00,4.446240e-04,1.117920e-04,2.384160e-04,6.078400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.162901e+00,4.526400e-04,1.144640e-04,2.410720e-04,6.276800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.899403e+00,4.937760e-04,1.175680e-04,2.705760e-04,7.017600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.859743e+00,2.087040e-04,4.947200e-05,1.071040e-04,2.540800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.492510e+00,2.606560e-04,5.478400e-05,1.446080e-04,3.411200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.568959e+00,3.133440e-04,5.992000e-05,1.829760e-04,4.230400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.867333e+00,3.701920e-04,6.900800e-05,2.204320e-04,5.156800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.338749e+00,4.288000e-04,8.096000e-05,2.573120e-04,5.956800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.929399e+00,4.887200e-04,9.270400e-05,2.963840e-04,6.817600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.605436e+00,5.494880e-04,1.055680e-04,3.337600e-04,7.684800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.444033e+00,5.857760e-04,1.190080e-04,3.492160e-04,8.412800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.211584e+00,6.473440e-04,1.319520e-04,3.874560e-04,9.236800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.062905e+00,6.940000e-04,1.564800e-04,4.023520e-04,9.848000e-05,1.027200e-05,
-1.000000,1024,OS2-f8-accu-3,6.157765e+00,2.324960e-04,7.212800e-05,1.078080e-04,2.545600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.013643e+00,2.855520e-04,7.856000e-05,1.452000e-04,3.417600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.251971e+00,3.367040e-04,8.196800e-05,1.832640e-04,4.283200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.662798e+00,3.908640e-04,8.955200e-05,2.202720e-04,5.123200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.203211e+00,4.469440e-04,9.740800e-05,2.581440e-04,5.998400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.862121e+00,5.002080e-04,1.039840e-04,2.964320e-04,6.848000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.571590e+00,5.567200e-04,1.128320e-04,3.339040e-04,7.644800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.434259e+00,5.881280e-04,1.210400e-04,3.492640e-04,8.395200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.213773e+00,6.467040e-04,1.301920e-04,3.888640e-04,9.256000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.112584e+00,6.776800e-04,1.413440e-04,4.016000e-04,9.804800e-05,1.030400e-05,
-1.000000,1024,BF16x9,2.068389e+01,6.921600e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.600696e+00,1.491200e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.150208e+01,2.759680e-04,8.748800e-05,1.173920e-04,3.176000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.394480e+01,3.374080e-04,9.844800e-05,1.572480e-04,4.201600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.925448e+01,3.915040e-04,1.029440e-04,1.951040e-04,5.228800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.526035e+01,4.534080e-04,1.136480e-04,2.343040e-04,6.249600e-05,2.262400e-05,
-1.000000,2048,OS2-i8-fast-7,2.328426e+01,4.918880e-04,1.233600e-04,2.536320e-04,7.035200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-8,2.036900e+01,5.622880e-04,1.437600e-04,2.929440e-04,8.041600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-9,1.905825e+01,6.009600e-04,1.539200e-04,3.121280e-04,8.883200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.725677e+01,6.636960e-04,1.655200e-04,3.523360e-04,9.852800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.629845e+01,7.027200e-04,1.770400e-04,3.687200e-04,1.068160e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.500530e+01,7.632800e-04,1.892960e-04,4.063200e-04,1.166880e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-3,3.339840e+01,3.429280e-04,1.554080e-04,1.171200e-04,3.120000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.855203e+01,4.011360e-04,1.638080e-04,1.569440e-04,4.128000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.481980e+01,4.614560e-04,1.741280e-04,1.948480e-04,5.153600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.201531e+01,5.202400e-04,1.819840e-04,2.339040e-04,6.176000e-05,2.262400e-05,
-1.000000,2048,OS2-i8-accu-7,2.054497e+01,5.574720e-04,1.902080e-04,2.530880e-04,6.888000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-8,1.839323e+01,6.226880e-04,2.047680e-04,2.916800e-04,7.955200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-9,1.741504e+01,6.576640e-04,2.136160e-04,3.101120e-04,8.771200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.593952e+01,7.185440e-04,2.241440e-04,3.485440e-04,9.769600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,1.512771e+01,7.571040e-04,2.322720e-04,3.671200e-04,1.063680e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.405072e+01,8.151360e-04,2.418240e-04,4.056320e-04,1.160160e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-3,2.339307e+01,4.896000e-04,1.108640e-04,2.831680e-04,5.646400e-05,2.252800e-05,
