phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.802730e+01,1.588320e-04,2.715200e-05,8.592000e-05,1.979200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.431770e+01,1.999840e-04,3.144000e-05,1.143040e-04,2.712000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.200892e+01,2.384320e-04,3.286400e-05,1.429280e-04,3.459200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,1.033896e+01,2.769440e-04,3.646400e-05,1.702880e-04,4.156800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.893685e+00,2.894080e-04,3.894400e-05,1.742720e-04,4.504000e-05,1.030400e-05,
-1.000000,1024,OS2-i8-fast-8,8.465726e+00,3.382240e-04,4.921600e-05,2.046880e-04,5.126400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.185755e+00,3.497920e-04,5.219200e-05,2.092640e-04,5.414400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.321399e+00,3.910880e-04,5.649600e-05,2.377600e-04,6.166400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.167166e+00,3.995040e-04,5.996800e-05,2.397440e-04,6.416000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.418830e+00,4.460800e-04,6.419200e-05,2.707520e-04,7.232000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.369010e+01,2.091520e-04,7.702400e-05,8.547200e-05,2.060800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.139853e+01,2.512000e-04,8.275200e-05,1.141760e-04,2.737600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.766261e+00,2.931840e-04,8.766400e-05,1.424640e-04,3.468800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.611981e+00,3.324800e-04,9.000000e-05,1.711520e-04,4.196800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.323580e+00,3.440000e-04,9.548800e-05,1.740000e-04,4.348800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.403789e+00,3.867360e-04,9.720000e-05,2.041120e-04,5.144000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.186738e+00,3.984160e-04,1.003520e-04,2.090560e-04,5.465600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.544892e+00,4.374880e-04,1.014240e-04,2.391200e-04,6.164800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.423668e+00,4.457440e-04,1.042240e-04,2.402080e-04,6.518400e-05,1.227200e-05,
-1.000000,1024,OS2-i8-accu-12,5.851709e+00,4.893120e-04,1.074240e-04,2.707840e-04,7.193600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.437521e+01,1.991840e-04,3.699200e-05,1.075520e-04,2.832000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.133213e+01,2.526720e-04,4.268800e-05,1.445280e-04,3.870400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-5,9.245556e+00,3.096960e-04,4.960000e-05,1.821440e-04,4.969600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.693103e+00,3.721920e-04,6.312000e-05,2.196960e-04,5.881600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-7,6.542738e+00,4.376320e-04,7.926400e-05,2.575200e-04,6.872000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.688035e+00,5.033920e-04,9.582400e-05,2.961920e-04,7.835200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.032111e+00,5.690080e-04,1.120000e-04,3.338400e-04,8.808000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-10,4.655004e+00,6.151040e-04,1.318080e-04,3.495200e-04,9.691200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.206496e+00,6.806880e-04,1.479200e-04,3.880800e-04,1.068480e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,3.854837e+00,7.427840e-04,1.864640e-04,4.007040e-04,1.142080e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-3,1.243448e+01,2.302720e-04,6.798400e-05,1.078880e-04,2.827200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,1.014150e+01,2.823360e-04,7.248000e-05,1.452000e-04,3.774400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.478962e+00,3.376960e-04,7.793600e-05,1.821440e-04,4.884800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.261685e+00,3.943040e-04,8.472000e-05,2.194080e-04,5.907200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-7,6.305520e+00,4.540960e-04,9.548800e-05,2.574080e-04,6.862400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.626339e+00,5.089120e-04,1.001920e-04,2.960800e-04,7.814400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,5.047582e+00,5.672640e-04,1.094400e-04,3.347360e-04,8.870400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.746366e+00,6.032640e-04,1.198080e-04,3.492160e-04,9.713600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.310450e+00,6.642720e-04,1.288480e-04,3.889920e-04,1.071680e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.103765e+00,6.977280e-04,1.411840e-04,4.012960e-04,1.140800e-04,1.638400e-05,
-1.000000,1024,BF16x9,3.996359e+01,7.164800e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.745581e+01,1.640320e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,9.206790e+01,2.488000e-04,5.718400e-05,1.197760e-04,3.347200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,7.157921e+01,3.200160e-04,6.964800e-05,1.624800e-04,4.657600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,6.157394e+01,3.720160e-04,6.956800e-05,2.015680e-04,5.881600e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,5.241856e+01,4.369920e-04,7.860800e-05,2.440960e-04,6.857600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.791993e+01,4.780160e-04,8.828800e-05,2.587680e-04,8.257600e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,4.086825e+01,5.604960e-04,1.149440e-04,2.987840e-04,9.424000e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-9,3.794979e+01,6.036000e-04,1.259200e-04,3.172800e-04,1.063040e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.422476e+01,6.692960e-04,1.384160e-04,3.568320e-04,1.175360e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-11,3.192525e+01,7.175040e-04,1.508480e-04,3.754080e-04,1.311200e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-12,2.933601e+01,7.808320e-04,1.635520e-04,4.155040e-04,1.383040e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-3,6.973821e+01,3.284640e-04,1.348320e-04,1.207360e-04,3.393600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,5.795708e+01,3.952320e-04,1.458880e-04,1.614400e-04,4.630400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-5,5.015961e+01,4.566720e-04,1.541440e-04,2.009440e-04,5.835200e-05,2.454400e-05,
-1.000000,2048,OS2-i8-accu-6,4.398598e+01,5.207680e-04,1.635680e-04,2.413120e-04,6.958400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-7,4.065818e+01,5.633920e-04,1.717920e-04,2.588160e-04,8.315200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-8,3.619588e+01,6.328480e-04,1.879040e-04,2.985760e-04,9.356800e-05,3.072000e-05,
-1.000000,2048,OS2-i8-accu-9,3.408217e+01,6.720960e-04,1.953120e-04,3.171520e-04,1.046880e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-10,3.118125e+01,7.346240e-04,2.041600e-04,3.574080e-04,1.171040e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-11,2.949192e+01,7.767040e-04,2.124800e-04,3.737440e-04,1.305920e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-12,2.737653e+01,8.367200e-04,2.203520e-04,4.120640e-04,1.403360e-04,3.891200e-05,
-1.000000,2048,OS2-f8-fast-3,4.656094e+01,4.919680e-04,8.067200e-05,2.815360e-04,9.046400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-4,3.585683e+01,6.388320e-04,9.974400e-05,3.758400e-04,1.215200e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-5,2.914668e+01,7.859040e-04,1.184160e-04,4.685280e-04,1.543040e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-6,2.403075e+01,9.532160e-04,1.601600e-04,5.637600e-04,1.832800e-04,2.659200e-05,
-1.000000,2048,OS2-f8-fast-7,2.034729e+01,1.125776e-03,2.020640e-04,6.594080e-04,2.148480e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-8,1.756784e+01,1.303888e-03,2.485440e-04,7.557120e-04,2.466880e-04,3.072000e-05,
-1.000000,2048,OS2-f8-fast-9,1.553109e+01,1.474880e-03,2.920320e-04,8.482400e-04,2.788160e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-10,1.418141e+01,1.615248e-03,3.424640e-04,9.024800e-04,3.114880e-04,3.478400e-05,
-1.000000,2048,OS2-f8-fast-11,1.281628e+01,1.787296e-03,3.859680e-04,9.967040e-04,3.403680e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-12,1.168412e+01,1.960480e-03,4.744480e-04,1.047280e-03,3.706880e-04,4.096000e-05,
-1.000000,2048,OS2-f8-accu-3,4.055682e+01,5.648000e-04,1.521280e-04,2.815200e-04,9.126400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,3.253837e+01,7.039840e-04,1.671040e-04,3.744960e-04,1.205280e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-5,2.693006e+01,8.505920e-04,1.832960e-04,4.685600e-04,1.543040e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-6,2.297265e+01,9.971200e-04,2.049120e-04,5.624320e-04,1.835680e-04,2.659200e-05,
-1.000000,2048,OS2-f8-accu-7,1.982354e+01,1.155520e-03,2.324480e-04,6.581120e-04,2.159520e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-8,1.740551e+01,1.316048e-03,2.622240e-04,7.534400e-04,2.479520e-04,3.072000e-05,
-1.000000,2048,OS2-f8-accu-9,1.553733e+01,1.474288e-03,2.920960e-04,8.460800e-04,2.798240e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-10,1.443740e+01,1.586608e-03,3.177120e-04,9.005760e-04,3.090240e-04,3.478400e-05,
-1.000000,2048,OS2-f8-accu-11,1.312410e+01,1.745376e-03,3.450240e-04,9.966240e-04,3.408320e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-12,1.230220e+01,1.861984e-03,3.729600e-04,1.048736e-03,3.729440e-04,4.096000e-05,
-1.000000,2048,BF16x9,6.854619e+01,3.341760e-04,,,,,
-1.000000,2048,CTRTRMM (GEMM),2.284217e+01,1.002816e-03,,,,,
-1.000000,4096,OS2-i8-fast-3,2.270892e+02,8.069600e-04,1.532320e-04,4.396480e-04,1.224640e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-4,1.765406e+02,1.038016e-03,1.908000e-04,5.901920e-04,1.634720e-04,7.574400e-05,
-1.000000,4096,OS2-i8-fast-5,1.472708e+02,1.244320e-03,2.025280e-04,7.383360e-04,2.045920e-04,7.984000e-05,
-1.000000,4096,OS2-i8-fast-6,1.250040e+02,1.465968e-03,2.323200e-04,8.843680e-04,2.457280e-04,8.393600e-05,
-1.000000,4096,OS2-i8-fast-7,1.084156e+02,1.690272e-03,2.622400e-04,1.031008e-03,2.861600e-04,9.011200e-05,
-1.000000,4096,OS2-i8-fast-8,9.664452e+01,1.896144e-03,3.383360e-04,1.119616e-03,3.217920e-04,9.417600e-05,
-1.000000,4096,OS2-i8-fast-9,8.623393e+01,2.125056e-03,3.714880e-04,1.265776e-03,3.627840e-04,1.013440e-04,
-1.000000,4096,OS2-i8-fast-10,8.010383e+01,2.287680e-03,4.093120e-04,1.349680e-03,3.978080e-04,1.064640e-04,
-1.000000,4096,OS2-i8-fast-11,7.270656e+01,2.520432e-03,4.468800e-04,1.496352e-03,4.387840e-04,1.126080e-04,
-1.000000,4096,OS2-i8-fast-12,6.806388e+01,2.692352e-03,4.880160e-04,1.584144e-03,4.735680e-04,1.208320e-04,
-1.000000,4096,OS2-i8-accu-3,1.689170e+02,1.084864e-03,4.291840e-04,4.416960e-04,1.228800e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-4,1.403842e+02,1.305360e-03,4.585440e-04,5.891520e-04,1.638400e-04,7.574400e-05,
-1.000000,4096,OS2-i8-accu-5,1.200676e+02,1.526240e-03,4.858880e-04,7.365760e-04,2.048000e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-6,1.049928e+02,1.745376e-03,5.134560e-04,8.823200e-04,2.457600e-04,8.393600e-05,
-1.000000,4096,OS2-i8-accu-7,9.290207e+01,1.972528e-03,5.441920e-04,1.030736e-03,2.866880e-04,9.011200e-05,
-1.000000,4096,OS2-i8-accu-8,8.475160e+01,2.162224e-03,6.062400e-04,1.117792e-03,3.215360e-04,9.417600e-05,
-1.000000,4096,OS2-i8-accu-9,7.689632e+01,2.383104e-03,6.326080e-04,1.261888e-03,3.627520e-04,1.022720e-04,
-1.000000,4096,OS2-i8-accu-10,7.209330e+01,2.541872e-03,6.649600e-04,1.347232e-03,3.973120e-04,1.064640e-04,
-1.000000,4096,OS2-i8-accu-11,6.623628e+01,2.766640e-03,6.952640e-04,1.493824e-03,4.387840e-04,1.126080e-04,
-1.000000,4096,OS2-i8-accu-12,6.254674e+01,2.929840e-03,7.266880e-04,1.581728e-03,4.731520e-04,1.208320e-04,
-1.000000,4096,OS2-f8-fast-3,1.056183e+02,1.735040e-03,2.364640e-04,1.086656e-03,3.190080e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-4,8.057439e+01,2.274320e-03,2.962080e-04,1.454784e-03,4.262400e-04,7.779200e-05,
-1.000000,4096,OS2-f8-fast-5,6.531537e+01,2.805648e-03,3.526080e-04,1.817696e-03,5.323040e-04,8.393600e-05,
