phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.723651e+00,1.641120e-04,3.164800e-05,8.592000e-05,1.984000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.031156e+00,2.036160e-04,3.476800e-05,1.140480e-04,2.712000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.881712e+00,2.434080e-04,3.795200e-05,1.426560e-04,3.380800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.091527e+00,2.811840e-04,4.134400e-05,1.696960e-04,4.051200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.915860e+00,2.912320e-04,4.464000e-05,1.737600e-04,4.270400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.257434e+00,3.362720e-04,5.120000e-05,2.040000e-04,4.934400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.129713e+00,3.466720e-04,5.502400e-05,2.069760e-04,5.249600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.687553e+00,3.882400e-04,5.840000e-05,2.365600e-04,5.955200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.601613e+00,3.975040e-04,6.184000e-05,2.392000e-04,6.241600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.269576e+00,4.378720e-04,6.576000e-05,2.674400e-04,6.896000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.667051e+00,2.147360e-04,8.286400e-05,8.561600e-05,1.982400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.512475e+00,2.597120e-04,9.152000e-05,1.136480e-04,2.678400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.799061e+00,2.983200e-04,9.456000e-05,1.414720e-04,3.328000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.206595e+00,3.403360e-04,1.000640e-04,1.706240e-04,3.984000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.099628e+00,3.492160e-04,1.034240e-04,1.718400e-04,4.249600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.644893e+00,3.927840e-04,1.084320e-04,2.030880e-04,4.945600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.560624e+00,4.020800e-04,1.096320e-04,2.063840e-04,5.280000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.213564e+00,4.455040e-04,1.154880e-04,2.371040e-04,5.880000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.160221e+00,4.530240e-04,1.173280e-04,2.390880e-04,6.172800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.896400e+00,4.942880e-04,1.215360e-04,2.676320e-04,6.950400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.252856e+00,1.973920e-04,3.980800e-05,1.064960e-04,2.460800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.712730e+00,2.506080e-04,4.441600e-05,1.448160e-04,3.388800e-05,1.024000e-05,
