phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.651047e+01,1.734240e-04,4.220800e-05,8.539200e-05,1.988800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.313349e+01,2.180160e-04,4.998400e-05,1.134400e-04,2.747200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.067571e+01,2.682080e-04,6.284800e-05,1.428160e-04,3.420800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,9.234106e+00,3.100800e-04,6.852800e-05,1.706560e-04,4.192000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,8.840874e+00,3.238720e-04,7.107200e-05,1.755200e-04,4.630400e-05,1.033600e-05,
-1.000000,1024,OS2-i8-fast-8,7.781076e+00,3.679840e-04,7.603200e-05,2.057760e-04,5.291200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.580674e+00,3.777120e-04,7.896000e-05,2.097120e-04,5.534400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,6.808590e+00,4.205440e-04,8.329600e-05,2.400640e-04,6.219200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,6.699497e+00,4.273920e-04,8.640000e-05,2.397760e-04,6.552000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.068807e+00,4.718080e-04,8.960000e-05,2.710400e-04,7.302400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.302263e+01,2.198720e-04,8.816000e-05,8.545600e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.102495e+01,2.597120e-04,9.075200e-05,1.136480e-04,2.774400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.358695e+00,3.059520e-04,1.002560e-04,1.425440e-04,3.484800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.215442e+00,3.485280e-04,1.062560e-04,1.716160e-04,4.131200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,7.946932e+00,3.603040e-04,1.088000e-04,1.753600e-04,4.499200e-05,1.027200e-05,
-1.000000,1024,OS2-i8-accu-8,7.048325e+00,4.062400e-04,1.134240e-04,2.073600e-04,5.164800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,6.872124e+00,4.166560e-04,1.168640e-04,2.101120e-04,5.545600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.252427e+00,4.579520e-04,1.208640e-04,2.394720e-04,6.236800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.133705e+00,4.668160e-04,1.239520e-04,2.410880e-04,6.555200e-05,1.225600e-05,
