phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.667876e+00,1.651680e-04,3.404800e-05,8.584000e-05,1.942400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.963306e+00,2.056000e-04,3.790400e-05,1.135040e-04,2.728000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.780637e+00,2.476640e-04,4.480000e-05,1.416320e-04,3.312000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.909118e+00,2.916320e-04,5.152000e-05,1.706400e-04,4.083200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.742090e+00,3.019040e-04,5.529600e-05,1.742400e-04,4.246400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,4.134674e+00,3.462560e-04,6.224000e-05,2.035040e-04,4.918400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,3.986034e+00,3.591680e-04,6.587200e-05,2.084640e-04,5.326400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.587462e+00,3.990720e-04,7.004800e-05,2.383520e-04,5.833600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.491843e+00,4.100000e-04,7.368000e-05,2.406400e-04,6.273600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.171084e+00,4.514720e-04,7.720000e-05,2.694720e-04,7.102400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.794630e+00,2.107040e-04,7.964800e-05,8.504000e-05,2.006400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.612752e+00,2.550720e-04,8.744000e-05,1.136960e-04,2.672000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.829105e+00,2.964640e-04,9.395200e-05,1.416960e-04,3.244800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.234065e+00,3.381280e-04,9.804800e-05,1.703200e-04,4.049600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.143290e+00,3.455360e-04,1.011360e-04,1.732800e-04,4.164800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.680122e+00,3.890240e-04,1.032640e-04,2.033440e-04,5.051200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.561475e+00,4.019840e-04,1.081920e-04,2.080800e-04,5.337600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.252344e+00,4.401920e-04,1.095680e-04,2.380640e-04,5.947200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.182362e+00,4.498720e-04,1.117920e-04,2.404800e-04,6.323200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.918030e+00,4.906240e-04,1.165120e-04,2.694560e-04,6.958400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.886139e+00,2.079040e-04,4.926400e-05,1.070720e-04,2.524800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.519616e+00,2.593760e-04,5.406400e-05,1.437760e-04,3.412800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.598781e+00,3.113120e-04,5.940800e-05,1.816640e-04,4.208000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.877724e+00,3.692000e-04,6.830400e-05,2.193920e-04,5.184000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.339248e+00,4.287360e-04,8.019200e-05,2.577600e-04,5.982400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,2.934587e+00,4.878560e-04,9.278400e-05,2.949280e-04,6.812800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.607486e+00,5.490560e-04,1.057440e-04,3.328320e-04,7.708800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.444700e+00,5.856160e-04,1.191040e-04,3.487200e-04,8.436800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.210765e+00,6.475840e-04,1.316480e-04,3.860160e-04,9.331200e-05,1.033600e-05,
