phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.666887e+01,1.717760e-04,4.110400e-05,8.510400e-05,2.030400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.314314e+01,2.178560e-04,5.006400e-05,1.136000e-04,2.672000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.071791e+01,2.671520e-04,6.248000e-05,1.425760e-04,3.376000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,9.277670e+00,3.086240e-04,6.841600e-05,1.703360e-04,4.105600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,8.927761e+00,3.207200e-04,7.094400e-05,1.749600e-04,4.457600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,7.834901e+00,3.654560e-04,7.484800e-05,2.052480e-04,5.222400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.605481e+00,3.764800e-04,7.830400e-05,2.102400e-04,5.476800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,6.835898e+00,4.188640e-04,8.272000e-05,2.397760e-04,6.155200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,6.673515e+00,4.290560e-04,8.632000e-05,2.414240e-04,6.502400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.100459e+00,4.693600e-04,8.968000e-05,2.699520e-04,7.164800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.310176e+01,2.185440e-04,8.708800e-05,8.542400e-05,2.059200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.096819e+01,2.610560e-04,9.342400e-05,1.136640e-04,2.681600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.389630e+00,3.049440e-04,1.004960e-04,1.423200e-04,3.404800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.251047e+00,3.470240e-04,1.051520e-04,1.711840e-04,4.137600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,7.996290e+00,3.580800e-04,1.073760e-04,1.750080e-04,4.422400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-8,7.056663e+00,4.057600e-04,1.130560e-04,2.068960e-04,5.180800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,6.900211e+00,4.149600e-04,1.160960e-04,2.097920e-04,5.484800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.274789e+00,4.563200e-04,1.195520e-04,2.401120e-04,6.160000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.135597e+00,4.666720e-04,1.236000e-04,2.417120e-04,6.513600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.630942e+00,5.084960e-04,1.269120e-04,2.709120e-04,7.142400e-05,1.433600e-05,
