phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.777564e+00,1.631040e-04,3.172800e-05,8.579200e-05,1.910400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.057776e+00,2.028480e-04,3.593600e-05,1.139360e-04,2.520000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.931620e+00,2.413600e-04,3.760000e-05,1.428000e-04,3.251200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.093555e+00,2.810720e-04,4.068800e-05,1.720640e-04,3.841600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.903468e+00,2.919680e-04,4.475200e-05,1.742240e-04,4.187200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.257636e+00,3.362560e-04,5.156800e-05,2.045600e-04,4.832000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.141756e+00,3.456640e-04,5.480000e-05,2.072160e-04,5.128000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.708645e+00,3.860320e-04,5.876800e-05,2.363200e-04,5.731200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.604370e+00,3.972000e-04,6.171200e-05,2.395200e-04,6.160000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.279522e+00,4.365440e-04,6.593600e-05,2.682880e-04,6.732800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.685481e+00,2.141440e-04,8.275200e-05,8.560000e-05,1.878400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.635020e+00,2.540640e-04,8.571200e-05,1.138080e-04,2.600000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.914780e+00,2.912960e-04,8.814400e-05,1.417600e-04,3.227200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.286189e+00,3.340160e-04,9.334400e-05,1.720480e-04,3.835200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.105836e+00,3.486880e-04,1.021120e-04,1.739520e-04,4.161600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.652332e+00,3.919840e-04,1.062880e-04,2.048000e-04,4.865600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.568007e+00,4.012480e-04,1.111520e-04,2.067520e-04,5.137600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.247269e+00,4.408800e-04,1.130080e-04,2.365760e-04,5.732800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.169849e+00,4.516480e-04,1.152320e-04,2.400480e-04,6.128000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.917840e+00,4.906560e-04,1.198720e-04,2.676000e-04,6.728000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.213098e+00,1.984800e-04,3.910400e-05,1.077920e-04,2.484800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.702899e+00,2.510400e-04,4.456000e-05,1.449280e-04,3.414400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.697527e+00,3.047680e-04,4.984000e-05,1.828640e-04,4.321600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.975408e+00,3.601280e-04,5.923200e-05,2.198240e-04,5.156800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.413776e+00,4.193760e-04,7.148800e-05,2.577440e-04,5.928000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.987396e+00,4.792320e-04,8.337600e-05,2.962720e-04,6.803200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.648703e+00,5.405120e-04,9.652800e-05,3.341760e-04,7.644800e-05,1.020800e-05,
