phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.806004e+01,1.585440e-04,2.659200e-05,8.601600e-05,1.956800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.438792e+01,1.990080e-04,3.049600e-05,1.137280e-04,2.772800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.202668e+01,2.380800e-04,3.235200e-05,1.426560e-04,3.497600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,1.035391e+01,2.765440e-04,3.537600e-05,1.700160e-04,4.212800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.929917e+00,2.883520e-04,3.876800e-05,1.740800e-04,4.531200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.442561e+00,3.391520e-04,4.872000e-05,2.052800e-04,5.188800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.167076e+00,3.505920e-04,5.208000e-05,2.091840e-04,5.560000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.300492e+00,3.922080e-04,5.603200e-05,2.393120e-04,6.196800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.132602e+00,4.014400e-04,5.987200e-05,2.402080e-04,6.596800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.394974e+00,4.477440e-04,6.392000e-05,2.713920e-04,7.358400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.382334e+01,2.071360e-04,7.572800e-05,8.480000e-05,2.067200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.147601e+01,2.495040e-04,8.144000e-05,1.137120e-04,2.748800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.872399e+00,2.900320e-04,8.492800e-05,1.422880e-04,3.475200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.700325e+00,3.291040e-04,8.776000e-05,1.707040e-04,4.147200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.358179e+00,3.425760e-04,9.323200e-05,1.743360e-04,4.465600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.454987e+00,3.840800e-04,9.419200e-05,2.049440e-04,5.144000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.224163e+00,3.963520e-04,9.840000e-05,2.089600e-04,5.513600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.554720e+00,4.368320e-04,1.000480e-04,2.397280e-04,6.236800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.441472e+00,4.445120e-04,1.023840e-04,2.407200e-04,6.500800e-05,1.225600e-05,
