phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.618617e+00,1.661120e-04,3.438400e-05,8.582400e-05,1.972800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.835637e+00,2.094400e-04,4.123200e-05,1.138880e-04,2.672000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.745007e+00,2.492000e-04,4.489600e-05,1.418560e-04,3.417600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.916671e+00,2.911840e-04,5.081600e-05,1.703040e-04,4.028800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.754436e+00,3.011200e-04,5.532800e-05,1.728000e-04,4.280000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.117929e+00,3.476640e-04,6.240000e-05,2.038080e-04,5.016000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.989944e+00,3.588160e-04,6.582400e-05,2.073120e-04,5.363200e-05,1.022400e-05,
-1.000000,1024,OS2-i8-fast-10,3.575135e+00,4.004480e-04,6.971200e-05,2.377440e-04,5.961600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.498944e+00,4.091680e-04,7.356800e-05,2.391360e-04,6.262400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.173896e+00,4.510720e-04,7.737600e-05,2.687840e-04,6.982400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.645758e+00,2.154240e-04,8.457600e-05,8.555200e-05,1.913600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.520978e+00,2.593120e-04,9.107200e-05,1.136960e-04,2.656000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.782133e+00,2.993760e-04,9.561600e-05,1.416960e-04,3.337600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.217103e+00,3.394880e-04,9.902400e-05,1.703360e-04,4.014400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.102071e+00,3.490080e-04,1.025440e-04,1.726720e-04,4.334400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.659203e+00,3.912480e-04,1.059680e-04,2.030720e-04,5.044800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.559349e+00,4.022240e-04,1.081600e-04,2.075040e-04,5.318400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.229454e+00,4.433120e-04,1.116000e-04,2.380640e-04,5.990400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.166371e+00,4.521440e-04,1.150240e-04,2.393760e-04,6.321600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.907978e+00,4.923200e-04,1.168960e-04,2.688800e-04,7.076800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.868695e+00,2.084320e-04,4.960000e-05,1.071040e-04,2.513600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.471017e+00,2.616800e-04,5.475200e-05,1.447680e-04,3.433600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.584878e+00,3.122560e-04,5.961600e-05,1.815360e-04,4.323200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.859992e+00,3.708960e-04,6.880000e-05,2.197760e-04,5.280000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.329432e+00,4.300000e-04,8.065600e-05,2.575200e-04,6.107200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.923274e+00,4.897440e-04,9.310400e-05,2.960480e-04,6.900800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.598098e+00,5.510400e-04,1.053120e-04,3.344960e-04,7.777600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.439369e+00,5.868960e-04,1.194560e-04,3.486240e-04,8.475200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.205751e+00,6.490560e-04,1.319680e-04,3.880480e-04,9.380800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.069202e+00,6.918880e-04,1.544640e-04,4.011680e-04,9.963200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-3,6.200435e+00,2.308960e-04,7.142400e-05,1.075520e-04,2.521600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.023213e+00,2.850080e-04,7.702400e-05,1.453760e-04,3.425600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.240486e+00,3.376160e-04,8.267200e-05,1.828000e-04,4.339200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.657557e+00,3.914240e-04,8.942400e-05,2.200640e-04,5.225600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.187464e+00,4.491520e-04,9.793600e-05,2.578720e-04,6.158400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.854360e+00,5.015680e-04,1.032640e-04,2.960160e-04,6.984000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.564515e+00,5.582560e-04,1.127680e-04,3.338560e-04,7.790400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.425023e+00,5.903680e-04,1.224640e-04,3.487680e-04,8.440000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.207601e+00,6.485120e-04,1.300960e-04,3.888000e-04,9.404800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.106219e+00,6.797280e-04,1.414560e-04,4.016320e-04,9.956800e-05,1.027200e-05,
-1.000000,1024,BF16x9,2.096497e+01,6.828800e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.593490e+00,1.492320e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.174654e+01,2.743520e-04,8.728000e-05,1.169440e-04,3.177600e-05,2.252800e-05,
