phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.852710e+00,1.931840e-04,3.404800e-05,7.860800e-05,4.675200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.808669e+00,1.978880e-04,3.592000e-05,7.860800e-05,4.950400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.626882e+00,2.200000e-04,3.740800e-05,9.121600e-05,5.641600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.593732e+00,2.245760e-04,3.865600e-05,9.124800e-05,5.948800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.561361e+00,2.292320e-04,4.032000e-05,9.136000e-05,6.137600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.527771e+00,2.342720e-04,4.220800e-05,9.137600e-05,6.329600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.390973e+00,2.573120e-04,4.388800e-05,1.044000e-04,7.043200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.343117e+00,2.664800e-04,5.044800e-05,1.043520e-04,7.244800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-17,1.305569e+00,2.741440e-04,5.259200e-05,1.059360e-04,7.550400e-05,1.033600e-05,
-1.000000,1024,OS2-i8-fast-18,1.272520e+00,2.812640e-04,5.408000e-05,1.067360e-04,7.747200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-19,1.249979e+00,2.863360e-04,5.582400e-05,1.062240e-04,8.016000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.149459e+00,3.113760e-04,5.777600e-05,1.207200e-04,8.712000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.603327e+00,2.232320e-04,6.444800e-05,7.808000e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.568807e+00,2.281440e-04,6.608000e-05,7.809600e-05,4.937600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.432297e+00,2.498880e-04,6.640000e-05,9.108800e-05,5.660800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.405215e+00,2.547040e-04,6.806400e-05,9.099200e-05,5.904000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.378203e+00,2.596960e-04,6.947200e-05,9.107200e-05,6.148800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.360352e+00,2.631040e-04,7.075200e-05,9.131200e-05,6.323200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-15,1.254746e+00,2.852480e-04,7.150400e-05,1.044800e-04,7.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-16,1.211986e+00,2.953120e-04,7.908800e-05,1.042400e-04,7.209600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-17,1.182327e+00,3.027200e-04,8.086400e-05,1.054080e-04,7.555200e-05,1.030400e-05,
-1.000000,1024,OS2-i8-accu-18,1.157309e+00,3.092640e-04,8.259200e-05,1.056640e-04,7.745600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-19,1.140667e+00,3.137760e-04,8.294400e-05,1.060640e-04,8.014400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.063245e+00,3.366240e-04,8.470400e-05,1.195360e-04,8.680000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.408489e+00,2.541120e-04,4.833600e-05,1.175360e-04,5.384000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.271724e+00,2.814400e-04,5.105600e-05,1.335200e-04,6.172800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,1.222785e+00,2.927040e-04,5.454400e-05,1.369280e-04,6.505600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-12,1.121565e+00,3.191200e-04,5.718400e-05,1.529920e-04,7.180800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-13,9.890623e-01,3.618720e-04,8.380800e-05,1.654240e-04,7.398400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-14,9.468222e-01,3.780160e-04,9.385600e-05,1.688640e-04,7.542400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-15,8.731994e-01,4.098880e-04,9.708800e-05,1.852160e-04,8.499200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-16,8.960034e-01,3.994560e-04,8.852800e-05,1.806400e-04,8.761600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-17,8.063740e-01,4.438560e-04,1.260640e-04,1.848000e-04,8.934400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-18,7.844311e-01,4.562720e-04,1.128800e-04,2.016000e-04,9.649600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-19,7.459276e-01,4.798240e-04,1.183680e-04,2.153280e-04,1.002400e-04,1.228800e-05,
-1.000000,1024,OS2-f8-fast-20,7.285810e-01,4.912480e-04,1.240320e-04,2.187360e-04,1.006400e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-9,1.289315e+00,2.776000e-04,7.065600e-05,1.177760e-04,5.398400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,1.176296e+00,3.042720e-04,7.292800e-05,1.340160e-04,6.174400e-05,1.020800e-05,
