phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.743556e+00,1.912160e-04,3.976000e-05,7.568000e-05,4.416000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.601324e+00,1.987680e-04,4.241600e-05,7.662400e-05,4.753600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.241739e+00,2.208160e-04,4.417600e-05,8.916800e-05,5.403200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.173671e+00,2.255520e-04,4.504000e-05,8.819200e-05,5.622400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,3.111213e+00,2.300800e-04,4.680000e-05,8.867200e-05,5.804800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,3.050541e+00,2.346560e-04,4.828800e-05,8.928000e-05,5.961600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.779007e+00,2.575840e-04,5.019200e-05,1.025440e-04,6.563200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.676272e+00,2.674720e-04,5.729600e-05,1.023040e-04,6.777600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.577145e+00,2.777600e-04,5.907200e-05,1.056320e-04,7.012800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.550552e+00,2.806560e-04,6.068800e-05,1.056960e-04,7.144000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.496331e+00,2.867520e-04,6.204800e-05,1.058240e-04,7.443200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.314618e+00,3.092640e-04,6.435200e-05,1.193600e-04,8.060800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.260640e+00,2.195360e-04,6.860800e-05,7.561600e-05,4.406400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.205046e+00,2.233440e-04,6.859200e-05,7.553600e-05,4.696000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.919744e+00,2.451680e-04,7.000000e-05,8.806400e-05,5.329600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.840226e+00,2.520320e-04,7.193600e-05,8.739200e-05,5.627200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.788534e+00,2.567040e-04,7.353600e-05,8.923200e-05,5.740800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.749124e+00,2.603840e-04,7.419200e-05,8.947200e-05,5.900800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.529213e+00,2.830240e-04,7.606400e-05,1.024320e-04,6.539200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.430952e+00,2.944640e-04,8.390400e-05,1.017280e-04,6.801600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-17,2.353954e+00,3.040960e-04,8.540800e-05,1.056960e-04,7.035200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.330776e+00,3.071200e-04,8.627200e-05,1.056800e-04,7.131200e-05,1.432000e-05,
-1.000000,1024,OS2-i8-accu-19,2.281450e+00,3.137600e-04,8.833600e-05,1.065120e-04,7.473600e-05,1.430400e-05,
