phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.032015e+00,1.775360e-04,2.692800e-05,7.515200e-05,4.419200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.940742e+00,1.816480e-04,2.892800e-05,7.520000e-05,4.612800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.481382e+00,2.056160e-04,3.052800e-05,8.912000e-05,5.299200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.371712e+00,2.123040e-04,3.201600e-05,8.825600e-05,5.606400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.316475e+00,2.158400e-04,3.304000e-05,8.857600e-05,5.768000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.253053e+00,2.200480e-04,3.459200e-05,8.884800e-05,5.916800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.958162e+00,2.419840e-04,3.577600e-05,1.019360e-04,6.563200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.855636e+00,2.506720e-04,4.110400e-05,1.018240e-04,6.787200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.741039e+00,2.611520e-04,4.284800e-05,1.054560e-04,7.024000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.689788e+00,2.661280e-04,4.478400e-05,1.063200e-04,7.161600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.641977e+00,2.709440e-04,4.630400e-05,1.072000e-04,7.352000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.433729e+00,2.941280e-04,4.798400e-05,1.203360e-04,8.044800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.442010e+00,2.079680e-04,5.500800e-05,7.614400e-05,4.451200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.382674e+00,2.116160e-04,5.636800e-05,7.579200e-05,4.691200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.052206e+00,2.345280e-04,5.856000e-05,8.956800e-05,5.360000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.977059e+00,2.404480e-04,5.910400e-05,8.840000e-05,5.644800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.939117e+00,2.435520e-04,5.910400e-05,8.838400e-05,5.848000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.897056e+00,2.470880e-04,6.064000e-05,8.864000e-05,5.964800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.659884e+00,2.691200e-04,6.252800e-05,1.018720e-04,6.571200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.562679e+00,2.793280e-04,7.035200e-05,1.013440e-04,6.750400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-17,2.479865e+00,2.886560e-04,7.057600e-05,1.051840e-04,7.014400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.421872e+00,2.955680e-04,7.326400e-05,1.064640e-04,7.185600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.405206e+00,2.976160e-04,7.339200e-05,1.064160e-04,7.358400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-20,2.224505e+00,3.217920e-04,7.628800e-05,1.199360e-04,7.976000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-9,2.931222e+00,2.442080e-04,4.192000e-05,1.142720e-04,5.438400e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-10,2.623695e+00,2.728320e-04,4.595200e-05,1.301760e-04,6.156800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-11,2.522084e+00,2.838240e-04,4.993600e-05,1.341920e-04,6.355200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.283663e+00,3.134560e-04,5.377600e-05,1.512960e-04,7.072000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,1.940207e+00,3.689440e-04,9.524800e-05,1.626560e-04,7.208000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.793947e+00,3.990240e-04,1.152160e-04,1.666880e-04,7.612800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-15,1.684142e+00,4.250400e-04,1.180000e-04,1.822720e-04,8.270400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-16,1.773045e+00,4.037280e-04,9.641600e-05,1.771840e-04,8.588800e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-17,1.498903e+00,4.775680e-04,1.604800e-04,1.811680e-04,8.993600e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-18,1.486551e+00,4.815360e-04,1.418720e-04,1.967200e-04,9.638400e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-19,1.414456e+00,5.060800e-04,1.490560e-04,2.108960e-04,9.875200e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-20,1.364500e+00,5.246080e-04,1.576640e-04,2.162880e-04,1.018880e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-9,2.712291e+00,2.639200e-04,6.411200e-05,1.139680e-04,5.270400e-05,1.030400e-05,
-1.000000,1024,OS2-f8-accu-10,2.440234e+00,2.933440e-04,6.771200e-05,1.308000e-04,5.987200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-11,2.336863e+00,3.063200e-04,7.112000e-05,1.351840e-04,6.323200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.148240e+00,3.332160e-04,7.435200e-05,1.515520e-04,7.008000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-13,1.991066e+00,3.595200e-04,8.564800e-05,1.631200e-04,7.238400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-14,1.934419e+00,3.700480e-04,8.862400e-05,1.663680e-04,7.406400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-15,1.790429e+00,3.998080e-04,9.387200e-05,1.821280e-04,8.176000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-16,1.773326e+00,4.036640e-04,9.734400e-05,1.774240e-04,8.507200e-05,1.436800e-05,
-1.000000,1024,OS2-f8-accu-17,1.716120e+00,4.171200e-04,1.002560e-04,1.816640e-04,8.897600e-05,1.638400e-05,
-1.000000,1024,OS2-f8-accu-18,1.608804e+00,4.449440e-04,1.055680e-04,1.966080e-04,9.612800e-05,1.638400e-05,
-1.000000,1024,OS2-f8-accu-19,1.529129e+00,4.681280e-04,1.099840e-04,2.121600e-04,9.828800e-05,1.635200e-05,
-1.000000,1024,OS2-f8-accu-20,1.487095e+00,4.813600e-04,1.141280e-04,2.161120e-04,1.023040e-04,1.635200e-05,
-1.000000,1024,OS1-6,5.341361e+00,1.340160e-04,,,,,
-1.000000,1024,OS1-7,4.652100e+00,1.538720e-04,,,,,
-1.000000,1024,OS1-8,4.101883e+00,1.745120e-04,,,,,
-1.000000,1024,OS1-9,3.642964e+00,1.964960e-04,,,,,
-1.000000,1024,DTRTRMM (GEMM),9.631699e+00,7.432000e-05,,,,,
-1.000000,2048,OS2-i8-fast-9,1.975460e+01,2.898880e-04,6.276800e-05,1.161920e-04,6.321600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-10,1.879307e+01,3.047200e-04,6.611200e-05,1.213760e-04,6.707200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-11,1.713081e+01,3.342880e-04,6.969600e-05,1.374400e-04,7.529600e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-12,1.633341e+01,3.506080e-04,7.307200e-05,1.427840e-04,8.041600e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-13,1.555133e+01,3.682400e-04,7.624000e-05,1.486880e-04,8.712000e-05,3.276800e-05,
-1.000000,2048,OS2-i8-fast-14,1.498363e+01,3.821920e-04,8.003200e-05,1.536800e-04,9.019200e-05,3.273600e-05,
-1.000000,2048,OS2-i8-fast-15,1.383991e+01,4.137760e-04,8.364800e-05,1.707680e-04,9.833600e-05,3.478400e-05,
-1.000000,2048,OS2-i8-fast-16,1.288573e+01,4.444160e-04,1.005920e-04,1.754560e-04,1.041120e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-17,1.224014e+01,4.678560e-04,1.059360e-04,1.822880e-04,1.128000e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-18,1.176690e+01,4.866720e-04,1.110720e-04,1.857120e-04,1.191360e-04,4.096000e-05,
-1.000000,2048,OS2-i8-fast-19,1.132639e+01,5.056000e-04,1.160960e-04,1.920160e-04,1.227840e-04,4.505600e-05,
-1.000000,2048,OS2-i8-fast-20,1.069326e+01,5.355360e-04,1.213120e-04,2.069440e-04,1.318560e-04,4.505600e-05,
-1.000000,2048,OS2-i8-accu-9,1.737699e+01,3.295520e-04,1.038880e-04,1.146880e-04,6.313600e-05,2.662400e-05,
