phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.854246e+00,1.930240e-04,3.382400e-05,7.857600e-05,4.670400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.819852e+00,1.966720e-04,3.492800e-05,7.884800e-05,4.905600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.626054e+00,2.201120e-04,3.748800e-05,9.142400e-05,5.628800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.591464e+00,2.248960e-04,3.859200e-05,9.136000e-05,5.910400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.550324e+00,2.308640e-04,4.070400e-05,9.129600e-05,6.163200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.522883e+00,2.350240e-04,4.235200e-05,9.112000e-05,6.372800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.392531e+00,2.570240e-04,4.404800e-05,1.044800e-04,7.011200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.346756e+00,2.657600e-04,5.052800e-05,1.045920e-04,7.206400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-17,1.306179e+00,2.740160e-04,5.240000e-05,1.066080e-04,7.502400e-05,1.033600e-05,
-1.000000,1024,OS2-i8-fast-18,1.277753e+00,2.801120e-04,5.379200e-05,1.068640e-04,7.732800e-05,1.049600e-05,
-1.000000,1024,OS2-i8-fast-19,1.253621e+00,2.855040e-04,5.558400e-05,1.064480e-04,7.952000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.156651e+00,3.094400e-04,5.748800e-05,1.196000e-04,8.646400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.584363e+00,2.259040e-04,6.657600e-05,7.806400e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.561034e+00,2.292800e-04,6.785600e-05,7.811200e-05,4.928000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.424454e+00,2.512640e-04,6.843200e-05,9.110400e-05,5.652800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.396182e+00,2.563520e-04,7.040000e-05,9.108800e-05,5.891200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.370772e+00,2.611040e-04,7.145600e-05,9.113600e-05,6.134400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.352292e+00,2.646720e-04,7.264000e-05,9.123200e-05,6.318400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-15,1.246288e+00,2.871840e-04,7.356800e-05,1.046080e-04,6.988800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-16,1.205715e+00,2.968480e-04,8.075200e-05,1.045600e-04,7.203200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-17,1.174567e+00,3.047200e-04,8.257600e-05,1.057760e-04,7.556800e-05,1.033600e-05,
-1.000000,1024,OS2-i8-accu-18,1.160792e+00,3.083360e-04,8.352000e-05,1.059360e-04,7.720000e-05,1.043200e-05,
-1.000000,1024,OS2-i8-accu-19,1.134938e+00,3.153600e-04,8.544000e-05,1.058720e-04,7.947200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.060926e+00,3.373600e-04,8.622400e-05,1.192160e-04,8.620800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.411511e+00,2.535680e-04,4.788800e-05,1.174720e-04,5.384000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.275640e+00,2.805760e-04,5.072000e-05,1.341600e-04,6.083200e-05,1.022400e-05,
-1.000000,1024,OS2-f8-fast-11,1.227010e+00,2.916960e-04,5.376000e-05,1.370400e-04,6.457600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-12,1.122353e+00,3.188960e-04,5.718400e-05,1.528960e-04,7.203200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-13,9.950899e-01,3.596800e-04,8.374400e-05,1.652000e-04,7.238400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-14,9.478251e-01,3.776160e-04,9.372800e-05,1.682240e-04,7.614400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-15,8.802779e-01,4.065920e-04,9.667200e-05,1.852800e-04,8.337600e-05,1.219200e-05,
-1.000000,1024,OS2-f8-fast-16,9.000049e-01,3.976800e-04,8.851200e-05,1.807680e-04,8.536000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-17,8.108167e-01,4.414240e-04,1.265280e-04,1.836000e-04,8.744000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-18,7.865825e-01,4.550240e-04,1.130560e-04,2.014080e-04,9.550400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-19,7.524765e-01,4.756480e-04,1.180800e-04,2.140960e-04,9.780800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-20,7.306513e-01,4.898560e-04,1.237760e-04,2.182400e-04,1.011360e-04,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,1.290357e+00,2.773760e-04,7.220800e-05,1.171520e-04,5.310400e-05,1.022400e-05,
-1.000000,1024,OS2-f8-accu-10,1.173396e+00,3.050240e-04,7.476800e-05,1.338240e-04,6.161600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,1.137014e+00,3.147840e-04,7.756800e-05,1.370080e-04,6.416000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,1.045994e+00,3.421760e-04,8.051200e-05,1.530240e-04,7.152000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-13,9.710723e-01,3.685760e-04,9.120000e-05,1.661920e-04,7.315200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-14,9.445434e-01,3.789280e-04,9.505600e-05,1.697280e-04,7.545600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-15,8.773433e-01,4.079520e-04,9.825600e-05,1.859840e-04,8.233600e-05,1.222400e-05,
-1.000000,1024,OS2-f8-accu-16,8.708877e-01,4.109760e-04,1.020800e-04,1.809440e-04,8.448000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-17,8.468209e-01,4.226560e-04,1.054080e-04,1.853120e-04,8.835200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-18,7.943475e-01,4.505760e-04,1.094240e-04,2.010880e-04,9.489600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-19,7.585237e-01,4.718560e-04,1.124960e-04,2.151360e-04,9.894400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-20,7.374195e-01,4.853600e-04,1.174720e-04,2.193920e-04,1.014720e-04,1.228800e-05,
-1.000000,1024,OS1-6,2.572995e+00,1.391040e-04,,,,,
-1.000000,1024,OS1-7,2.259101e+00,1.584320e-04,,,,,
-1.000000,1024,OS1-8,1.999966e+00,1.789600e-04,,,,,
-1.000000,1024,OS1-9,1.767791e+00,2.024640e-04,,,,,
-1.000000,1024,DTRTRMM (GEMM),4.941379e+00,7.243200e-05,,,,,
-1.000000,2048,OS2-i8-fast-9,9.074437e+00,3.155360e-04,7.838400e-05,1.134400e-04,7.774400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-10,8.668716e+00,3.303040e-04,8.342400e-05,1.165280e-04,8.289600e-05,2.284800e-05,
-1.000000,2048,OS2-i8-fast-11,7.869007e+00,3.638720e-04,8.654400e-05,1.335840e-04,9.398400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-12,7.538840e+00,3.798080e-04,9.014400e-05,1.399680e-04,9.953600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-13,7.199460e+00,3.977120e-04,9.420800e-05,1.468480e-04,1.054080e-04,2.457600e-05,
-1.000000,2048,OS2-i8-fast-14,6.939006e+00,4.126400e-04,9.755200e-05,1.514560e-04,1.115520e-04,2.470400e-05,
-1.000000,2048,OS2-i8-fast-15,6.437069e+00,4.448160e-04,1.016960e-04,1.662560e-04,1.220800e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-16,6.034224e+00,4.745120e-04,1.184960e-04,1.725760e-04,1.278400e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-17,5.791300e+00,4.944160e-04,1.239520e-04,1.800800e-04,1.330240e-04,2.684800e-05,
-1.000000,2048,OS2-i8-fast-18,5.600982e+00,5.112160e-04,1.284960e-04,1.849440e-04,1.381280e-04,2.867200e-05,
-1.000000,2048,OS2-i8-fast-19,5.389783e+00,5.312480e-04,1.344800e-04,1.902080e-04,1.443520e-04,3.072000e-05,
-1.000000,2048,OS2-i8-fast-20,5.070896e+00,5.646560e-04,1.404160e-04,2.056960e-04,1.546080e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-9,8.042649e+00,3.560160e-04,1.185120e-04,1.127680e-04,7.793600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-10,7.663125e+00,3.736480e-04,1.257760e-04,1.168640e-04,8.321600e-05,2.284800e-05,
-1.000000,2048,OS2-i8-accu-11,7.082917e+00,4.042560e-04,1.287360e-04,1.324320e-04,9.302400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-12,6.747492e+00,4.243520e-04,1.336640e-04,1.400800e-04,9.948800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-13,6.481600e+00,4.417600e-04,1.379040e-04,1.465120e-04,1.052320e-04,2.457600e-05,
-1.000000,2048,OS2-i8-accu-14,6.301746e+00,4.543680e-04,1.404160e-04,1.506720e-04,1.107200e-04,2.467200e-05,
-1.000000,2048,OS2-i8-accu-15,5.874954e+00,4.873760e-04,1.449280e-04,1.660160e-04,1.210240e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-16,5.527799e+00,5.179840e-04,1.622400e-04,1.724160e-04,1.275200e-04,2.662400e-05,
