phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.862492e+00,1.853280e-04,3.464000e-05,7.555200e-05,4.406400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.722686e+00,1.922880e-04,3.660800e-05,7.617600e-05,4.756800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.342241e+00,2.141760e-04,3.715200e-05,8.960000e-05,5.374400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.227008e+00,2.218240e-04,4.056000e-05,8.982400e-05,5.630400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,3.175473e+00,2.254240e-04,4.112000e-05,8.934400e-05,5.824000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,3.112079e+00,2.300160e-04,4.260800e-05,8.979200e-05,6.009600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.840767e+00,2.519840e-04,4.409600e-05,1.028480e-04,6.668800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.732501e+00,2.619680e-04,5.156800e-05,1.018880e-04,6.849600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.636373e+00,2.715200e-04,5.340800e-05,1.056640e-04,7.019200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-18,2.590276e+00,2.763520e-04,5.507200e-05,1.059520e-04,7.276800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-19,2.538397e+00,2.820000e-04,5.744000e-05,1.061760e-04,7.481600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.352097e+00,3.043360e-04,5.984000e-05,1.189440e-04,8.102400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.349247e+00,2.137280e-04,6.121600e-05,7.625600e-05,4.454400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.247386e+00,2.204320e-04,6.443200e-05,7.622400e-05,4.766400e-05,1.017600e-05,
-1.000000,1024,OS2-i8-accu-11,2.970536e+00,2.409760e-04,6.416000e-05,8.947200e-05,5.404800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.912522e+00,2.457760e-04,6.553600e-05,8.812800e-05,5.635200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.854360e+00,2.507840e-04,6.635200e-05,8.892800e-05,5.822400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.795329e+00,2.560800e-04,6.870400e-05,8.886400e-05,6.028800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.588178e+00,2.765760e-04,6.960000e-05,1.019520e-04,6.646400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.490772e+00,2.873920e-04,7.708800e-05,1.022720e-04,6.819200e-05,1.224000e-05,
-1.000000,1024,OS2-i8-accu-17,2.420693e+00,2.957120e-04,7.902400e-05,1.047520e-04,6.998400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-18,2.371422e+00,3.018560e-04,7.996800e-05,1.058240e-04,7.249600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-19,2.320500e+00,3.084800e-04,8.236800e-05,1.071360e-04,7.448000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-20,2.181976e+00,3.280640e-04,8.291200e-05,1.192000e-04,8.088000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-9,2.856182e+00,2.506240e-04,4.833600e-05,1.145760e-04,5.432000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,2.559600e+00,2.796640e-04,5.193600e-05,1.310400e-04,6.136000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-11,2.457930e+00,2.912320e-04,5.540800e-05,1.360320e-04,6.396800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.242681e+00,3.191840e-04,5.923200e-05,1.507680e-04,7.150400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,2.029819e+00,3.526560e-04,7.739200e-05,1.632800e-04,7.382400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.952059e+00,3.667040e-04,8.148800e-05,1.673440e-04,7.689600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-15,1.809620e+00,3.955680e-04,8.620800e-05,1.826080e-04,8.307200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-16,1.789283e+00,4.000640e-04,9.017600e-05,1.789440e-04,8.595200e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-17,1.735088e+00,4.125600e-04,9.424000e-05,1.830240e-04,8.920000e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-18,1.625581e+00,4.403520e-04,9.828800e-05,1.985440e-04,9.660800e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-19,1.549357e+00,4.620160e-04,1.023360e-04,2.117280e-04,9.971200e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-20,1.500159e+00,4.771680e-04,1.076000e-04,2.161600e-04,1.036800e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-9,2.640886e+00,2.710560e-04,6.937600e-05,1.144640e-04,5.400000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-10,2.382789e+00,3.004160e-04,7.225600e-05,1.309920e-04,6.142400e-05,1.228800e-05,
