phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.911280e+00,1.872640e-04,2.822400e-05,7.867200e-05,4.649600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.865534e+00,1.918560e-04,3.012800e-05,7.875200e-05,4.891200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.673246e+00,2.139040e-04,3.123200e-05,9.129600e-05,5.606400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.642772e+00,2.178720e-04,3.251200e-05,9.126400e-05,5.848000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.606898e+00,2.227360e-04,3.401600e-05,9.132800e-05,6.150400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.577659e+00,2.268640e-04,3.494400e-05,9.134400e-05,6.385600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.434594e+00,2.494880e-04,3.636800e-05,1.047360e-04,7.003200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.380159e+00,2.593280e-04,4.400000e-05,1.045120e-04,7.195200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-17,1.339418e+00,2.672160e-04,4.606400e-05,1.066720e-04,7.488000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-18,1.302604e+00,2.747680e-04,4.832000e-05,1.073120e-04,7.702400e-05,1.052800e-05,
-1.000000,1024,OS2-i8-fast-19,1.275567e+00,2.805920e-04,5.056000e-05,1.062880e-04,8.022400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.174012e+00,3.048640e-04,5.246400e-05,1.195840e-04,8.726400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.649069e+00,2.170400e-04,5.795200e-05,7.808000e-05,4.723200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.622516e+00,2.205920e-04,5.923200e-05,7.864000e-05,4.907200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.469173e+00,2.436160e-04,6.075200e-05,9.126400e-05,5.566400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.444786e+00,2.477280e-04,6.214400e-05,9.100800e-05,5.888000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.412848e+00,2.533280e-04,6.408000e-05,9.131200e-05,6.096000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.392098e+00,2.571040e-04,6.444800e-05,9.140800e-05,6.323200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-15,1.279434e+00,2.797440e-04,6.604800e-05,1.044320e-04,7.011200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-16,1.241171e+00,2.883680e-04,7.304000e-05,1.040320e-04,7.168000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-17,1.210543e+00,2.956640e-04,7.467200e-05,1.058560e-04,7.475200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-18,1.181765e+00,3.028640e-04,7.673600e-05,1.064960e-04,7.728000e-05,1.052800e-05,
-1.000000,1024,OS2-i8-accu-19,1.163206e+00,3.076960e-04,7.744000e-05,1.054560e-04,8.038400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.082750e+00,3.305600e-04,7.867200e-05,1.192000e-04,8.702400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.432940e+00,2.497760e-04,4.430400e-05,1.173600e-04,5.395200e-05,1.017600e-05,
-1.000000,1024,OS2-f8-fast-10,1.276295e+00,2.804320e-04,4.937600e-05,1.339200e-04,6.160000e-05,1.017600e-05,
-1.000000,1024,OS2-f8-fast-11,1.226136e+00,2.919040e-04,5.371200e-05,1.370880e-04,6.462400e-05,1.011200e-05,
-1.000000,1024,OS2-f8-fast-12,1.118705e+00,3.199360e-04,5.790400e-05,1.536160e-04,7.182400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-13,9.707773e-01,3.686880e-04,9.328000e-05,1.656640e-04,7.182400e-05,1.011200e-05,
-1.000000,1024,OS2-f8-fast-14,9.242499e-01,3.872480e-04,1.022720e-04,1.688320e-04,7.635200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-15,8.610324e-01,4.156800e-04,1.067520e-04,1.852320e-04,8.212800e-05,1.222400e-05,
-1.000000,1024,OS2-f8-fast-16,8.753178e-01,4.088960e-04,9.979200e-05,1.813120e-04,8.507200e-05,1.227200e-05,
-1.000000,1024,OS2-f8-fast-17,7.878847e-01,4.542720e-04,1.386720e-04,1.846400e-04,8.771200e-05,1.222400e-05,
-1.000000,1024,OS2-f8-fast-18,7.658731e-01,4.673280e-04,1.268320e-04,2.012320e-04,9.483200e-05,1.222400e-05,
