phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.909406e+00,1.831040e-04,3.321600e-05,7.510400e-05,4.339200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.798221e+00,1.884640e-04,3.512000e-05,7.523200e-05,4.614400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.395253e+00,2.108320e-04,3.611200e-05,8.859200e-05,5.276800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.299354e+00,2.169600e-04,3.824000e-05,8.856000e-05,5.456000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.212872e+00,2.228000e-04,3.936000e-05,8.899200e-05,5.763200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.136295e+00,2.282400e-04,4.088000e-05,8.968000e-05,6.020800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.869372e+00,2.494720e-04,4.259200e-05,1.024000e-04,6.616000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.759297e+00,2.594240e-04,4.844800e-05,1.017760e-04,6.924800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.670521e+00,2.680480e-04,5.008000e-05,1.048320e-04,7.062400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.632804e+00,2.718880e-04,5.139200e-05,1.050080e-04,7.280000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.560479e+00,2.795680e-04,5.331200e-05,1.059520e-04,7.483200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-20,2.386984e+00,2.998880e-04,5.488000e-05,1.181920e-04,8.115200e-05,1.436800e-05,
-1.000000,1024,OS2-i8-accu-9,3.334519e+00,2.146720e-04,6.307200e-05,7.619200e-05,4.425600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.274002e+00,2.186400e-04,6.393600e-05,7.574400e-05,4.692800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.995597e+00,2.389600e-04,6.451200e-05,8.872000e-05,5.267200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.921270e+00,2.450400e-04,6.673600e-05,8.817600e-05,5.483200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.854178e+00,2.508000e-04,6.753600e-05,8.844800e-05,5.780800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.808842e+00,2.548480e-04,6.875200e-05,8.862400e-05,5.990400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-15,2.587879e+00,2.766080e-04,7.001600e-05,1.012640e-04,6.624000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.493965e+00,2.870240e-04,7.660800e-05,1.015520e-04,6.816000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-17,2.406500e+00,2.974560e-04,7.899200e-05,1.045440e-04,7.033600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.377344e+00,3.011040e-04,7.940800e-05,1.054880e-04,7.273600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.333450e+00,3.067680e-04,8.147200e-05,1.055520e-04,7.376000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-20,2.182509e+00,3.279840e-04,8.208000e-05,1.186560e-04,8.097600e-05,1.440000e-05,
-1.000000,1024,OS2-f8-fast-9,2.898182e+00,2.469920e-04,4.510400e-05,1.137440e-04,5.438400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,2.604147e+00,2.748800e-04,4.857600e-05,1.301280e-04,6.160000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-11,2.494104e+00,2.870080e-04,5.171200e-05,1.356960e-04,6.369600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.272296e+00,3.150240e-04,5.508800e-05,1.519040e-04,7.108800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,2.015281e+00,3.552000e-04,8.209600e-05,1.619040e-04,7.369600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.905663e+00,3.756320e-04,9.219200e-05,1.666240e-04,7.622400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-15,1.781163e+00,4.018880e-04,9.505600e-05,1.816960e-04,8.315200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-16,1.817708e+00,3.938080e-04,8.617600e-05,1.781440e-04,8.574400e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-17,1.623163e+00,4.410080e-04,1.243040e-04,1.809280e-04,9.041600e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-18,1.584812e+00,4.516800e-04,1.114880e-04,1.970560e-04,9.640000e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-19,1.502729e+00,4.763520e-04,1.168320e-04,2.116000e-04,1.005120e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-20,1.458159e+00,4.909120e-04,1.227040e-04,2.157440e-04,1.029280e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-9,2.625543e+00,2.726400e-04,7.100800e-05,1.140320e-04,5.408000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-10,2.375703e+00,3.013120e-04,7.393600e-05,1.301440e-04,6.150400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-11,2.279474e+00,3.140320e-04,7.712000e-05,1.356960e-04,6.451200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.109148e+00,3.393920e-04,8.011200e-05,1.514880e-04,7.104000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-13,1.970371e+00,3.632960e-04,8.873600e-05,1.624000e-04,7.388800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-14,1.896454e+00,3.774560e-04,9.340800e-05,1.667840e-04,7.568000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-15,1.773115e+00,4.037120e-04,9.577600e-05,1.824640e-04,8.339200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-16,1.752899e+00,4.083680e-04,1.005280e-04,1.780800e-04,8.601600e-05,1.436800e-05,
-1.000000,1024,OS2-f8-accu-17,1.700271e+00,4.210080e-04,1.037920e-04,1.813600e-04,8.910400e-05,1.638400e-05,
-1.000000,1024,OS2-f8-accu-18,1.589316e+00,4.504000e-04,1.091040e-04,1.968320e-04,9.684800e-05,1.638400e-05,
-1.000000,1024,OS2-f8-accu-19,1.519159e+00,4.712000e-04,1.119520e-04,2.114720e-04,9.984000e-05,1.638400e-05,
-1.000000,1024,OS2-f8-accu-20,1.473916e+00,4.856640e-04,1.166400e-04,2.156000e-04,1.026080e-04,1.843200e-05,
-1.000000,1024,OS1-6,5.274610e+00,1.357120e-04,,,,,
-1.000000,1024,OS1-7,4.595711e+00,1.557600e-04,,,,,
-1.000000,1024,OS1-8,4.067943e+00,1.759680e-04,,,,,
-1.000000,1024,OS1-9,3.596981e+00,1.990080e-04,,,,,
-1.000000,1024,DTRTRMM (GEMM),9.911219e+00,7.222400e-05,,,,,
-1.000000,2048,OS2-i8-fast-9,1.936973e+01,2.956480e-04,7.027200e-05,1.142560e-04,6.283200e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-10,1.846535e+01,3.101280e-04,7.419200e-05,1.202720e-04,6.620800e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-11,1.678692e+01,3.411360e-04,7.772800e-05,1.371520e-04,7.446400e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-12,1.598544e+01,3.582400e-04,8.139200e-05,1.434080e-04,7.929600e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-13,1.521484e+01,3.763840e-04,8.497600e-05,1.478080e-04,8.713600e-05,3.075200e-05,
-1.000000,2048,OS2-i8-fast-14,1.461052e+01,3.919520e-04,8.864000e-05,1.550720e-04,9.008000e-05,3.276800e-05,
-1.000000,2048,OS2-i8-fast-15,1.355529e+01,4.224640e-04,9.238400e-05,1.699520e-04,9.830400e-05,3.481600e-05,
-1.000000,2048,OS2-i8-fast-16,1.255750e+01,4.560320e-04,1.116320e-04,1.756960e-04,1.041920e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-17,1.195158e+01,4.791520e-04,1.166400e-04,1.816160e-04,1.129600e-04,3.891200e-05,
