phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.877892e+00,1.845920e-04,3.379200e-05,7.532800e-05,4.409600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.817993e+00,1.874880e-04,3.492800e-05,7.555200e-05,4.616000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.361073e+00,2.129760e-04,3.694400e-05,8.915200e-05,5.353600e-05,1.030400e-05,
-1.000000,1024,OS2-i8-fast-12,3.277600e+00,2.184000e-04,3.854400e-05,8.828800e-05,5.604800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.208954e+00,2.230720e-04,3.944000e-05,8.859200e-05,5.848000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.138055e+00,2.281120e-04,4.088000e-05,8.931200e-05,6.044800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-15,2.866981e+00,2.496800e-04,4.284800e-05,1.020480e-04,6.648000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.773323e+00,2.581120e-04,4.918400e-05,1.012800e-04,6.833600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.706548e+00,2.644800e-04,5.003200e-05,1.041280e-04,6.993600e-05,1.227200e-05,
-1.000000,1024,OS2-i8-fast-18,2.640262e+00,2.711200e-04,5.190400e-05,1.047360e-04,7.161600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.585635e+00,2.768480e-04,5.334400e-05,1.053600e-04,7.406400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.401720e+00,2.980480e-04,5.531200e-05,1.189120e-04,7.977600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.383697e+00,2.115520e-04,6.040000e-05,7.587200e-05,4.416000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.277360e+00,2.184160e-04,6.387200e-05,7.574400e-05,4.673600e-05,1.020800e-05,
