phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.770589e+00,2.021440e-04,4.043200e-05,7.891200e-05,4.724800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.740420e+00,2.056480e-04,4.168000e-05,7.884800e-05,4.929600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.569798e+00,2.280000e-04,4.489600e-05,9.182400e-05,5.572800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.536270e+00,2.329760e-04,4.585600e-05,9.132800e-05,5.955200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.503436e+00,2.380640e-04,4.779200e-05,9.142400e-05,6.160000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.472364e+00,2.430880e-04,4.945600e-05,9.132800e-05,6.403200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.352292e+00,2.646720e-04,5.081600e-05,1.045920e-04,7.065600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.310080e+00,2.732000e-04,5.696000e-05,1.048000e-04,7.227200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-17,1.276222e+00,2.804480e-04,5.891200e-05,1.065120e-04,7.505600e-05,1.027200e-05,
-1.000000,1024,OS2-i8-fast-18,1.250818e+00,2.861440e-04,6.115200e-05,1.065440e-04,7.718400e-05,1.049600e-05,
-1.000000,1024,OS2-i8-fast-19,1.227145e+00,2.916640e-04,6.222400e-05,1.060160e-04,8.009600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.131608e+00,3.162880e-04,6.414400e-05,1.196160e-04,8.728000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.541776e+00,2.321440e-04,7.264000e-05,7.809600e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.515557e+00,2.361600e-04,7.387200e-05,7.832000e-05,4.934400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.390800e+00,2.573440e-04,7.475200e-05,9.110400e-05,5.628800e-05,1.024000e-05,
