phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.897339e+00,1.886400e-04,2.964800e-05,7.835200e-05,4.684800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.859486e+00,1.924800e-04,2.998400e-05,7.848000e-05,4.964800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.670621e+00,2.142400e-04,3.116800e-05,9.124800e-05,5.644800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.632104e+00,2.192960e-04,3.236800e-05,9.132800e-05,5.968000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.603212e+00,2.232480e-04,3.408000e-05,9.136000e-05,6.160000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.576658e+00,2.270080e-04,3.520000e-05,9.108800e-05,6.371200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.432573e+00,2.498400e-04,3.657600e-05,1.046080e-04,7.024000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.375915e+00,2.601280e-04,4.451200e-05,1.044000e-04,7.209600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-17,1.335420e+00,2.680160e-04,4.619200e-05,1.068000e-04,7.507200e-05,1.036800e-05,
-1.000000,1024,OS2-i8-fast-18,1.297843e+00,2.757760e-04,4.854400e-05,1.068160e-04,7.747200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-19,1.271579e+00,2.814720e-04,5.054400e-05,1.062080e-04,8.062400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.174813e+00,3.046560e-04,5.272000e-05,1.192000e-04,8.745600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.649677e+00,2.169600e-04,5.835200e-05,7.809600e-05,4.721600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.620870e+00,2.208160e-04,5.899200e-05,7.827200e-05,4.928000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.469945e+00,2.434880e-04,6.048000e-05,9.107200e-05,5.648000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.440785e+00,2.484160e-04,6.214400e-05,9.094400e-05,5.958400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.412224e+00,2.534400e-04,6.419200e-05,9.120000e-05,6.139200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.397839e+00,2.560480e-04,6.448000e-05,9.121600e-05,6.288000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-15,1.278629e+00,2.799200e-04,6.593600e-05,1.045600e-04,7.073600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-16,1.235822e+00,2.896160e-04,7.368000e-05,1.044640e-04,7.208000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-17,1.212117e+00,2.952800e-04,7.388800e-05,1.061760e-04,7.510400e-05,1.030400e-05,
-1.000000,1024,OS2-i8-accu-18,1.181265e+00,3.029920e-04,7.657600e-05,1.063200e-04,7.747200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-19,1.161334e+00,3.081920e-04,7.699200e-05,1.056480e-04,8.054400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.082645e+00,3.305920e-04,7.872000e-05,1.191520e-04,8.747200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.431472e+00,2.500320e-04,4.428800e-05,1.160640e-04,5.486400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.288647e+00,2.777440e-04,4.940800e-05,1.322560e-04,6.128000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,1.232486e+00,2.904000e-04,5.353600e-05,1.358400e-04,6.520000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-12,1.119265e+00,3.197760e-04,5.841600e-05,1.522720e-04,7.190400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-13,9.679210e-01,3.697760e-04,9.329600e-05,1.651840e-04,7.369600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-14,9.281230e-01,3.856320e-04,1.024640e-04,1.688640e-04,7.574400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-15,8.599070e-01,4.162240e-04,1.068160e-04,1.848160e-04,8.230400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-16,8.726884e-01,4.101280e-04,9.966400e-05,1.806560e-04,8.724800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-17,7.881067e-01,4.541440e-04,1.384800e-04,1.844160e-04,8.841600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-18,7.646427e-01,4.680800e-04,1.263200e-04,2.005600e-04,9.654400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-19,7.283438e-01,4.914080e-04,1.325440e-04,2.143200e-04,9.926400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-20,7.065132e-01,5.065920e-04,1.389760e-04,2.191360e-04,1.018720e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-9,1.311693e+00,2.728640e-04,6.662400e-05,1.166240e-04,5.476800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,1.197005e+00,2.990080e-04,6.984000e-05,1.331040e-04,6.144000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,1.152064e+00,3.106720e-04,7.353600e-05,1.358400e-04,6.492800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-12,1.058466e+00,3.381440e-04,7.676800e-05,1.525600e-04,7.169600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-13,9.804787e-01,3.650400e-04,8.678400e-05,1.663360e-04,7.376000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-14,9.423549e-01,3.798080e-04,9.307200e-05,1.703200e-04,7.737600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-15,8.759690e-01,4.085920e-04,9.489600e-05,1.861920e-04,8.494400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-16,8.745991e-01,4.092320e-04,9.913600e-05,1.810080e-04,8.598400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-17,8.467568e-01,4.226880e-04,1.030880e-04,1.854880e-04,9.057600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-18,7.933896e-01,4.511200e-04,1.078400e-04,2.013280e-04,9.737600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-19,7.581894e-01,4.720640e-04,1.110880e-04,2.155360e-04,1.001440e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-20,7.340078e-01,4.876160e-04,1.157600e-04,2.202880e-04,1.037920e-04,1.228800e-05,
-1.000000,1024,OS1-6,2.593880e+00,1.379840e-04,,,,,
-1.000000,1024,OS1-7,2.268494e+00,1.577760e-04,,,,,
-1.000000,1024,OS1-8,2.010572e+00,1.780160e-04,,,,,
-1.000000,1024,OS1-9,1.780596e+00,2.010080e-04,,,,,
-1.000000,1024,DTRTRMM (GEMM),4.800348e+00,7.456000e-05,,,,,
-1.000000,2048,OS2-i8-fast-9,9.452618e+00,3.029120e-04,6.235200e-05,1.151040e-04,7.936000e-05,2.275200e-05,
-1.000000,2048,OS2-i8-fast-10,9.008657e+00,3.178400e-04,6.595200e-05,1.184160e-04,8.462400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,8.207529e+00,3.488640e-04,6.899200e-05,1.356320e-04,9.489600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-12,7.827704e+00,3.657920e-04,7.272000e-05,1.417600e-04,1.011360e-04,2.457600e-05,
-1.000000,2048,OS2-i8-fast-13,7.492755e+00,3.821440e-04,7.624000e-05,1.482720e-04,1.070880e-04,2.457600e-05,
-1.000000,2048,OS2-i8-fast-14,7.212808e+00,3.969760e-04,7.940800e-05,1.525600e-04,1.129440e-04,2.457600e-05,
-1.000000,2048,OS2-i8-fast-15,6.649215e+00,4.306240e-04,8.348800e-05,1.681600e-04,1.233280e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-16,6.197429e+00,4.620160e-04,1.020480e-04,1.745760e-04,1.292160e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-17,5.955109e+00,4.808160e-04,1.079680e-04,1.798880e-04,1.354080e-04,2.688000e-05,
-1.000000,2048,OS2-i8-fast-18,5.747037e+00,4.982240e-04,1.131840e-04,1.849760e-04,1.403200e-04,2.867200e-05,
-1.000000,2048,OS2-i8-fast-19,5.522341e+00,5.184960e-04,1.187520e-04,1.900640e-04,1.473280e-04,3.072000e-05,
-1.000000,2048,OS2-i8-fast-20,5.186858e+00,5.520320e-04,1.245280e-04,2.069760e-04,1.574560e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-9,8.357008e+00,3.426240e-04,1.037120e-04,1.142080e-04,7.832000e-05,2.276800e-05,
-1.000000,2048,OS2-i8-accu-10,8.009890e+00,3.574720e-04,1.066080e-04,1.178880e-04,8.420800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,7.350268e+00,3.895520e-04,1.098720e-04,1.345280e-04,9.505600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-12,7.065578e+00,4.052480e-04,1.138880e-04,1.406720e-04,1.000960e-04,2.457600e-05,
-1.000000,2048,OS2-i8-accu-13,6.763813e+00,4.233280e-04,1.181440e-04,1.474080e-04,1.061280e-04,2.457600e-05,
-1.000000,2048,OS2-i8-accu-14,6.557122e+00,4.366720e-04,1.206400e-04,1.512320e-04,1.127200e-04,2.457600e-05,
-1.000000,2048,OS2-i8-accu-15,6.081800e+00,4.708000e-04,1.245920e-04,1.675360e-04,1.235040e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-16,5.729006e+00,4.997920e-04,1.409760e-04,1.739200e-04,1.291520e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-17,5.538920e+00,5.169440e-04,1.444960e-04,1.794560e-04,1.352800e-04,2.684800e-05,
-1.000000,2048,OS2-i8-accu-18,5.346308e+00,5.355680e-04,1.501440e-04,1.851520e-04,1.405600e-04,2.867200e-05,
-1.000000,2048,OS2-i8-accu-19,5.182202e+00,5.525280e-04,1.531360e-04,1.894240e-04,1.476640e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-20,4.913296e+00,5.827680e-04,1.562880e-04,2.063520e-04,1.573440e-04,3.072000e-05,
-1.000000,2048,OS2-f8-fast-9,5.625455e+00,5.089920e-04,1.045120e-04,2.682240e-04,8.686400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-10,5.046870e+00,5.673440e-04,1.163360e-04,3.018080e-04,9.934400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-11,4.700858e+00,6.091040e-04,1.299360e-04,3.212640e-04,1.068480e-04,2.470400e-05,
-1.000000,2048,OS2-f8-fast-12,4.290917e+00,6.672960e-04,1.421920e-04,3.544320e-04,1.182880e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-13,3.640741e+00,7.864640e-04,2.245760e-04,3.830080e-04,1.247360e-04,2.678400e-05,
-1.000000,2048,OS2-f8-fast-14,3.350188e+00,8.546720e-04,2.640800e-04,4.017120e-04,1.312160e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-15,3.124140e+00,9.165120e-04,2.796480e-04,4.342240e-04,1.448160e-04,2.889600e-05,
-1.000000,2048,OS2-f8-fast-16,3.187577e+00,8.982720e-04,2.544160e-04,4.338080e-04,1.486560e-04,3.072000e-05,
-1.000000,2048,OS2-f8-fast-17,2.802289e+00,1.021776e-03,3.499840e-04,4.509120e-04,1.585600e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-18,2.698305e+00,1.061152e-03,3.431040e-04,4.822560e-04,1.681280e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-19,2.533904e+00,1.130000e-03,3.640000e-04,5.200000e-04,1.786400e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-20,2.436745e+00,1.175056e-03,3.844800e-04,5.329920e-04,1.880800e-04,3.683200e-05,
-1.000000,2048,OS2-f8-accu-9,5.168283e+00,5.540160e-04,1.479200e-04,2.673120e-04,8.996800e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-10,4.705308e+00,6.085280e-04,1.576000e-04,3.016320e-04,1.011040e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-11,4.442273e+00,6.445600e-04,1.672480e-04,3.197280e-04,1.063840e-04,2.473600e-05,
-1.000000,2048,OS2-f8-accu-12,4.081675e+00,7.015040e-04,1.761600e-04,3.535840e-04,1.194080e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-13,3.704270e+00,7.729760e-04,2.123520e-04,3.810880e-04,1.244960e-04,2.681600e-05,
-1.000000,2048,OS2-f8-accu-14,3.516545e+00,8.142400e-04,2.239360e-04,4.009600e-04,1.330240e-04,2.867200e-05,
