phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.862825e+00,1.853120e-04,3.480000e-05,7.534400e-05,4.388800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.767198e+00,1.900160e-04,3.664000e-05,7.528000e-05,4.609600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.333029e+00,2.147680e-04,3.838400e-05,8.904000e-05,5.350400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,3.265638e+00,2.192000e-04,4.049600e-05,8.841600e-05,5.480000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.171421e+00,2.257120e-04,4.208000e-05,8.920000e-05,5.774400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.100003e+00,2.309120e-04,4.374400e-05,8.995200e-05,5.979200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.846551e+00,2.514720e-04,4.480000e-05,1.023360e-04,6.592000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.738523e+00,2.613920e-04,5.238400e-05,1.017440e-04,6.732800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-17,2.644320e+00,2.707040e-04,5.388800e-05,1.047840e-04,6.990400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.585486e+00,2.768640e-04,5.614400e-05,1.064640e-04,7.169600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.539261e+00,2.819040e-04,5.800000e-05,1.065120e-04,7.348800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.359167e+00,3.034240e-04,6.004800e-05,1.194080e-04,7.928000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.339996e+00,2.143200e-04,6.230400e-05,7.611200e-05,4.449600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.274242e+00,2.186240e-04,6.388800e-05,7.593600e-05,4.689600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.962471e+00,2.416320e-04,6.572800e-05,8.873600e-05,5.270400e-05,1.027200e-05,
-1.000000,1024,OS2-i8-accu-12,2.922414e+00,2.449440e-04,6.667200e-05,8.784000e-05,5.488000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.843656e+00,2.517280e-04,6.854400e-05,8.872000e-05,5.670400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.802157e+00,2.554560e-04,6.988800e-05,8.884800e-05,5.883200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.588178e+00,2.765760e-04,7.110400e-05,1.020160e-04,6.523200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.487172e+00,2.878080e-04,7.832000e-05,1.017440e-04,6.736000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-17,2.417031e+00,2.961600e-04,8.020800e-05,1.044160e-04,6.915200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.359665e+00,3.033600e-04,8.128000e-05,1.056960e-04,7.244800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.333085e+00,3.068160e-04,8.270400e-05,1.061440e-04,7.433600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-20,2.170965e+00,3.297280e-04,8.432000e-05,1.193760e-04,8.092800e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-9,2.878417e+00,2.486880e-04,4.825600e-05,1.134720e-04,5.416000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.560625e+00,2.795520e-04,5.184000e-05,1.307520e-04,6.140800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-11,2.455232e+00,2.915520e-04,5.576000e-05,1.361280e-04,6.356800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.244368e+00,3.189440e-04,5.936000e-05,1.517280e-04,7.032000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,2.036008e+00,3.515840e-04,7.728000e-05,1.613120e-04,7.419200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.958297e+00,3.655360e-04,8.224000e-05,1.660320e-04,7.683200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-15,1.818225e+00,3.936960e-04,8.608000e-05,1.821920e-04,8.334400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-16,1.791935e+00,3.994720e-04,9.036800e-05,1.778240e-04,8.681600e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-17,1.733004e+00,4.130560e-04,9.456000e-05,1.828640e-04,9.017600e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-18,1.624932e+00,4.405280e-04,9.889600e-05,1.976320e-04,9.700800e-05,1.638400e-05,
-1.000000,1024,OS2-f8-fast-19,1.546840e+00,4.627680e-04,1.027520e-04,2.112960e-04,1.011360e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-20,1.503486e+00,4.761120e-04,1.073440e-04,2.153760e-04,1.038080e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-9,2.609615e+00,2.743040e-04,7.198400e-05,1.139360e-04,5.404800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-10,2.368785e+00,3.021920e-04,7.502400e-05,1.302720e-04,6.123200e-05,1.228800e-05,
