phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.931246e+00,1.853280e-04,3.364800e-05,7.520000e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.866468e+00,1.917600e-04,3.635200e-05,7.556800e-05,4.835200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.669749e+00,2.143520e-04,3.736000e-05,8.857600e-05,5.513600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.649677e+00,2.169600e-04,3.846400e-05,8.828800e-05,5.657600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.607013e+00,2.227200e-04,3.972800e-05,8.868800e-05,5.947200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.573220e+00,2.275040e-04,4.153600e-05,8.876800e-05,6.132800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-15,1.432022e+00,2.499360e-04,4.278400e-05,1.019840e-04,6.800000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-16,1.376846e+00,2.599520e-04,5.112000e-05,1.017280e-04,6.998400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-17,1.333192e+00,2.684640e-04,5.331200e-05,1.045440e-04,7.260800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-18,1.313079e+00,2.725760e-04,5.529600e-05,1.043680e-04,7.486400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-19,1.276004e+00,2.804960e-04,5.662400e-05,1.048480e-04,7.720000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.181640e+00,3.028960e-04,5.881600e-05,1.173120e-04,8.344000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.653335e+00,2.164800e-04,6.361600e-05,7.577600e-05,4.566400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.610600e+00,2.222240e-04,6.603200e-05,7.561600e-05,4.828800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.475082e+00,2.426400e-04,6.665600e-05,8.812800e-05,5.470400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.452761e+00,2.463680e-04,6.787200e-05,8.785600e-05,5.635200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.423004e+00,2.515200e-04,6.984000e-05,8.849600e-05,5.865600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.400728e+00,2.555200e-04,7.056000e-05,8.819200e-05,6.089600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-15,1.294613e+00,2.764640e-04,7.112000e-05,1.013440e-04,6.745600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-16,1.241722e+00,2.882400e-04,7.881600e-05,1.017120e-04,7.024000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-17,1.218721e+00,2.936800e-04,7.976000e-05,1.040320e-04,7.188800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-18,1.194576e+00,2.996160e-04,8.211200e-05,1.037120e-04,7.454400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-19,1.170510e+00,3.057760e-04,8.288000e-05,1.046400e-04,7.673600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.087858e+00,3.290080e-04,8.457600e-05,1.179520e-04,8.348800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.467053e+00,2.439680e-04,4.707200e-05,1.138400e-04,5.068800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,1.324587e+00,2.702080e-04,5.064000e-05,1.297280e-04,5.686400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-11,1.266324e+00,2.826400e-04,5.419200e-05,1.342400e-04,5.993600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.151826e+00,3.107360e-04,5.787200e-05,1.516320e-04,6.601600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-13,1.040738e+00,3.439040e-04,7.612800e-05,1.620000e-04,6.974400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-14,1.011651e+00,3.537920e-04,7.974400e-05,1.661440e-04,7.123200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-15,9.280845e-01,3.856480e-04,8.420800e-05,1.830560e-04,8.003200e-05,1.025600e-05,
-1.000000,1024,OS2-f8-fast-16,9.193499e-01,3.893120e-04,8.840000e-05,1.785600e-04,8.206400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-17,8.890240e-01,4.025920e-04,9.336000e-05,1.827840e-04,8.542400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-18,8.326368e-01,4.298560e-04,9.705600e-05,1.983520e-04,9.184000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-19,7.910609e-01,4.524480e-04,1.013120e-04,2.121600e-04,9.496000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-20,7.703038e-01,4.646400e-04,1.058400e-04,2.162560e-04,9.824000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,1.345056e+00,2.660960e-04,6.956800e-05,1.135840e-04,5.062400e-05,1.024000e-05,
