phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.570570e+00,2.004800e-04,4.038400e-05,7.902400e-05,4.547200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.521666e+00,2.032640e-04,4.118400e-05,7.883200e-05,4.809600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.170073e+00,2.258080e-04,4.280000e-05,9.145600e-05,5.472000e-05,1.049600e-05,
-1.000000,1024,OS2-i8-fast-12,3.096570e+00,2.311680e-04,4.483200e-05,9.182400e-05,5.566400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.043279e+00,2.352160e-04,4.678400e-05,9.148800e-05,5.744000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,2.993993e+00,2.390880e-04,4.790400e-05,9.164800e-05,5.955200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-15,2.728835e+00,2.623200e-04,4.926400e-05,1.046720e-04,6.691200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-16,2.655306e+00,2.695840e-04,5.574400e-05,1.042560e-04,6.806400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-17,2.567237e+00,2.788320e-04,5.766400e-05,1.066880e-04,7.208000e-05,1.260800e-05,
-1.000000,1024,OS2-i8-fast-18,2.506400e+00,2.856000e-04,5.889600e-05,1.064160e-04,7.505600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.460904e+00,2.908800e-04,6.032000e-05,1.067360e-04,7.792000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.281101e+00,3.138080e-04,6.209600e-05,1.202240e-04,8.430400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-9,3.115329e+00,2.297760e-04,7.278400e-05,7.808000e-05,4.523200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.064751e+00,2.335680e-04,7.416000e-05,7.801600e-05,4.732800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,2.786971e+00,2.568480e-04,7.526400e-05,9.104000e-05,5.459200e-05,1.049600e-05,
-1.000000,1024,OS2-i8-accu-12,2.752507e+00,2.600640e-04,7.539200e-05,9.100800e-05,5.558400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.689303e+00,2.661760e-04,7.787200e-05,9.118400e-05,5.803200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.661941e+00,2.689120e-04,7.792000e-05,9.134400e-05,5.966400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-15,2.454155e+00,2.916800e-04,8.022400e-05,1.042880e-04,6.659200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-16,2.392473e+00,2.992000e-04,8.566400e-05,1.042240e-04,6.782400e-05,1.230400e-05,
-1.000000,1024,OS2-i8-accu-17,2.317615e+00,3.088640e-04,8.764800e-05,1.055360e-04,7.203200e-05,1.264000e-05,
-1.000000,1024,OS2-i8-accu-18,2.268494e+00,3.155520e-04,8.902400e-05,1.056800e-04,7.576000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.230383e+00,3.209440e-04,9.056000e-05,1.069280e-04,7.793600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.089642e+00,3.425600e-04,9.174400e-05,1.198400e-04,8.416000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-9,2.786450e+00,2.568960e-04,4.795200e-05,1.173440e-04,5.641600e-05,1.219200e-05,
-1.000000,1024,OS2-f8-fast-10,2.419515e+00,2.958560e-04,5.256000e-05,1.392320e-04,6.568000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-11,2.434789e+00,2.940000e-04,5.288000e-05,1.361280e-04,6.672000e-05,1.219200e-05,
-1.000000,1024,OS2-f8-fast-12,2.228161e+00,3.212640e-04,5.536000e-05,1.527680e-04,7.488000e-05,1.211200e-05,
-1.000000,1024,OS2-f8-fast-13,2.043541e+00,3.502880e-04,6.582400e-05,1.659840e-04,7.899200e-05,1.222400e-05,
-1.000000,1024,OS2-f8-fast-14,1.969937e+00,3.633760e-04,6.944000e-05,1.699200e-04,8.220800e-05,1.414400e-05,
-1.000000,1024,OS2-f8-fast-15,1.833050e+00,3.905120e-04,7.297600e-05,1.862080e-04,8.902400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-16,1.806333e+00,3.962880e-04,7.595200e-05,1.813280e-04,9.273600e-05,1.622400e-05,
-1.000000,1024,OS2-f8-fast-17,1.758825e+00,4.069920e-04,7.904000e-05,1.853440e-04,9.545600e-05,1.617600e-05,
-1.000000,1024,OS2-f8-fast-18,1.648704e+00,4.341760e-04,8.214400e-05,2.011200e-04,1.027200e-04,1.622400e-05,
-1.000000,1024,OS2-f8-fast-19,1.573718e+00,4.548640e-04,8.604800e-05,2.158720e-04,1.038720e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-20,1.526259e+00,4.690080e-04,8.963200e-05,2.193920e-04,1.085760e-04,1.820800e-05,
-1.000000,1024,OS2-f8-accu-9,2.527498e+00,2.832160e-04,7.264000e-05,1.173600e-04,5.710400e-05,1.209600e-05,
-1.000000,1024,OS2-f8-accu-10,2.311270e+00,3.097120e-04,7.494400e-05,1.336960e-04,6.334400e-05,1.216000e-05,
-1.000000,1024,OS2-f8-accu-11,2.241108e+00,3.194080e-04,7.721600e-05,1.364800e-04,6.768000e-05,1.209600e-05,
-1.000000,1024,OS2-f8-accu-12,2.067815e+00,3.461760e-04,7.968000e-05,1.527680e-04,7.446400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-13,1.896373e+00,3.774720e-04,9.136000e-05,1.668480e-04,7.830400e-05,1.238400e-05,
-1.000000,1024,OS2-f8-accu-14,1.839683e+00,3.891040e-04,9.478400e-05,1.704000e-04,8.129600e-05,1.424000e-05,
-1.000000,1024,OS2-f8-accu-15,1.711786e+00,4.181760e-04,9.878400e-05,1.864800e-04,8.979200e-05,1.417600e-05,
-1.000000,1024,OS2-f8-accu-16,1.698658e+00,4.214080e-04,1.014880e-04,1.814080e-04,9.235200e-05,1.622400e-05,
-1.000000,1024,OS2-f8-accu-17,1.650712e+00,4.336480e-04,1.046240e-04,1.855360e-04,9.569600e-05,1.616000e-05,
-1.000000,1024,OS2-f8-accu-18,1.547321e+00,4.626240e-04,1.102080e-04,2.016480e-04,1.019040e-04,1.625600e-05,
