phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,1.922615e+00,1.861600e-04,3.385600e-05,7.523200e-05,4.529600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.864446e+00,1.919680e-04,3.547200e-05,7.582400e-05,4.860800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.667135e+00,2.146880e-04,3.668800e-05,8.953600e-05,5.529600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.640362e+00,2.181920e-04,3.876800e-05,8.880000e-05,5.704000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-13,1.597716e+00,2.240160e-04,4.076800e-05,8.910400e-05,5.939200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-14,1.570129e+00,2.279520e-04,4.193600e-05,8.880000e-05,6.153600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-15,1.428091e+00,2.506240e-04,4.340800e-05,1.022720e-04,6.796800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-16,1.373718e+00,2.605440e-04,5.083200e-05,1.023680e-04,7.001600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-17,1.332080e+00,2.686880e-04,5.241600e-05,1.049600e-04,7.251200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-18,1.301695e+00,2.749600e-04,5.409600e-05,1.061120e-04,7.468800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-19,1.274550e+00,2.808160e-04,5.588800e-05,1.063200e-04,7.729600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-20,1.180953e+00,3.030720e-04,5.795200e-05,1.189600e-04,8.364800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,1.648704e+00,2.170880e-04,6.478400e-05,7.510400e-05,4.556800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.611180e+00,2.221440e-04,6.582400e-05,7.560000e-05,4.816000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.471589e+00,2.432160e-04,6.771200e-05,8.806400e-05,5.424000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.456925e+00,2.456640e-04,6.742400e-05,8.780800e-05,5.619200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-13,1.424272e+00,2.512960e-04,7.004800e-05,8.790400e-05,5.862400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-14,1.401166e+00,2.554400e-04,7.092800e-05,8.838400e-05,6.096000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-15,1.283913e+00,2.787680e-04,7.296000e-05,1.013760e-04,6.771200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-16,1.243240e+00,2.878880e-04,7.897600e-05,1.016320e-04,7.016000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-17,1.213893e+00,2.948480e-04,7.998400e-05,1.042400e-04,7.201600e-05,1.027200e-05,
-1.000000,1024,OS2-i8-accu-18,1.176049e+00,3.043360e-04,8.270400e-05,1.065920e-04,7.505600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-19,1.158447e+00,3.089600e-04,8.352000e-05,1.066240e-04,7.724800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-20,1.078418e+00,3.318880e-04,8.705600e-05,1.189120e-04,8.342400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,1.463597e+00,2.445440e-04,4.686400e-05,1.144640e-04,5.089600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,1.321145e+00,2.709120e-04,5.049600e-05,1.297600e-04,5.776000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-11,1.266038e+00,2.827040e-04,5.416000e-05,1.342720e-04,6.011200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-12,1.151174e+00,3.109120e-04,5.795200e-05,1.512640e-04,6.664000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-13,1.042873e+00,3.432000e-04,7.593600e-05,1.620960e-04,6.928000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-14,1.001685e+00,3.573120e-04,8.092800e-05,1.668800e-04,7.252800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-15,9.303232e-01,3.847200e-04,8.438400e-05,1.819520e-04,7.955200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-16,9.182932e-01,3.897600e-04,8.875200e-05,1.772800e-04,8.318400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-17,8.911489e-01,4.016320e-04,9.339200e-05,1.815040e-04,8.544000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-18,8.354355e-01,4.284160e-04,9.720000e-05,1.971040e-04,9.222400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-19,7.933334e-01,4.511520e-04,1.015200e-04,2.122880e-04,9.449600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-20,7.682139e-01,4.659040e-04,1.060800e-04,2.163840e-04,9.886400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,1.328441e+00,2.694240e-04,7.174400e-05,1.143680e-04,5.084800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,1.212051e+00,2.952960e-04,7.475200e-05,1.296320e-04,5.740800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-11,1.169042e+00,3.061600e-04,7.862400e-05,1.340480e-04,5.952000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-12,1.073914e+00,3.332800e-04,8.044800e-05,1.507680e-04,6.636800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-13,9.934107e-01,3.602880e-04,9.217600e-05,1.623680e-04,6.969600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-14,9.667915e-01,3.702080e-04,9.558400e-05,1.662880e-04,7.112000e-05,1.020800e-05,
