phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.332780e+00,1.073920e-04,2.313600e-05,3.811200e-05,1.888000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,2.793758e+00,1.281120e-04,2.396800e-05,5.120000e-05,2.502400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,2.711798e+00,1.319840e-04,2.438400e-05,5.112000e-05,2.806400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,2.346792e+00,1.525120e-04,2.547200e-05,6.332800e-05,3.452800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,2.295497e+00,1.559200e-04,2.604800e-05,6.326400e-05,3.652800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,2.000324e+00,1.789280e-04,2.894400e-05,7.526400e-05,4.316800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,1.958811e+00,1.827200e-04,3.027200e-05,7.497600e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.910790e+00,1.873120e-04,3.110400e-05,7.526400e-05,4.816000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.709954e+00,2.093120e-04,3.222400e-05,8.814400e-05,5.516800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.676129e+00,2.135360e-04,3.420800e-05,8.806400e-05,5.689600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.589676e+00,1.382080e-04,5.454400e-05,3.811200e-05,1.883200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,2.260699e+00,1.583200e-04,5.467200e-05,5.097600e-05,2.544000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,2.179425e+00,1.642240e-04,5.686400e-05,5.100800e-05,2.793600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,1.952485e+00,1.833120e-04,5.619200e-05,6.332800e-05,3.420800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,1.905257e+00,1.878560e-04,5.819200e-05,6.280000e-05,3.680000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,1.700465e+00,2.104800e-04,5.977600e-05,7.574400e-05,4.334400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,1.669749e+00,2.143520e-04,6.065600e-05,7.580800e-05,4.556800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.631985e+00,2.193120e-04,6.187200e-05,7.611200e-05,4.862400e-05,1.024000e-05,
