phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.273909e+00,1.140960e-04,2.956800e-05,3.868800e-05,1.924800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-4,5.340086e+00,1.340480e-04,3.011200e-05,5.097600e-05,2.550400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-5,5.259728e+00,1.360960e-04,3.060800e-05,5.040000e-05,2.710400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,4.545747e+00,1.574720e-04,3.172800e-05,6.323200e-05,3.350400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,4.485137e+00,1.596000e-04,3.252800e-05,6.246400e-05,3.452800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,3.943868e+00,1.815040e-04,3.436800e-05,7.520000e-05,4.121600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,3.887327e+00,1.841440e-04,3.524800e-05,7.523200e-05,4.217600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.727338e+00,1.920480e-04,3.828800e-05,7.523200e-05,4.627200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.340245e+00,2.143040e-04,3.875200e-05,8.865600e-05,5.292800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.293525e+00,2.173440e-04,4.064000e-05,8.827200e-05,5.380800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,4.925602e+00,1.453280e-04,6.169600e-05,3.809600e-05,1.891200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-4,4.302678e+00,1.663680e-04,6.260800e-05,5.094400e-05,2.531200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-5,4.244710e+00,1.686400e-04,6.334400e-05,5.033600e-05,2.691200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,3.777057e+00,1.895200e-04,6.401600e-05,6.265600e-05,3.324800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,3.709722e+00,1.929600e-04,6.524800e-05,6.281600e-05,3.507200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,3.307648e+00,2.164160e-04,6.728000e-05,7.596800e-05,4.220800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.284096e+00,2.179680e-04,6.753600e-05,7.560000e-05,4.252800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.190874e+00,2.243360e-04,6.937600e-05,7.555200e-05,4.608000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.901942e+00,2.466720e-04,7.076800e-05,8.840000e-05,5.329600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.875827e+00,2.489120e-04,7.203200e-05,8.739200e-05,5.456000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,5.921806e+00,1.208800e-04,2.920000e-05,4.532800e-05,1.936000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,4.956708e+00,1.444160e-04,3.073600e-05,6.017600e-05,2.563200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.173048e+00,1.715360e-04,3.449600e-05,7.452800e-05,3.310400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.648311e+00,1.962080e-04,3.697600e-05,8.894400e-05,3.963200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.426194e+00,2.089280e-04,4.073600e-05,9.433600e-05,4.310400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.031525e+00,2.361280e-04,4.388800e-05,1.099520e-04,5.049600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.896119e+00,2.471680e-04,4.651200e-05,1.151840e-04,5.233600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,2.607638e+00,2.745120e-04,4.870400e-05,1.310880e-04,6.020800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.524645e+00,2.835360e-04,5.089600e-05,1.347840e-04,6.166400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.295144e+00,3.118880e-04,5.342400e-05,1.500320e-04,7.081600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,4.919103e+00,1.455200e-04,5.360000e-05,4.518400e-05,1.921600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.251163e+00,1.683840e-04,5.494400e-05,5.924800e-05,2.553600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.684062e+00,1.943040e-04,5.779200e-05,7.467200e-05,3.289600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.284819e+00,2.179200e-04,5.990400e-05,8.854400e-05,3.979200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.065592e+00,2.335040e-04,6.470400e-05,9.428800e-05,4.307200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.756747e+00,2.596640e-04,6.689600e-05,1.098080e-04,5.062400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-9,2.641821e+00,2.709600e-04,6.960000e-05,1.147200e-04,5.296000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,2.422397e+00,2.955040e-04,7.171200e-05,1.298560e-04,6.020800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.323513e+00,3.080800e-04,7.417600e-05,1.345920e-04,6.305600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-12,2.142787e+00,3.340640e-04,7.640000e-05,1.496800e-04,7.003200e-05,1.228800e-05,
-1.000000,1024,BF16x9,1.851790e+01,3.865600e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),1.431198e+01,5.001600e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,3.557086e+01,1.609920e-04,5.124800e-05,4.633600e-05,2.486400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.006164e+01,1.904960e-04,5.382400e-05,6.470400e-05,3.318400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.798608e+01,2.046240e-04,5.676800e-05,7.070400e-05,3.731200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.439602e+01,2.347360e-04,5.910400e-05,8.764800e-05,4.627200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.313152e+01,2.475680e-04,6.224000e-05,9.233600e-05,5.097600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,2.040093e+01,2.807040e-04,7.012800e-05,1.087040e-04,5.846400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-9,1.911627e+01,2.995680e-04,7.372800e-05,1.160800e-04,6.281600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.833857e+01,3.122720e-04,7.779200e-05,1.213440e-04,6.646400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.660237e+01,3.449280e-04,8.065600e-05,1.392000e-04,7.486400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.599830e+01,3.579520e-04,8.467200e-05,1.420800e-04,7.974400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-3,2.720124e+01,2.105280e-04,9.988800e-05,4.678400e-05,2.454400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.386570e+01,2.399520e-04,1.024480e-04,6.422400e-05,3.267200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.247780e+01,2.547680e-04,1.060480e-04,7.105600e-05,3.728000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.018805e+01,2.836640e-04,1.082720e-04,8.771200e-05,4.601600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,1.927585e+01,2.970880e-04,1.122560e-04,9.184000e-05,4.960000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,1.712753e+01,3.343520e-04,1.244160e-04,1.084000e-04,5.756800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-9,1.618202e+01,3.538880e-04,1.284960e-04,1.153440e-04,6.345600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.559130e+01,3.672960e-04,1.325760e-04,1.199840e-04,6.697600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,1.433835e+01,3.993920e-04,1.366240e-04,1.373440e-04,7.516800e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.380894e+01,4.147040e-04,1.412800e-04,1.415680e-04,8.022400e-05,2.662400e-05,
-1.000000,2048,OS2-f8-fast-3,2.440267e+01,2.346720e-04,6.139200e-05,1.027040e-04,3.116800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-4,2.012335e+01,2.845760e-04,6.644800e-05,1.363200e-04,4.056000e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-5,1.718014e+01,3.333280e-04,7.153600e-05,1.680320e-04,5.148800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-6,1.468485e+01,3.899680e-04,8.035200e-05,2.036160e-04,6.124800e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-7,1.329794e+01,4.306400e-04,9.027200e-05,2.189600e-04,7.564800e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-8,1.165957e+01,4.911520e-04,1.025760e-04,2.544800e-04,8.510400e-05,2.665600e-05,
-1.000000,2048,OS2-f8-fast-9,1.066045e+01,5.371840e-04,1.156480e-04,2.703200e-04,9.904000e-05,2.870400e-05,
-1.000000,2048,OS2-f8-fast-10,9.587836e+00,5.972800e-04,1.262720e-04,3.064320e-04,1.108160e-04,3.075200e-05,
-1.000000,2048,OS2-f8-fast-11,8.927093e+00,6.414880e-04,1.354720e-04,3.238880e-04,1.223680e-04,3.484800e-05,
-1.000000,2048,OS2-f8-fast-12,8.175658e+00,7.004480e-04,1.460800e-04,3.587840e-04,1.324480e-04,3.689600e-05,
-1.000000,2048,OS2-f8-accu-3,2.056977e+01,2.784000e-04,1.069280e-04,1.007680e-04,3.065600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,1.728886e+01,3.312320e-04,1.139520e-04,1.348640e-04,4.089600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,1.503398e+01,3.809120e-04,1.200160e-04,1.667520e-04,5.129600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-6,1.304399e+01,4.390240e-04,1.297280e-04,2.019680e-04,6.190400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-7,1.191141e+01,4.807680e-04,1.417600e-04,2.184480e-04,7.497600e-05,2.460800e-05,
-1.000000,2048,OS2-f8-accu-8,1.057822e+01,5.413600e-04,1.541280e-04,2.531680e-04,8.584000e-05,2.665600e-05,
-1.000000,2048,OS2-f8-accu-9,9.758273e+00,5.868480e-04,1.671040e-04,2.689280e-04,9.830400e-05,2.870400e-05,
-1.000000,2048,OS2-f8-accu-10,8.864083e+00,6.460480e-04,1.779840e-04,3.031360e-04,1.091840e-04,3.075200e-05,
-1.000000,2048,OS2-f8-accu-11,8.272024e+00,6.922880e-04,1.882080e-04,3.226080e-04,1.214400e-04,3.484800e-05,
-1.000000,2048,OS2-f8-accu-12,7.627199e+00,7.508160e-04,1.981440e-04,3.566720e-04,1.326880e-04,3.689600e-05,
-1.000000,2048,BF16x9,5.281304e+01,1.084320e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),1.994061e+01,2.871840e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.099498e+02,4.166720e-04,1.246720e-04,1.514400e-04,4.996800e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,9.179340e+01,4.990880e-04,1.380480e-04,2.015040e-04,6.672000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,8.092108e+01,5.661440e-04,1.513280e-04,2.333280e-04,8.912000e-05,7.376000e-05,
-1.000000,4096,OS2-i8-fast-6,7.072874e+01,6.477280e-04,1.632000e-04,2.846080e-04,1.062880e-04,7.376000e-05,
-1.000000,4096,OS2-i8-fast-7,6.452969e+01,7.099520e-04,1.729280e-04,3.127520e-04,1.283200e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-8,5.660508e+01,8.093440e-04,2.023840e-04,3.629280e-04,1.455200e-04,7.587200e-05,
-1.000000,4096,OS2-i8-fast-9,5.221876e+01,8.773280e-04,2.146240e-04,3.924000e-04,1.680160e-04,7.987200e-05,
-1.000000,4096,OS2-i8-fast-10,4.884863e+01,9.378560e-04,2.265920e-04,4.193120e-04,1.848640e-04,8.396800e-05,
-1.000000,4096,OS2-i8-fast-11,4.485559e+01,1.021344e-03,2.373600e-04,4.688640e-04,2.018880e-04,8.806400e-05,
-1.000000,4096,OS2-i8-fast-12,4.197912e+01,1.091328e-03,2.511040e-04,4.975680e-04,2.245440e-04,9.216000e-05,
-1.000000,4096,OS2-i8-accu-3,7.749152e+01,5.912000e-04,2.992000e-04,1.509280e-04,4.960000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,6.859545e+01,6.678720e-04,3.065760e-04,2.015520e-04,6.806400e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-5,6.247680e+01,7.332800e-04,3.182400e-04,2.323840e-04,8.944000e-05,7.376000e-05,
-1.000000,4096,OS2-i8-accu-6,5.633003e+01,8.132960e-04,3.287680e-04,2.824800e-04,1.064640e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-7,5.237925e+01,8.746400e-04,3.382720e-04,3.115040e-04,1.283840e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-8,4.705988e+01,9.735040e-04,3.670080e-04,3.612800e-04,1.459200e-04,7.777600e-05,
-1.000000,4096,OS2-i8-accu-9,4.410183e+01,1.038800e-03,3.789440e-04,3.893920e-04,1.676960e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-10,4.165544e+01,1.099808e-03,3.904800e-04,4.172640e-04,1.849280e-04,8.396800e-05,
-1.000000,4096,OS2-i8-accu-11,3.866518e+01,1.184864e-03,4.008800e-04,4.681920e-04,2.022240e-04,8.806400e-05,
-1.000000,4096,OS2-i8-accu-12,3.656661e+01,1.252864e-03,4.141120e-04,4.961280e-04,2.241440e-04,9.216000e-05,
-1.000000,4096,OS2-f8-fast-3,5.977811e+01,7.663840e-04,1.760480e-04,3.754880e-04,1.228160e-04,7.372800e-05,
-1.000000,4096,OS2-f8-fast-4,4.809459e+01,9.525600e-04,1.948800e-04,5.017280e-04,1.628640e-04,7.372800e-05,
-1.000000,4096,OS2-f8-fast-5,4.012600e+01,1.141728e-03,2.161600e-04,6.271040e-04,2.037600e-04,7.574400e-05,
-1.000000,4096,OS2-f8-fast-6,3.410978e+01,1.343104e-03,2.507360e-04,7.512960e-04,2.448960e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-7,2.956409e+01,1.549616e-03,2.859360e-04,8.790240e-04,2.862560e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-8,2.671199e+01,1.715072e-03,3.237600e-04,9.649600e-04,3.222720e-04,7.987200e-05,
-1.000000,4096,OS2-f8-fast-9,2.376212e+01,1.927984e-03,3.637120e-04,1.090448e-03,3.649280e-04,8.396800e-05,
-1.000000,4096,OS2-f8-fast-10,2.195168e+01,2.086992e-03,3.944000e-04,1.174752e-03,4.020800e-04,9.011200e-05,
-1.000000,4096,OS2-f8-fast-11,1.995534e+01,2.295776e-03,4.293440e-04,1.301584e-03,4.411520e-04,9.625600e-05,
-1.000000,4096,OS2-f8-fast-12,1.863007e+01,2.459088e-03,4.643360e-04,1.386736e-03,4.779040e-04,1.024000e-04,
-1.000000,4096,OS2-f8-accu-3,4.990869e+01,9.179360e-04,3.268800e-04,3.760640e-04,1.228480e-04,7.372800e-05,
-1.000000,4096,OS2-f8-accu-4,4.159432e+01,1.101424e-03,3.448160e-04,4.997280e-04,1.625920e-04,7.379200e-05,
-1.000000,4096,OS2-f8-accu-5,3.551967e+01,1.289792e-03,3.648960e-04,6.258880e-04,2.044480e-04,7.574400e-05,
-1.000000,4096,OS2-f8-accu-6,3.071564e+01,1.491520e-03,3.984960e-04,7.502080e-04,2.449600e-04,7.577600e-05,
-1.000000,4096,OS2-f8-accu-7,2.700779e+01,1.696288e-03,4.336160e-04,8.771680e-04,2.866560e-04,7.577600e-05,
-1.000000,4096,OS2-f8-accu-8,2.463382e+01,1.859760e-03,4.722080e-04,9.613920e-04,3.225600e-04,7.987200e-05,
-1.000000,4096,OS2-f8-accu-9,2.209993e+01,2.072992e-03,5.099520e-04,1.088976e-03,3.647680e-04,8.396800e-05,
-1.000000,4096,OS2-f8-accu-10,2.051391e+01,2.233264e-03,5.420480e-04,1.173360e-03,4.020800e-04,8.908800e-05,
-1.000000,4096,OS2-f8-accu-11,1.876400e+01,2.441536e-03,5.760800e-04,1.300672e-03,4.412960e-04,9.625600e-05,
-1.000000,4096,OS2-f8-accu-12,1.756978e+01,2.607488e-03,6.120320e-04,1.385872e-03,4.779200e-04,1.024000e-04,
-1.000000,4096,BF16x9,6.925914e+01,6.614720e-04,,,,,
-1.000000,4096,STRTRMM (GEMM),2.071681e+01,2.211392e-03,,,,,
-1.000000,8192,OS2-i8-fast-3,2.388382e+02,1.534528e-03,4.251520e-04,6.171680e-04,1.944640e-04,2.805760e-04,
-1.000000,8192,OS2-i8-fast-4,1.979031e+02,1.851936e-03,4.601920e-04,8.342400e-04,2.590240e-04,2.805760e-04,
-1.000000,8192,OS2-i8-fast-5,1.693428e+02,2.164272e-03,4.970880e-04,1.043152e-03,3.235520e-04,2.805760e-04,
-1.000000,8192,OS2-i8-fast-6,1.513528e+02,2.421520e-03,5.359680e-04,1.202912e-03,3.818400e-04,2.805760e-04,
-1.000000,8192,OS2-i8-fast-7,1.348305e+02,2.718256e-03,5.728480e-04,1.396544e-03,4.463680e-04,2.805760e-04,
-1.000000,8192,OS2-i8-fast-8,1.198966e+02,3.056832e-03,6.889120e-04,1.556240e-03,5.057120e-04,2.826240e-04,
-1.000000,8192,OS2-i8-fast-9,1.084100e+02,3.380720e-03,7.331360e-04,1.760128e-03,5.712000e-04,2.908160e-04,
-1.000000,8192,OS2-i8-fast-10,1.006981e+02,3.639632e-03,7.760480e-04,1.907504e-03,6.285440e-04,3.010560e-04,
-1.000000,8192,OS2-i8-fast-11,9.426152e+01,3.888160e-03,8.086720e-04,2.050448e-03,6.869920e-04,3.153920e-04,
-1.000000,8192,OS2-i8-fast-12,8.666427e+01,4.229008e-03,8.586240e-04,2.256400e-03,7.525280e-04,3.338240e-04,
-1.000000,8192,OS2-i8-accu-3,1.653791e+02,2.216144e-03,1.100656e-03,6.236480e-04,1.944960e-04,2.805760e-04,
-1.000000,8192,OS2-i8-accu-4,1.449842e+02,2.527888e-03,1.134976e-03,8.345920e-04,2.599520e-04,2.805760e-04,
-1.000000,8192,OS2-i8-accu-5,1.290478e+02,2.840064e-03,1.172208e-03,1.042480e-03,3.255040e-04,2.805760e-04,
-1.000000,8192,OS2-i8-accu-6,1.182582e+02,3.099184e-03,1.211600e-03,1.202272e-03,3.828800e-04,2.805760e-04,
-1.000000,8192,OS2-i8-accu-7,1.074580e+02,3.410672e-03,1.248464e-03,1.410368e-03,4.484480e-04,2.805760e-04,
-1.000000,8192,OS2-i8-accu-8,9.834743e+01,3.726624e-03,1.362640e-03,1.553488e-03,5.047840e-04,2.826240e-04,
-1.000000,8192,OS2-i8-accu-9,9.062833e+01,4.044032e-03,1.407088e-03,1.750144e-03,5.712320e-04,2.908160e-04,
-1.000000,8192,OS2-i8-accu-10,8.506381e+01,4.308576e-03,1.450656e-03,1.901696e-03,6.286880e-04,3.010560e-04,
-1.000000,8192,OS2-i8-accu-11,8.036040e+01,4.560752e-03,1.482640e-03,2.048976e-03,6.869760e-04,3.153920e-04,
-1.000000,8192,OS2-i8-accu-12,7.477400e+01,4.901488e-03,1.532400e-03,2.253968e-03,7.525440e-04,3.338240e-04,
-1.000000,8192,OS2-f8-fast-3,1.249645e+02,2.932864e-03,6.149600e-04,1.605168e-03,4.137120e-04,2.805440e-04,
