phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,7.288896e+00,9.820800e-05,1.646400e-05,3.804800e-05,1.808000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.950159e+00,1.203040e-04,1.808000e-05,5.072000e-05,2.467200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.780264e+00,1.238400e-04,1.830400e-05,5.094400e-05,2.684800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.928315e+00,1.452480e-04,1.859200e-05,6.336000e-05,3.446400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.878338e+00,1.467360e-04,2.025600e-05,6.276800e-05,3.483200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.204816e+00,1.702400e-04,2.356800e-05,7.526400e-05,4.120000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.101507e+00,1.745280e-04,2.454400e-05,7.520000e-05,4.347200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.985679e+00,1.796000e-04,2.614400e-05,7.539200e-05,4.536000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.567154e+00,2.006720e-04,2.684800e-05,8.844800e-05,5.220800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.503465e+00,2.043200e-04,2.836800e-05,8.784000e-05,5.371200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.505013e+00,1.300320e-04,4.708800e-05,3.859200e-05,1.892800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.736818e+00,1.511200e-04,4.771200e-05,5.094400e-05,2.550400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.635710e+00,1.544160e-04,4.915200e-05,5.040000e-05,2.707200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.062403e+00,1.762080e-04,5.046400e-05,6.323200e-05,3.369600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.037473e+00,1.772960e-04,5.038400e-05,6.246400e-05,3.449600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.561758e+00,2.009760e-04,5.316800e-05,7.544000e-05,4.153600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.449706e+00,2.075040e-04,5.580800e-05,7.625600e-05,4.404800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.403518e+00,2.103200e-04,5.576000e-05,7.587200e-05,4.625600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.070220e+00,2.331520e-04,5.747200e-05,8.915200e-05,5.342400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,3.019657e+00,2.370560e-04,5.878400e-05,8.830400e-05,5.515200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.548484e+00,1.093120e-04,2.012800e-05,4.401600e-05,1.891200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.343275e+00,1.339680e-04,2.195200e-05,5.924800e-05,2.545600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.516378e+00,1.584960e-04,2.371200e-05,7.451200e-05,3.222400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.856166e+00,1.856320e-04,2.819200e-05,8.912000e-05,3.883200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.641185e+00,1.965920e-04,3.099200e-05,9.334400e-05,4.219200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,3.168502e+00,2.259200e-04,3.492800e-05,1.093280e-04,4.993600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.988793e+00,2.395040e-04,3.926400e-05,1.145280e-04,5.356800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.662099e+00,2.688960e-04,4.308800e-05,1.304320e-04,6.145600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.554193e+00,2.802560e-04,4.732800e-05,1.352480e-04,6.283200e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-12,2.312942e+00,3.094880e-04,5.161600e-05,1.504000e-04,7.068800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,5.372793e+00,1.332320e-04,4.366400e-05,4.376000e-05,1.886400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.532392e+00,1.579360e-04,4.577600e-05,5.900800e-05,2.528000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.905993e+00,1.832640e-04,4.748800e-05,7.460800e-05,3.246400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.409484e+00,2.099520e-04,5.198400e-05,8.905600e-05,3.934400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.225147e+00,2.219520e-04,5.491200e-05,9.366400e-05,4.326400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-8,2.868820e+00,2.495200e-04,5.857600e-05,1.099200e-04,4.947200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.735174e+00,2.617120e-04,6.182400e-05,1.142080e-04,5.340800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.450525e+00,2.921120e-04,6.548800e-05,1.301920e-04,6.137600e-05,1.224000e-05,
-1.000000,1024,OS2-f8-accu-11,2.374947e+00,3.014080e-04,6.849600e-05,1.355520e-04,6.190400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.162988e+00,3.309440e-04,7.224000e-05,1.497920e-04,7.150400e-05,1.228800e-05,
-1.000000,1024,BF16x9,1.973500e+01,3.627200e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),1.413116e+01,5.065600e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,4.066280e+01,1.408320e-04,3.060800e-05,4.779200e-05,2.425600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.339372e+01,1.714880e-04,3.548800e-05,6.414400e-05,3.276800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,3.107431e+01,1.842880e-04,3.808000e-05,6.984000e-05,3.632000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.655739e+01,2.156320e-04,4.129600e-05,8.776000e-05,4.606400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.500447e+01,2.290240e-04,4.395200e-05,9.244800e-05,5.137600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,2.157278e+01,2.654560e-04,5.288000e-05,1.099520e-04,5.937600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-9,2.036958e+01,2.811360e-04,5.584000e-05,1.160800e-04,6.340800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.948573e+01,2.938880e-04,5.937600e-05,1.203360e-04,6.697600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.763731e+01,3.246880e-04,6.336000e-05,1.373760e-04,7.502400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.681610e+01,3.405440e-04,6.646400e-05,1.420480e-04,7.995200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-3,3.112025e+01,1.840160e-04,7.347200e-05,4.774400e-05,2.457600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.678997e+01,2.137600e-04,7.708800e-05,6.422400e-05,3.321600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.513617e+01,2.278240e-04,8.014400e-05,6.996800e-05,3.788800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.219897e+01,2.579680e-04,8.411200e-05,8.718400e-05,4.609600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,2.106119e+01,2.719040e-04,8.643200e-05,9.323200e-05,5.056000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,1.874484e+01,3.055040e-04,9.412800e-05,1.096000e-04,5.854400e-05,2.256000e-05,
-1.000000,2048,OS2-i8-accu-9,1.784929e+01,3.208320e-04,9.777600e-05,1.147040e-04,6.304000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.709807e+01,3.349280e-04,1.025280e-04,1.188160e-04,6.665600e-05,2.457600e-05,
