phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.349749e+00,1.068480e-04,2.355200e-05,3.825600e-05,1.852800e-05,9.984000e-06,
-1.000000,1024,OS2-i8-fast-4,2.813435e+00,1.272160e-04,2.468800e-05,5.097600e-05,2.481600e-05,8.288000e-06,
-1.000000,1024,OS2-i8-fast-5,2.753184e+00,1.300000e-04,2.448000e-05,5.105600e-05,2.809600e-05,8.288000e-06,
-1.000000,1024,OS2-i8-fast-6,2.361159e+00,1.515840e-04,2.568000e-05,6.326400e-05,3.459200e-05,9.264000e-06,
-1.000000,1024,OS2-i8-fast-7,2.298564e+00,1.557120e-04,2.641600e-05,6.323200e-05,3.648000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,2.006964e+00,1.783360e-04,2.920000e-05,7.515200e-05,4.316800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,1.964143e+00,1.822240e-04,2.995200e-05,7.440000e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.905419e+00,1.878400e-04,3.184000e-05,7.518400e-05,4.828800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.711131e+00,2.091680e-04,3.243200e-05,8.824000e-05,5.475200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.675000e+00,2.136800e-04,3.467200e-05,8.804800e-05,5.686400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.586681e+00,1.383680e-04,5.624000e-05,3.811200e-05,1.884800e-05,9.264000e-06,
-1.000000,1024,OS2-i8-accu-4,2.238305e+00,1.599040e-04,5.732800e-05,5.100800e-05,2.531200e-05,8.288000e-06,
-1.000000,1024,OS2-i8-accu-5,2.203904e+00,1.624000e-04,5.769600e-05,5.040000e-05,2.787200e-05,8.288000e-06,
-1.000000,1024,OS2-i8-accu-6,1.945861e+00,1.839360e-04,5.859200e-05,6.281600e-05,3.417600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,1.890284e+00,1.893440e-04,5.985600e-05,6.297600e-05,3.686400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,1.687255e+00,2.121280e-04,6.209600e-05,7.604800e-05,4.360000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,1.656641e+00,2.160480e-04,6.304000e-05,7.588800e-05,4.550400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.611412e+00,2.221120e-04,6.472000e-05,7.600000e-05,4.846400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.476640e+00,2.423840e-04,6.524800e-05,8.884800e-05,5.472000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.453233e+00,2.462880e-04,6.710400e-05,8.798400e-05,5.616000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-3,3.141359e+00,1.139360e-04,2.424000e-05,4.520000e-05,1.843200e-05,8.224000e-06,
-1.000000,1024,OS2-f8-fast-4,2.595987e+00,1.378720e-04,2.616000e-05,6.001600e-05,2.512000e-05,8.256000e-06,
-1.000000,1024,OS2-f8-fast-5,2.213280e+00,1.617120e-04,2.854400e-05,7.467200e-05,3.110400e-05,8.272000e-06,
-1.000000,1024,OS2-f8-fast-6,1.906069e+00,1.877760e-04,3.211200e-05,8.841600e-05,3.827200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,1.791289e+00,1.998080e-04,3.628800e-05,9.241600e-05,4.051200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,1.561688e+00,2.291840e-04,4.032000e-05,1.095360e-04,4.739200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,1.485465e+00,2.409440e-04,4.356800e-05,1.139680e-04,5.065600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,1.340381e+00,2.670240e-04,4.652800e-05,1.304800e-04,5.721600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-11,1.287460e+00,2.780000e-04,4.964800e-05,1.343680e-04,5.992000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.171368e+00,3.055520e-04,5.324800e-05,1.503520e-04,6.657600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,2.581011e+00,1.386720e-04,4.905600e-05,4.483200e-05,1.886400e-05,8.224000e-06,
-1.000000,1024,OS2-f8-accu-4,2.207819e+00,1.621120e-04,5.080000e-05,5.905600e-05,2.473600e-05,8.256000e-06,
-1.000000,1024,OS2-f8-accu-5,1.924434e+00,1.859840e-04,5.280000e-05,7.379200e-05,3.160000e-05,8.560000e-06,
-1.000000,1024,OS2-f8-accu-6,1.695953e+00,2.110400e-04,5.612800e-05,8.841600e-05,3.796800e-05,8.272000e-06,
-1.000000,1024,OS2-f8-accu-7,1.588639e+00,2.252960e-04,6.048000e-05,9.348800e-05,4.070400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,1.410976e+00,2.536640e-04,6.345600e-05,1.106080e-04,4.774400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-9,1.355078e+00,2.641280e-04,6.739200e-05,1.141120e-04,5.008000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,1.226606e+00,2.917920e-04,6.969600e-05,1.301600e-04,5.720000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-11,1.186025e+00,3.017760e-04,7.259200e-05,1.342560e-04,5.980800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,1.090138e+00,3.283200e-04,7.550400e-05,1.507200e-04,6.596800e-05,1.020800e-05,
-1.000000,1024,BF16x9,9.832800e+00,3.640000e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),7.244048e+00,4.940800e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,1.860646e+01,1.538880e-04,4.102400e-05,4.531200e-05,2.868800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,1.524725e+01,1.877920e-04,4.476800e-05,6.289600e-05,4.105600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,1.407337e+01,2.034560e-04,4.745600e-05,6.892800e-05,4.649600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,1.225733e+01,2.336000e-04,5.064000e-05,8.576000e-05,5.673600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,1.149518e+01,2.490880e-04,5.305600e-05,9.238400e-05,6.185600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,1.000766e+01,2.861120e-04,6.139200e-05,1.093280e-04,7.176000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-9,9.484681e+00,3.018880e-04,6.524800e-05,1.160960e-04,7.699200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-10,9.059736e+00,3.160480e-04,6.905600e-05,1.202720e-04,8.297600e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-11,8.234343e+00,3.477280e-04,7.219200e-05,1.368960e-04,9.232000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-12,7.872815e+00,3.636960e-04,7.590400e-05,1.425120e-04,9.840000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-3,1.408112e+01,2.033440e-04,8.846400e-05,4.564800e-05,3.072000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,1.220799e+01,2.345440e-04,9.089600e-05,6.224000e-05,4.156800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,1.138693e+01,2.514560e-04,9.414400e-05,7.100800e-05,4.710400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,1.016685e+01,2.816320e-04,9.710400e-05,8.742400e-05,5.558400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,9.750298e+00,2.936640e-04,9.944000e-05,9.113600e-05,6.105600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,8.602873e+00,3.328320e-04,1.099200e-04,1.085120e-04,7.120000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-9,8.168940e+00,3.505120e-04,1.145600e-04,1.143040e-04,7.712000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-10,7.879055e+00,3.634080e-04,1.175040e-04,1.184000e-04,8.256000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-11,7.264928e+00,3.941280e-04,1.210880e-04,1.351680e-04,9.220800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-12,6.931481e+00,4.130880e-04,1.256800e-04,1.420480e-04,9.820800e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-3,1.278447e+01,2.239680e-04,5.169600e-05,1.018560e-04,3.116800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-4,1.044943e+01,2.740160e-04,5.704000e-05,1.364480e-04,4.096000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-5,8.836508e+00,3.240320e-04,6.275200e-05,1.691680e-04,5.158400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-6,7.556028e+00,3.789440e-04,7.304000e-05,2.030400e-04,6.200000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-7,6.914608e+00,4.140960e-04,8.281600e-05,2.188480e-04,6.966400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-8,6.073338e+00,4.714560e-04,9.444800e-05,2.540160e-04,7.846400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-9,5.628640e+00,5.087040e-04,1.063520e-04,2.704000e-04,8.662400e-05,2.259200e-05,
-1.000000,2048,OS2-f8-fast-10,5.042462e+00,5.678400e-04,1.176320e-04,3.052480e-04,9.686400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-11,4.734562e+00,6.047680e-04,1.287360e-04,3.238560e-04,1.034080e-04,2.454400e-05,
-1.000000,2048,OS2-f8-fast-12,4.316377e+00,6.633600e-04,1.396480e-04,3.584320e-04,1.137280e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-3,1.074430e+01,2.664960e-04,9.475200e-05,1.020160e-04,3.072000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,9.010471e+00,3.177760e-04,1.011360e-04,1.354720e-04,4.096000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,7.771952e+00,3.684160e-04,1.068960e-04,1.680320e-04,5.171200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-6,6.769698e+00,4.229600e-04,1.171520e-04,2.019520e-04,6.209600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-7,6.233697e+00,4.593280e-04,1.280960e-04,2.192160e-04,6.822400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-8,5.518594e+00,5.188480e-04,1.411680e-04,2.539840e-04,7.939200e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-9,5.157410e+00,5.551840e-04,1.527840e-04,2.704000e-04,8.638400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-10,4.656215e+00,6.149440e-04,1.644480e-04,3.051360e-04,9.718400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-11,4.392121e+00,6.519200e-04,1.748800e-04,3.239360e-04,1.030400e-04,2.454400e-05,
-1.000000,2048,OS2-f8-accu-12,4.042581e+00,7.082880e-04,1.842560e-04,3.580160e-04,1.130400e-04,2.662400e-05,
-1.000000,2048,BF16x9,2.343903e+01,1.221600e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),9.721695e+00,2.945280e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,6.063255e+01,3.777920e-04,1.046400e-04,1.141120e-04,6.883200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,5.072117e+01,4.516160e-04,1.169440e-04,1.522240e-04,9.185600e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,4.490201e+01,5.101440e-04,1.273280e-04,1.819680e-04,1.088000e-04,7.372800e-05,
-1.000000,4096,OS2-i8-fast-6,3.913980e+01,5.852480e-04,1.392640e-04,2.212480e-04,1.320640e-04,7.372800e-05,
-1.000000,4096,OS2-i8-fast-7,3.572530e+01,6.411840e-04,1.484480e-04,2.485760e-04,1.505280e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-8,3.125613e+01,7.328640e-04,1.760160e-04,2.884800e-04,1.737920e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-9,2.877700e+01,7.960000e-04,1.882240e-04,3.176000e-04,1.920320e-04,7.577600e-05,
