phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.768418e+00,1.057600e-04,2.331200e-05,3.817600e-05,1.852800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.656751e+00,1.265440e-04,2.416000e-05,5.070400e-05,2.491200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.514513e+00,1.298080e-04,2.452800e-05,5.064000e-05,2.707200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.733310e+00,1.512320e-04,2.582400e-05,6.332800e-05,3.347200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.635230e+00,1.544320e-04,2.691200e-05,6.302400e-05,3.507200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.048067e+00,1.768320e-04,2.979200e-05,7.520000e-05,4.115200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.954326e+00,1.810240e-04,3.062400e-05,7.516800e-05,4.422400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.859160e+00,1.854880e-04,3.264000e-05,7.513600e-05,4.614400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.425145e+00,2.089920e-04,3.424000e-05,8.848000e-05,5.320000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.361831e+00,2.129280e-04,3.555200e-05,8.803200e-05,5.601600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.247390e+00,1.364160e-04,5.404800e-05,3.808000e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.520029e+00,1.583680e-04,5.550400e-05,5.094400e-05,2.540800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.450780e+00,1.608320e-04,5.481600e-05,5.064000e-05,2.748800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,3.948393e+00,1.812960e-04,5.563200e-05,6.329600e-05,3.356800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.873192e+00,1.848160e-04,5.721600e-05,6.294400e-05,3.507200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.415209e+00,2.096000e-04,6.092800e-05,7.612800e-05,4.177600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.369173e+00,2.124640e-04,6.036800e-05,7.635200e-05,4.451200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.282650e+00,2.180640e-04,6.232000e-05,7.617600e-05,4.755200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,2.991591e+00,2.392800e-04,6.299200e-05,8.891200e-05,5.414400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.931798e+00,2.441600e-04,6.577600e-05,8.795200e-05,5.654400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.133705e+00,1.167040e-04,2.574400e-05,4.566400e-05,1.913600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.085161e+00,1.407680e-04,2.772800e-05,6.059200e-05,2.524800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.313464e+00,1.659520e-04,2.968000e-05,7.579200e-05,3.168000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.741365e+00,1.913280e-04,3.331200e-05,9.049600e-05,3.868800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.518342e+00,2.034560e-04,3.632000e-05,9.420800e-05,4.307200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.053665e+00,2.344160e-04,4.139200e-05,1.101760e-04,5.148800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.914419e+00,2.456160e-04,4.499200e-05,1.148480e-04,5.398400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.634199e+00,2.717440e-04,4.824000e-05,1.302720e-04,6.051200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.528355e+00,2.831200e-04,5.088000e-05,1.346880e-04,6.299200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-12,2.282847e+00,3.135680e-04,5.422400e-05,1.512000e-04,7.120000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,5.130059e+00,1.395360e-04,4.915200e-05,4.459200e-05,1.912000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.370774e+00,1.637760e-04,5.046400e-05,6.028800e-05,2.513600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.827138e+00,1.870400e-04,5.188800e-05,7.472000e-05,3.193600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.341992e+00,2.141920e-04,5.582400e-05,9.040000e-05,3.836800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.173896e+00,2.255360e-04,5.876800e-05,9.465600e-05,4.208000e-05,1.024000e-05,
