phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.157321e+00,1.133600e-04,2.945600e-05,3.872000e-05,1.910400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,2.669406e+00,1.340800e-04,2.998400e-05,5.100800e-05,2.540800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-5,2.601421e+00,1.375840e-04,3.092800e-05,5.040000e-05,2.809600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,2.256595e+00,1.586080e-04,3.177600e-05,6.329600e-05,3.460800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,2.207819e+00,1.621120e-04,3.228800e-05,6.339200e-05,3.656000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,1.940965e+00,1.844000e-04,3.440000e-05,7.520000e-05,4.329600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,1.894928e+00,1.888800e-04,3.617600e-05,7.520000e-05,4.528000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,1.852250e+00,1.932320e-04,3.657600e-05,7.523200e-05,4.830400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,1.651626e+00,2.167040e-04,3.880000e-05,8.851200e-05,5.550400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,1.624991e+00,2.202560e-04,4.027200e-05,8.817600e-05,5.684800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,2.463886e+00,1.452640e-04,6.208000e-05,3.811200e-05,1.888000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,2.131658e+00,1.679040e-04,6.428800e-05,5.100800e-05,2.539200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-5,2.101421e+00,1.703200e-04,6.326400e-05,5.078400e-05,2.796800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,1.859486e+00,1.924800e-04,6.601600e-05,6.265600e-05,3.427200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,1.812333e+00,1.974880e-04,6.768000e-05,6.291200e-05,3.708800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,1.632581e+00,2.192320e-04,6.790400e-05,7.619200e-05,4.350400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,1.609904e+00,2.223200e-04,6.833600e-05,7.584000e-05,4.563200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,1.564419e+00,2.287840e-04,7.160000e-05,7.556800e-05,4.825600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,1.436344e+00,2.491840e-04,7.206400e-05,8.800000e-05,5.459200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,1.422009e+00,2.516960e-04,7.212800e-05,8.819200e-05,5.632000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,2.994995e+00,1.195040e-04,2.896000e-05,4.516800e-05,1.849600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,2.492715e+00,1.435840e-04,3.022400e-05,6.000000e-05,2.534400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-5,2.144122e+00,1.669280e-04,3.286400e-05,7.369600e-05,3.105600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,1.848118e+00,1.936640e-04,3.622400e-05,8.971200e-05,3.800000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-7,1.748173e+00,2.047360e-04,3.915200e-05,9.368000e-05,4.083200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,1.551076e+00,2.307520e-04,4.249600e-05,1.093280e-04,4.684800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,1.473722e+00,2.428640e-04,4.624000e-05,1.138560e-04,5.028800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.324901e+00,2.701440e-04,4.820800e-05,1.309760e-04,5.694400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,1.277753e+00,2.801120e-04,5.094400e-05,1.348800e-04,5.963200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.173334e+00,3.050400e-04,5.315200e-05,1.498240e-04,6.624000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,2.453886e+00,1.458560e-04,5.577600e-05,4.401600e-05,1.864000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,2.123967e+00,1.685120e-04,5.705600e-05,5.846400e-05,2.475200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-5,1.837341e+00,1.948000e-04,6.008000e-05,7.345600e-05,3.148800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,1.629014e+00,2.197120e-04,6.164800e-05,8.955200e-05,3.835200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-7,1.551507e+00,2.306880e-04,6.537600e-05,9.372800e-05,4.072000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-8,1.400728e+00,2.555200e-04,6.707200e-05,1.091520e-04,4.704000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,1.328836e+00,2.693440e-04,7.171200e-05,1.140640e-04,5.040000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,1.211526e+00,2.954240e-04,7.342400e-05,1.308320e-04,5.686400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,1.170633e+00,3.057440e-04,7.649600e-05,1.347200e-04,5.998400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,1.080606e+00,3.312160e-04,7.936000e-05,1.498240e-04,6.614400e-05,1.020800e-05,
-1.000000,1024,BF16x9,9.324560e+00,3.838400e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),7.339115e+00,4.876800e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,1.736266e+01,1.649120e-04,4.961600e-05,4.528000e-05,3.116800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,1.463382e+01,1.956640e-04,5.264000e-05,6.171200e-05,4.144000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,1.346250e+01,2.126880e-04,5.620800e-05,6.884800e-05,4.656000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,1.173642e+01,2.439680e-04,5.891200e-05,8.624000e-05,5.683200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,1.100055e+01,2.602880e-04,6.145600e-05,9.232000e-05,6.400000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,9.686964e+00,2.955840e-04,6.865600e-05,1.084800e-04,7.480000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-9,9.245556e+00,3.096960e-04,7.185600e-05,1.146720e-04,7.836800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-10,8.767243e+00,3.265920e-04,7.520000e-05,1.199360e-04,8.566400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-11,8.007023e+00,3.576000e-04,7.883200e-05,1.364640e-04,9.584000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-12,7.660829e+00,3.737600e-04,8.248000e-05,1.421440e-04,1.011680e-04,2.260800e-05,
-1.000000,2048,OS2-i8-accu-3,1.358410e+01,2.107840e-04,9.624000e-05,4.460800e-05,3.081600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,1.178900e+01,2.428800e-04,9.953600e-05,6.163200e-05,4.182400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,1.099177e+01,2.604960e-04,1.023520e-04,7.068800e-05,4.742400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,9.846867e+00,2.907840e-04,1.047680e-04,8.732800e-05,5.760000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,9.401963e+00,3.045440e-04,1.080160e-04,9.072000e-05,6.355200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,8.391099e+00,3.412320e-04,1.161760e-04,1.083840e-04,7.251200e-05,2.252800e-05,
