phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.568292e+00,1.003040e-04,1.720000e-05,3.884800e-05,1.907200e-05,8.224000e-06,
-1.000000,1024,OS2-i8-fast-4,2.972707e+00,1.204000e-04,1.857600e-05,5.048000e-05,2.492800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-5,2.828733e+00,1.265280e-04,1.862400e-05,5.113600e-05,2.841600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,2.481378e+00,1.442400e-04,1.931200e-05,6.336000e-05,3.462400e-05,8.224000e-06,
-1.000000,1024,OS2-i8-fast-7,2.388386e+00,1.498560e-04,2.052800e-05,6.246400e-05,3.672000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-8,2.069728e+00,1.729280e-04,2.390400e-05,7.558400e-05,4.329600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-9,2.025317e+00,1.767200e-04,2.480000e-05,7.520000e-05,4.528000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,1.970197e+00,1.816640e-04,2.611200e-05,7.539200e-05,4.816000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,1.767232e+00,2.025280e-04,2.688000e-05,8.819200e-05,5.456000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,1.733945e+00,2.064160e-04,2.804800e-05,8.748800e-05,5.673600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,2.712127e+00,1.319680e-04,4.905600e-05,3.843200e-05,1.872000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-4,2.357178e+00,1.518400e-04,4.921600e-05,5.100800e-05,2.544000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-5,2.279358e+00,1.570240e-04,5.041600e-05,5.067200e-05,2.809600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,2.037306e+00,1.756800e-04,5.041600e-05,6.329600e-05,3.459200e-05,8.256000e-06,
-1.000000,1024,OS2-i8-accu-7,1.959326e+00,1.826720e-04,5.284800e-05,6.299200e-05,3.660800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,1.740014e+00,2.056960e-04,5.545600e-05,7.627200e-05,4.336000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,1.698529e+00,2.107200e-04,5.662400e-05,7.640000e-05,4.537600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,1.667011e+00,2.147040e-04,5.702400e-05,7.617600e-05,4.852800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,1.510440e+00,2.369600e-04,5.891200e-05,8.939200e-05,5.478400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,1.501115e+00,2.384320e-04,5.940800e-05,8.816000e-05,5.632000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,3.262304e+00,1.097120e-04,1.968000e-05,4.566400e-05,1.849600e-05,9.232000e-06,
-1.000000,1024,OS2-f8-fast-4,2.673873e+00,1.338560e-04,2.145600e-05,6.036800e-05,2.524800e-05,9.232000e-06,
-1.000000,1024,OS2-f8-fast-5,2.294320e+00,1.560000e-04,2.307200e-05,7.401600e-05,3.139200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,1.948573e+00,1.836800e-04,2.734400e-05,8.854400e-05,3.795200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-7,1.824751e+00,1.961440e-04,3.128000e-05,9.294400e-05,4.107200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,1.583130e+00,2.260800e-04,3.710400e-05,1.093440e-04,4.801600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,1.502123e+00,2.382720e-04,4.134400e-05,1.141440e-04,5.056000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.347000e+00,2.657120e-04,4.505600e-05,1.298400e-04,5.750400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,1.286424e+00,2.782240e-04,4.916800e-05,1.347840e-04,5.977600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.168187e+00,3.063840e-04,5.331200e-05,1.509440e-04,6.660800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,2.690273e+00,1.330400e-04,4.385600e-05,4.475200e-05,1.862400e-05,9.232000e-06,
