phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.683484e+00,1.071040e-04,2.326400e-05,3.811200e-05,1.856000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.616980e+00,1.274400e-04,2.428800e-05,5.088000e-05,2.464000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.505691e+00,1.300160e-04,2.467200e-05,5.062400e-05,2.675200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.748885e+00,1.507360e-04,2.566400e-05,6.331200e-05,3.344000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.657912e+00,1.536800e-04,2.641600e-05,6.278400e-05,3.488000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.058349e+00,1.763840e-04,2.905600e-05,7.513600e-05,4.115200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.973290e+00,1.801600e-04,3.036800e-05,7.491200e-05,4.348800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.878565e+00,1.845600e-04,3.148800e-05,7.513600e-05,4.542400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.446783e+00,2.076800e-04,3.313600e-05,8.828800e-05,5.267200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.382930e+00,2.116000e-04,3.443200e-05,8.804800e-05,5.478400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.135359e+00,1.393920e-04,5.614400e-05,3.811200e-05,1.888000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.474372e+00,1.599840e-04,5.696000e-05,5.096000e-05,2.532800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.384481e+00,1.632640e-04,5.816000e-05,5.033600e-05,2.678400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,3.892061e+00,1.839200e-04,5.857600e-05,6.304000e-05,3.315200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.812787e+00,1.877440e-04,6.012800e-05,6.259200e-05,3.488000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.399638e+00,2.105600e-04,6.220800e-05,7.600000e-05,4.201600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.335265e+00,2.146240e-04,6.320000e-05,7.569600e-05,4.382400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.254000e+00,2.199840e-04,6.443200e-05,7.582400e-05,4.614400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.971917e+00,2.408640e-04,6.521600e-05,8.878400e-05,5.321600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.932567e+00,2.440960e-04,6.652800e-05,8.745600e-05,5.596800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.200006e+00,1.154560e-04,2.422400e-05,4.483200e-05,1.942400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.173961e+00,1.383520e-04,2.604800e-05,5.907200e-05,2.553600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.392660e+00,1.629600e-04,2.800000e-05,7.312000e-05,3.307200e-05,1.024000e-05,
