phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.744948e+00,1.061280e-04,2.299200e-05,3.814400e-05,1.873600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.643194e+00,1.268480e-04,2.396800e-05,5.097600e-05,2.476800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.514513e+00,1.298080e-04,2.454400e-05,5.059200e-05,2.673600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.745359e+00,1.508480e-04,2.555200e-05,6.328000e-05,3.334400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.670555e+00,1.532640e-04,2.627200e-05,6.238400e-05,3.488000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.060928e+00,1.762720e-04,2.897600e-05,7.540800e-05,4.121600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.966948e+00,1.804480e-04,3.084800e-05,7.507200e-05,4.350400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.856831e+00,1.856000e-04,3.224000e-05,7.531200e-05,4.619200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.443864e+00,2.078560e-04,3.406400e-05,8.825600e-05,5.268800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.372728e+00,2.122400e-04,3.531200e-05,8.796800e-05,5.513600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.280213e+00,1.355680e-04,5.283200e-05,3.827200e-05,1.867200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.546671e+00,1.574400e-04,5.456000e-05,5.092800e-05,2.534400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.488287e+00,1.594880e-04,5.444800e-05,5.040000e-05,2.707200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,3.941436e+00,1.816160e-04,5.640000e-05,6.329600e-05,3.353600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.878228e+00,1.845760e-04,5.795200e-05,6.252800e-05,3.452800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.478405e+00,2.057920e-04,5.868800e-05,7.526400e-05,4.118400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.358802e+00,2.131200e-04,6.161600e-05,7.600000e-05,4.428800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.295223e+00,2.172320e-04,6.147200e-05,7.616000e-05,4.744000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.998609e+00,2.387200e-04,6.275200e-05,8.912000e-05,5.360000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.971720e+00,2.408800e-04,6.334400e-05,8.846400e-05,5.542400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.260739e+00,1.143360e-04,2.435200e-05,4.499200e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.134180e+00,1.394240e-04,2.668800e-05,5.899200e-05,2.558400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.376332e+00,1.635680e-04,2.876800e-05,7.406400e-05,3.259200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.771644e+00,1.897920e-04,3.222400e-05,8.928000e-05,3.892800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.551297e+00,2.015680e-04,3.516800e-05,9.284800e-05,4.275200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.097213e+00,2.311200e-04,3.932800e-05,1.084960e-04,5.147200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.947443e+00,2.428640e-04,4.302400e-05,1.135680e-04,5.427200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.628782e+00,2.723040e-04,4.548800e-05,1.299040e-04,6.192000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-11,2.530071e+00,2.829280e-04,4.968000e-05,1.334720e-04,6.392000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.292322e+00,3.122720e-04,5.273600e-05,1.512640e-04,7.147200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-3,5.219230e+00,1.371520e-04,4.776000e-05,4.371200e-05,1.928000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.412589e+00,1.622240e-04,4.995200e-05,5.800000e-05,2.532800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.827138e+00,1.870400e-04,5.201600e-05,7.350400e-05,3.225600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.343990e+00,2.140640e-04,5.550400e-05,8.937600e-05,3.910400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.199317e+00,2.237440e-04,5.808000e-05,9.304000e-05,4.198400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.817333e+00,2.540800e-04,6.214400e-05,1.088640e-04,5.100800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.709827e+00,2.641600e-04,6.464000e-05,1.137920e-04,5.388800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.434656e+00,2.940160e-04,6.785600e-05,1.303520e-04,6.171200e-05,1.030400e-05,
-1.000000,1024,OS2-f8-accu-11,2.367532e+00,3.023520e-04,7.014400e-05,1.341920e-04,6.292800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.157044e+00,3.318560e-04,7.315200e-05,1.494080e-04,7.187200e-05,1.225600e-05,
-1.000000,1024,BF16x9,1.904608e+01,3.758400e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),1.472654e+01,4.860800e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,3.836162e+01,1.492800e-04,4.092800e-05,4.552000e-05,2.425600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.212872e+01,1.782400e-04,4.392000e-05,6.196800e-05,3.292800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.952355e+01,1.939680e-04,4.684800e-05,6.889600e-05,3.731200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.585336e+01,2.215040e-04,4.953600e-05,8.515200e-05,4.556800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.418828e+01,2.367520e-04,5.198400e-05,9.241600e-05,5.059200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,2.113083e+01,2.710080e-04,5.932800e-05,1.094880e-04,5.908800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-9,1.993727e+01,2.872320e-04,6.308800e-05,1.154080e-04,6.304000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.904000e+01,3.007680e-04,6.612800e-05,1.200320e-04,6.700800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.727968e+01,3.314080e-04,6.980800e-05,1.370400e-04,7.518400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.646793e+01,3.477440e-04,7.336000e-05,1.418560e-04,8.028800e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-3,2.927242e+01,1.956320e-04,8.654400e-05,4.572800e-05,2.457600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.554886e+01,2.241440e-04,8.881600e-05,6.236800e-05,3.353600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.391514e+01,2.394560e-04,9.190400e-05,6.980800e-05,3.731200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.137438e+01,2.679200e-04,9.478400e-05,8.627200e-05,4.579200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,2.028071e+01,2.823680e-04,9.864000e-05,9.136000e-05,4.982400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,1.816177e+01,3.153120e-04,1.050560e-04,1.092160e-04,5.795200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-9,1.726301e+01,3.317280e-04,1.086400e-04,1.137920e-04,6.307200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.659160e+01,3.451520e-04,1.125280e-04,1.191200e-04,6.660800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,1.515044e+01,3.779840e-04,1.176800e-04,1.357280e-04,7.481600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.445183e+01,3.962560e-04,1.224000e-04,1.410880e-04,7.984000e-05,2.867200e-05,
-1.000000,2048,OS2-f8-fast-3,2.596401e+01,2.205600e-04,5.040000e-05,1.005760e-04,3.113600e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-4,2.104757e+01,2.720800e-04,5.531200e-05,1.347360e-04,4.182400e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-5,1.774487e+01,3.227200e-04,6.089600e-05,1.688480e-04,5.196800e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-6,1.514531e+01,3.781120e-04,7.104000e-05,2.014720e-04,6.153600e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-7,1.363793e+01,4.199040e-04,8.025600e-05,2.204800e-04,7.494400e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-8,1.196316e+01,4.786880e-04,9.244800e-05,2.523840e-04,8.582400e-05,2.665600e-05,
-1.000000,2048,OS2-f8-fast-9,1.092667e+01,5.240960e-04,1.039520e-04,2.711360e-04,9.832000e-05,2.867200e-05,
-1.000000,2048,OS2-f8-fast-10,9.837124e+00,5.821440e-04,1.145920e-04,3.046400e-04,1.092160e-04,3.075200e-05,
-1.000000,2048,OS2-f8-fast-11,9.138617e+00,6.266400e-04,1.253760e-04,3.232640e-04,1.216960e-04,3.280000e-05,
-1.000000,2048,OS2-f8-fast-12,8.334240e+00,6.871200e-04,1.355200e-04,3.584000e-04,1.319520e-04,3.689600e-05,
-1.000000,2048,OS2-f8-accu-3,2.157408e+01,2.654400e-04,9.361600e-05,1.020800e-04,3.065600e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-4,1.812865e+01,3.158880e-04,9.884800e-05,1.359840e-04,4.083200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,1.563421e+01,3.662880e-04,1.040320e-04,1.692160e-04,5.131200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-6,1.349549e+01,4.243360e-04,1.156640e-04,2.018560e-04,6.195200e-05,2.460800e-05,
-1.000000,2048,OS2-f8-accu-7,1.228594e+01,4.661120e-04,1.264960e-04,2.199520e-04,7.393600e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-8,1.093969e+01,5.234720e-04,1.375520e-04,2.522560e-04,8.432000e-05,2.665600e-05,
-1.000000,2048,OS2-f8-accu-9,1.006309e+01,5.690720e-04,1.486240e-04,2.707200e-04,9.862400e-05,2.870400e-05,
-1.000000,2048,OS2-f8-accu-10,9.126500e+00,6.274720e-04,1.593440e-04,3.044800e-04,1.096320e-04,3.075200e-05,
-1.000000,2048,OS2-f8-accu-11,8.539245e+00,6.706240e-04,1.688800e-04,3.224960e-04,1.219680e-04,3.286400e-05,
-1.000000,2048,OS2-f8-accu-12,7.834901e+00,7.309120e-04,1.788160e-04,3.579040e-04,1.323840e-04,3.689600e-05,
-1.000000,2048,BF16x9,5.247236e+01,1.091360e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),1.919315e+01,2.983680e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.168651e+02,3.920160e-04,1.036800e-04,1.481600e-04,4.915200e-05,7.376000e-05,
-1.000000,4096,OS2-i8-fast-4,9.691357e+01,4.727200e-04,1.149120e-04,2.005440e-04,6.609600e-05,7.376000e-05,
-1.000000,4096,OS2-i8-fast-5,8.543883e+01,5.362080e-04,1.253920e-04,2.296000e-04,8.916800e-05,7.379200e-05,
-1.000000,4096,OS2-i8-fast-6,7.433697e+01,6.162880e-04,1.373120e-04,2.794400e-04,1.052000e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-7,6.743550e+01,6.793600e-04,1.468640e-04,3.080800e-04,1.286080e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-8,5.894620e+01,7.772000e-04,1.734880e-04,3.591840e-04,1.455840e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-9,5.436736e+01,8.426560e-04,1.846080e-04,3.876000e-04,1.675200e-04,8.192000e-05,
-1.000000,4096,OS2-i8-fast-10,5.091327e+01,8.998240e-04,1.965120e-04,4.110720e-04,1.856800e-04,8.396800e-05,
-1.000000,4096,OS2-i8-fast-11,4.657306e+01,9.836800e-04,2.073280e-04,4.606880e-04,2.021760e-04,9.011200e-05,
-1.000000,4096,OS2-i8-fast-12,4.357895e+01,1.051264e-03,2.197920e-04,4.884480e-04,2.246880e-04,9.420800e-05,
-1.000000,4096,OS2-i8-accu-3,8.233822e+01,5.564000e-04,2.673920e-04,1.490720e-04,4.947200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,7.238628e+01,6.328960e-04,2.755840e-04,1.996160e-04,6.641600e-05,7.376000e-05,
-1.000000,4096,OS2-i8-accu-5,6.586110e+01,6.956000e-04,2.847360e-04,2.288640e-04,8.920000e-05,7.379200e-05,
-1.000000,4096,OS2-i8-accu-6,5.932234e+01,7.722720e-04,2.936960e-04,2.779520e-04,1.060000e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-7,5.480337e+01,8.359520e-04,3.030560e-04,3.079680e-04,1.283360e-04,7.579200e-05,
-1.000000,4096,OS2-i8-accu-8,4.914713e+01,9.321600e-04,3.299040e-04,3.576000e-04,1.452800e-04,7.782400e-05,
-1.000000,4096,OS2-i8-accu-9,4.601249e+01,9.956640e-04,3.403520e-04,3.841760e-04,1.673760e-04,8.192000e-05,
-1.000000,4096,OS2-i8-accu-10,4.356569e+01,1.051584e-03,3.512480e-04,4.083200e-04,1.853120e-04,8.396800e-05,
-1.000000,4096,OS2-i8-accu-11,4.041885e+01,1.133456e-03,3.598880e-04,4.580800e-04,2.019520e-04,9.011200e-05,
-1.000000,4096,OS2-i8-accu-12,3.805723e+01,1.203792e-03,3.725760e-04,4.876960e-04,2.243520e-04,9.422400e-05,
-1.000000,4096,OS2-f8-fast-3,6.420989e+01,7.134880e-04,1.448000e-04,3.607520e-04,1.167360e-04,7.374400e-05,
-1.000000,4096,OS2-f8-fast-4,5.100396e+01,8.982240e-04,1.658400e-04,4.838560e-04,1.554720e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-5,4.246032e+01,1.078960e-03,1.855200e-04,6.034720e-04,1.955520e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-6,3.593378e+01,1.274928e-03,2.203360e-04,7.253280e-04,2.327840e-04,7.574400e-05,
-1.000000,4096,OS2-f8-fast-7,3.106319e+01,1.474832e-03,2.572320e-04,8.474240e-04,2.711520e-04,7.779200e-05,
-1.000000,4096,OS2-f8-fast-8,2.795411e+01,1.638864e-03,2.944960e-04,9.288640e-04,3.124800e-04,7.987200e-05,
-1.000000,4096,OS2-f8-fast-9,2.491895e+01,1.838480e-03,3.300960e-04,1.048768e-03,3.509440e-04,8.601600e-05,
-1.000000,4096,OS2-f8-fast-10,2.289093e+01,2.001360e-03,3.637120e-04,1.131744e-03,3.905760e-04,9.209600e-05,
-1.000000,4096,OS2-f8-fast-11,2.078569e+01,2.204064e-03,3.978720e-04,1.254320e-03,4.298240e-04,9.723200e-05,
-1.000000,4096,OS2-f8-fast-12,1.934761e+01,2.367888e-03,4.330400e-04,1.337248e-03,4.687200e-04,1.024640e-04,
-1.000000,4096,OS2-f8-accu-3,5.348585e+01,8.565440e-04,2.858080e-04,3.624000e-04,1.167680e-04,7.374400e-05,
-1.000000,4096,OS2-f8-accu-4,4.419100e+01,1.036704e-03,3.050080e-04,4.822560e-04,1.562880e-04,7.577600e-05,
