phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.172996e+00,1.128000e-04,2.947200e-05,3.868800e-05,1.926400e-05,8.320000e-06,
-1.000000,1024,OS2-i8-fast-4,2.681566e+00,1.334720e-04,3.003200e-05,5.097600e-05,2.534400e-05,9.264000e-06,
-1.000000,1024,OS2-i8-fast-5,2.606574e+00,1.373120e-04,3.091200e-05,5.040000e-05,2.804800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,2.269415e+00,1.577120e-04,3.174400e-05,6.316800e-05,3.465600e-05,9.264000e-06,
-1.000000,1024,OS2-i8-fast-7,2.199137e+00,1.627520e-04,3.254400e-05,6.316800e-05,3.651200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,1.947725e+00,1.837600e-04,3.427200e-05,7.440000e-05,4.310400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,1.915207e+00,1.868800e-04,3.523200e-05,7.424000e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.854400e+00,1.930080e-04,3.660800e-05,7.516800e-05,4.817600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.657377e+00,2.159520e-04,3.888000e-05,8.833600e-05,5.475200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.635804e+00,2.188000e-04,3.923200e-05,8.804800e-05,5.675200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.478354e+00,1.444160e-04,6.172800e-05,3.811200e-05,1.888000e-05,8.224000e-06,
-1.000000,1024,OS2-i8-accu-4,2.174341e+00,1.646080e-04,6.233600e-05,5.097600e-05,2.534400e-05,9.088000e-06,
-1.000000,1024,OS2-i8-accu-5,2.120544e+00,1.687840e-04,6.342400e-05,4.977600e-05,2.769600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,1.890923e+00,1.892800e-04,6.387200e-05,6.268800e-05,3.424000e-05,9.248000e-06,
-1.000000,1024,OS2-i8-accu-7,1.837190e+00,1.948160e-04,6.481600e-05,6.268800e-05,3.699200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,1.639281e+00,2.183360e-04,6.688000e-05,7.608000e-05,4.392000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,1.621222e+00,2.207680e-04,6.790400e-05,7.564800e-05,4.563200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.580892e+00,2.264000e-04,6.862400e-05,7.561600e-05,4.828800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.449185e+00,2.469760e-04,7.022400e-05,8.769600e-05,5.446400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.424091e+00,2.513280e-04,7.246400e-05,8.772800e-05,5.614400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-3,3.023739e+00,1.183680e-04,2.891200e-05,4.515200e-05,1.832000e-05,9.216000e-06,
-1.000000,1024,OS2-f8-fast-4,2.524788e+00,1.417600e-04,3.032000e-05,5.979200e-05,2.521600e-05,9.248000e-06,
-1.000000,1024,OS2-f8-fast-5,2.156524e+00,1.659680e-04,3.244800e-05,7.459200e-05,3.089600e-05,9.232000e-06,
-1.000000,1024,OS2-f8-fast-6,1.874131e+00,1.909760e-04,3.476800e-05,8.884800e-05,3.788800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-7,1.769329e+00,2.022880e-04,3.892800e-05,9.305600e-05,4.076800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,1.558750e+00,2.296160e-04,4.288000e-05,1.087200e-04,4.689600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,1.479962e+00,2.418400e-04,4.643200e-05,1.131040e-04,5.028800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,1.330258e+00,2.690560e-04,4.883200e-05,1.296320e-04,5.667200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,1.279434e+00,2.797440e-04,5.120000e-05,1.340160e-04,5.996800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.171552e+00,3.055040e-04,5.339200e-05,1.497920e-04,6.646400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,2.521089e+00,1.419680e-04,5.328000e-05,4.464000e-05,1.881600e-05,9.424000e-06,
-1.000000,1024,OS2-f8-accu-4,2.152995e+00,1.662400e-04,5.561600e-05,5.888000e-05,2.473600e-05,9.248000e-06,
-1.000000,1024,OS2-f8-accu-5,1.878379e+00,1.905440e-04,5.712000e-05,7.320000e-05,3.145600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,1.655047e+00,2.162560e-04,5.969600e-05,8.889600e-05,3.820800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,1.566500e+00,2.284800e-04,6.380800e-05,9.321600e-05,4.064000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,1.395920e+00,2.564000e-04,6.676800e-05,1.092480e-04,4.804800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-9,1.344086e+00,2.662880e-04,6.953600e-05,1.134080e-04,5.060800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,1.219851e+00,2.934080e-04,7.257600e-05,1.295840e-04,5.737600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,1.172351e+00,3.052960e-04,7.584000e-05,1.343040e-04,6.000000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,1.083380e+00,3.303680e-04,7.744000e-05,1.505280e-04,6.688000e-05,1.020800e-05,
-1.000000,1024,BF16x9,9.005483e+00,3.974400e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),7.343934e+00,4.873600e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,1.747627e+01,1.638400e-04,5.011200e-05,4.537600e-05,2.996800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,1.472170e+01,1.944960e-04,5.289600e-05,6.060800e-05,4.147200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,1.348177e+01,2.123840e-04,5.611200e-05,6.886400e-05,4.656000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,1.178744e+01,2.429120e-04,5.848000e-05,8.617600e-05,5.676800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,1.109948e+01,2.579680e-04,6.107200e-05,9.235200e-05,6.192000e-05,2.251200e-05,
-1.000000,2048,OS2-i8-fast-8,9.783881e+00,2.926560e-04,6.819200e-05,1.089280e-04,7.222400e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-9,9.275746e+00,3.086880e-04,7.176000e-05,1.161920e-04,7.635200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-10,8.909981e+00,3.213600e-04,7.556800e-05,1.192800e-04,8.211200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-11,8.094670e+00,3.537280e-04,7.854400e-05,1.367040e-04,9.248000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-12,7.730991e+00,3.703680e-04,8.236800e-05,1.425280e-04,9.812800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-3,1.334504e+01,2.145600e-04,9.955200e-05,4.566400e-05,3.078400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,1.168203e+01,2.451040e-04,1.027520e-04,6.129600e-05,4.104000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,1.090071e+01,2.626720e-04,1.055200e-04,7.030400e-05,4.531200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,9.757209e+00,2.934560e-04,1.084480e-04,8.745600e-05,5.555200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,9.328449e+00,3.069440e-04,1.117600e-04,9.091200e-05,6.140800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-8,8.311982e+00,3.444800e-04,1.217120e-04,1.077120e-04,7.121600e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-9,7.897135e+00,3.625760e-04,1.260160e-04,1.158080e-04,7.640000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-10,7.622975e+00,3.756160e-04,1.297920e-04,1.184000e-04,8.211200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-11,7.006106e+00,4.086880e-04,1.348800e-04,1.352960e-04,9.260800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-12,6.718109e+00,4.262080e-04,1.389280e-04,1.416800e-04,9.856000e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-3,1.242757e+01,2.304000e-04,5.944000e-05,1.005760e-04,3.116800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-4,1.019988e+01,2.807200e-04,6.427200e-05,1.352800e-04,4.089600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-5,8.658231e+00,3.307040e-04,6.980800e-05,1.681440e-04,5.118400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-6,7.434547e+00,3.851360e-04,7.844800e-05,2.019840e-04,6.188800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-7,6.855801e+00,4.176480e-04,8.729600e-05,2.181920e-04,6.819200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-8,6.008494e+00,4.765440e-04,9.974400e-05,2.532960e-04,7.846400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-9,5.555599e+00,5.153920e-04,1.125760e-04,2.704000e-04,8.659200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-10,5.009433e+00,5.715840e-04,1.220800e-04,3.042400e-04,9.731200e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-11,4.722318e+00,6.063360e-04,1.318240e-04,3.230560e-04,1.026880e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-12,4.306820e+00,6.648320e-04,1.411360e-04,3.579520e-04,1.137280e-04,2.665600e-05,
-1.000000,2048,OS2-f8-accu-3,1.039179e+01,2.755360e-04,1.060320e-04,9.907200e-05,3.068800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,8.724076e+00,3.282080e-04,1.122720e-04,1.343680e-04,4.131200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,7.579069e+00,3.777920e-04,1.172000e-04,1.670240e-04,5.208000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-6,6.586323e+00,4.347360e-04,1.282240e-04,2.014080e-04,6.240000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-7,6.087179e+00,4.703840e-04,1.393600e-04,2.182080e-04,6.928000e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-8,5.418997e+00,5.283840e-04,1.509760e-04,2.529440e-04,8.019200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-9,5.046016e+00,5.674400e-04,1.648960e-04,2.700160e-04,8.683200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-10,4.599136e+00,6.225760e-04,1.736320e-04,3.041120e-04,9.580800e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-11,4.350797e+00,6.581120e-04,1.833600e-04,3.224000e-04,1.030400e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-12,3.995199e+00,7.166880e-04,1.934400e-04,3.568320e-04,1.137120e-04,2.665600e-05,
-1.000000,2048,BF16x9,2.666622e+01,1.073760e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),9.997596e+00,2.864000e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,5.260153e+01,4.354720e-04,1.241440e-04,1.519680e-04,6.803200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,4.364671e+01,5.248160e-04,1.383200e-04,2.029440e-04,9.128000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,3.920196e+01,5.843200e-04,1.502880e-04,2.315520e-04,1.100160e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-6,3.416513e+01,6.704640e-04,1.608960e-04,2.824960e-04,1.330720e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-7,3.151206e+01,7.269120e-04,1.706400e-04,3.108800e-04,1.505920e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-8,2.761788e+01,8.294080e-04,1.994400e-04,3.596640e-04,1.735360e-04,7.369600e-05,
-1.000000,4096,OS2-i8-fast-9,2.570667e+01,8.910720e-04,2.110240e-04,3.892480e-04,1.924320e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-10,2.441099e+01,9.383680e-04,2.229920e-04,4.052000e-04,2.107200e-04,7.574400e-05,
-1.000000,4096,OS2-i8-fast-11,2.234204e+01,1.025264e-03,2.334240e-04,4.571040e-04,2.339520e-04,7.574400e-05,
-1.000000,4096,OS2-i8-fast-12,2.111618e+01,1.084784e-03,2.454400e-04,4.839680e-04,2.527040e-04,7.779200e-05,
-1.000000,4096,OS2-i8-accu-3,3.760588e+01,6.091200e-04,2.990560e-04,1.512640e-04,6.795200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,3.299658e+01,6.942080e-04,3.083520e-04,2.024640e-04,9.068800e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-5,3.042257e+01,7.529440e-04,3.190880e-04,2.311520e-04,1.093440e-04,7.369600e-05,
-1.000000,4096,OS2-i8-accu-6,2.734725e+01,8.376160e-04,3.291040e-04,2.821280e-04,1.320000e-04,7.369600e-05,
-1.000000,4096,OS2-i8-accu-7,2.563899e+01,8.934240e-04,3.379040e-04,3.095360e-04,1.505600e-04,7.369600e-05,
-1.000000,4096,OS2-i8-accu-8,2.296492e+01,9.974560e-04,3.668960e-04,3.606400e-04,1.735200e-04,7.369600e-05,
-1.000000,4096,OS2-i8-accu-9,2.166025e+01,1.057536e-03,3.782240e-04,3.878720e-04,1.928480e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-10,2.068538e+01,1.107376e-03,3.908000e-04,4.060480e-04,2.107680e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-11,1.922666e+01,1.191392e-03,4.003840e-04,4.560000e-04,2.339680e-04,7.574400e-05,
-1.000000,4096,OS2-i8-accu-12,1.830785e+01,1.251184e-03,4.121280e-04,4.829600e-04,2.526720e-04,7.779200e-05,
-1.000000,4096,OS2-f8-fast-3,3.415861e+01,6.705920e-04,1.744480e-04,3.242880e-04,8.062400e-05,7.372800e-05,
-1.000000,4096,OS2-f8-fast-4,2.771626e+01,8.264640e-04,1.939200e-04,4.326400e-04,1.077760e-04,7.369600e-05,
-1.000000,4096,OS2-f8-fast-5,2.324909e+01,9.852640e-04,2.145760e-04,5.421280e-04,1.345440e-04,7.369600e-05,
-1.000000,4096,OS2-f8-fast-6,1.984084e+01,1.154512e-03,2.472640e-04,6.498880e-04,1.617440e-04,7.369600e-05,
-1.000000,4096,OS2-f8-fast-7,1.723993e+01,1.328688e-03,2.828160e-04,7.601600e-04,1.887360e-04,7.369600e-05,
-1.000000,4096,OS2-f8-fast-8,1.562448e+01,1.466064e-03,3.198720e-04,8.329440e-04,2.133920e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-9,1.390362e+01,1.647520e-03,3.604160e-04,9.428800e-04,2.430720e-04,7.577600e-05,
-1.000000,4096,OS2-f8-fast-10,1.289211e+01,1.776784e-03,3.913760e-04,1.015536e-03,2.662080e-04,7.782400e-05,
-1.000000,4096,OS2-f8-fast-11,1.175087e+01,1.949344e-03,4.236000e-04,1.126048e-03,2.929120e-04,7.987200e-05,
-1.000000,4096,OS2-f8-fast-12,1.097365e+01,2.087408e-03,4.582080e-04,1.200752e-03,3.196480e-04,8.192000e-05,
-1.000000,4096,OS2-f8-accu-3,2.828800e+01,8.097600e-04,3.194880e-04,3.173760e-04,8.104000e-05,7.372800e-05,
-1.000000,4096,OS2-f8-accu-4,2.372137e+01,9.656480e-04,3.386560e-04,4.265920e-04,1.079200e-04,7.369600e-05,
-1.000000,4096,OS2-f8-accu-5,2.029710e+01,1.128560e-03,3.601600e-04,5.392640e-04,1.342080e-04,7.369600e-05,
-1.000000,4096,OS2-f8-accu-6,1.764101e+01,1.298480e-03,3.926080e-04,6.479840e-04,1.622560e-04,7.369600e-05,
-1.000000,4096,OS2-f8-accu-7,1.557621e+01,1.470608e-03,4.269600e-04,7.576320e-04,1.884000e-04,7.369600e-05,
-1.000000,4096,OS2-f8-accu-8,1.424009e+01,1.608592e-03,4.638240e-04,8.313760e-04,2.142560e-04,7.577600e-05,
-1.000000,4096,OS2-f8-accu-9,1.281537e+01,1.787424e-03,5.043040e-04,9.413920e-04,2.412160e-04,7.574400e-05,
-1.000000,4096,OS2-f8-accu-10,1.194928e+01,1.916976e-03,5.347040e-04,1.014016e-03,2.665760e-04,7.782400e-05,
-1.000000,4096,OS2-f8-accu-11,1.096021e+01,2.089968e-03,5.674080e-04,1.124656e-03,2.916000e-04,7.987200e-05,
-1.000000,4096,OS2-f8-accu-12,1.029006e+01,2.226080e-03,6.015360e-04,1.198256e-03,3.183200e-04,8.086400e-05,
-1.000000,4096,BF16x9,3.743576e+01,6.118880e-04,,,,,
-1.000000,4096,STRTRMM (GEMM),1.036305e+01,2.210400e-03,,,,,
-1.000000,8192,OS2-i8-fast-3,1.340047e+02,1.367504e-03,4.222720e-04,4.876000e-04,1.612800e-04,2.785600e-04,
-1.000000,8192,OS2-i8-fast-4,1.125471e+02,1.628224e-03,4.578720e-04,6.585920e-04,2.152800e-04,2.785280e-04,
-1.000000,8192,OS2-i8-fast-5,9.710173e+01,1.887216e-03,4.954560e-04,8.241280e-04,2.692480e-04,2.785280e-04,
-1.000000,8192,OS2-i8-fast-6,8.803215e+01,2.081648e-03,5.335200e-04,9.323200e-04,3.165920e-04,2.785280e-04,
-1.000000,8192,OS2-i8-fast-7,7.831012e+01,2.340080e-03,5.713600e-04,1.095872e-03,3.714560e-04,2.795520e-04,
