phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.515025e+00,1.018240e-04,1.684800e-05,3.857600e-05,1.910400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,2.935261e+00,1.219360e-04,1.828800e-05,5.052800e-05,2.499200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,2.849270e+00,1.256160e-04,1.840000e-05,5.097600e-05,2.816000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,2.447442e+00,1.462400e-04,1.937600e-05,6.348800e-05,3.440000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,2.392217e+00,1.496160e-04,2.030400e-05,6.313600e-05,3.664000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,2.073181e+00,1.726400e-04,2.339200e-05,7.524800e-05,4.304000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,2.028623e+00,1.764320e-04,2.444800e-05,7.481600e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.966042e+00,1.820480e-04,2.596800e-05,7.526400e-05,4.819200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.764305e+00,2.028640e-04,2.672000e-05,8.761600e-05,5.465600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.725252e+00,2.074560e-04,2.824000e-05,8.806400e-05,5.681600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.743392e+00,1.304640e-04,4.718400e-05,3.851200e-05,1.891200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,2.346300e+00,1.525440e-04,4.894400e-05,5.097600e-05,2.542400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,2.295262e+00,1.559360e-04,4.944000e-05,5.040000e-05,2.809600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,2.000145e+00,1.789440e-04,5.204800e-05,6.329600e-05,3.427200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,1.983122e+00,1.804800e-04,5.148800e-05,6.249600e-05,3.654400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,1.748856e+00,2.046560e-04,5.512000e-05,7.523200e-05,4.331200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,1.712966e+00,2.089440e-04,5.521600e-05,7.604800e-05,4.550400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.670372e+00,2.142720e-04,5.718400e-05,7.560000e-05,4.844800e-05,1.024000e-05,
