phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.598708e+00,1.084800e-04,2.409600e-05,3.811200e-05,1.851200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.579155e+00,1.283040e-04,2.459200e-05,5.113600e-05,2.473600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.440083e+00,1.315840e-04,2.462400e-05,5.110400e-05,2.723200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.702958e+00,1.522080e-04,2.579200e-05,6.342400e-05,3.324800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.614196e+00,1.551360e-04,2.652800e-05,6.284800e-05,3.507200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.048800e+00,1.768000e-04,2.884800e-05,7.534400e-05,4.128000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.959225e+00,1.808000e-04,3.004800e-05,7.502400e-05,4.420800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.839949e+00,1.864160e-04,3.126400e-05,7.545600e-05,4.630400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.470310e+00,2.062720e-04,3.260800e-05,8.788800e-05,5.256000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.362083e+00,2.129120e-04,3.433600e-05,8.806400e-05,5.587200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.148360e+00,1.390400e-04,5.609600e-05,3.811200e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.462767e+00,1.604000e-04,5.675200e-05,5.097600e-05,2.534400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.359275e+00,1.642080e-04,5.814400e-05,5.112000e-05,2.700800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,3.891384e+00,1.839520e-04,5.851200e-05,6.302400e-05,3.315200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.810189e+00,1.878720e-04,5.971200e-05,6.307200e-05,3.504000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.398605e+00,2.106240e-04,6.171200e-05,7.603200e-05,4.160000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.324855e+00,2.152960e-04,6.320000e-05,7.584000e-05,4.451200e-05,1.022400e-05,
-1.000000,1024,OS2-i8-accu-10,3.244090e+00,2.206560e-04,6.428800e-05,7.576000e-05,4.758400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.964827e+00,2.414400e-04,6.542400e-05,8.859200e-05,5.356800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.918982e+00,2.452320e-04,6.683200e-05,8.742400e-05,5.619200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.155647e+00,1.162880e-04,2.432000e-05,4.579200e-05,1.916800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.164405e+00,1.386080e-04,2.628800e-05,5.980800e-05,2.524800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.393523e+00,1.629280e-04,2.804800e-05,7.428800e-05,3.160000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.744496e+00,1.911680e-04,3.182400e-05,9.033600e-05,3.907200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.536699e+00,2.024000e-04,3.654400e-05,9.328000e-05,4.249600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-8,3.085465e+00,2.320000e-04,4.193600e-05,1.084960e-04,4.985600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.900061e+00,2.468320e-04,4.486400e-05,1.137760e-04,5.505600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.617248e+00,2.735040e-04,4.832000e-05,1.294720e-04,6.180800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.498841e+00,2.864640e-04,5.088000e-05,1.340800e-04,6.454400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.283197e+00,3.135200e-04,5.404800e-05,1.502880e-04,7.230400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,5.129471e+00,1.395520e-04,4.955200e-05,4.380800e-05,1.897600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.355032e+00,1.643680e-04,5.129600e-05,5.896000e-05,2.539200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.826483e+00,1.870720e-04,5.232000e-05,7.313600e-05,3.236800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.305204e+00,2.165760e-04,5.628800e-05,8.976000e-05,4.001600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.125340e+00,2.290400e-04,6.086400e-05,9.259200e-05,4.436800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-8,2.788013e+00,2.567520e-04,6.456000e-05,1.088320e-04,5.139200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.662892e+00,2.688160e-04,6.710400e-05,1.132960e-04,5.502400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.416639e+00,2.962080e-04,7.115200e-05,1.294880e-04,6.196800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.319297e+00,3.086400e-04,7.390400e-05,1.338560e-04,6.400000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-12,2.134099e+00,3.354240e-04,7.630400e-05,1.500640e-04,7.099200e-05,1.225600e-05,
-1.000000,1024,BF16x9,1.929247e+01,3.710400e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),1.418492e+01,5.046400e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,3.765929e+01,1.520640e-04,4.259200e-05,4.601600e-05,2.425600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.156486e+01,1.814240e-04,4.516800e-05,6.395200e-05,3.289600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.939504e+01,1.948160e-04,4.771200e-05,6.891200e-05,3.731200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.538577e+01,2.255840e-04,5.091200e-05,8.760000e-05,4.547200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.396157e+01,2.389920e-04,5.321600e-05,9.241600e-05,5.059200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-8,2.085989e+01,2.745280e-04,6.177600e-05,1.096160e-04,5.920000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-9,1.968723e+01,2.908800e-04,6.560000e-05,1.161600e-04,6.265600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.880195e+01,3.045760e-04,6.931200e-05,1.215360e-04,6.617600e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-11,1.703865e+01,3.360960e-04,7.212800e-05,1.392320e-04,7.478400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.637301e+01,3.497600e-04,7.624000e-05,1.423360e-04,7.980800e-05,2.659200e-05,
-1.000000,2048,OS2-i8-accu-3,2.895275e+01,1.977920e-04,8.854400e-05,4.571200e-05,2.457600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.506751e+01,2.284480e-04,9.140800e-05,6.409600e-05,3.276800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.358732e+01,2.427840e-04,9.417600e-05,7.073600e-05,3.731200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.099079e+01,2.728160e-04,9.720000e-05,8.764800e-05,4.582400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,2.013241e+01,2.844480e-04,1.002400e-04,9.180800e-05,4.980800e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-8,1.784929e+01,3.208320e-04,1.097760e-04,1.085760e-04,5.801600e-05,2.249600e-05,
-1.000000,2048,OS2-i8-accu-9,1.685253e+01,3.398080e-04,1.153600e-04,1.150400e-04,6.336000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.624371e+01,3.525440e-04,1.175680e-04,1.207520e-04,6.684800e-05,2.454400e-05,
-1.000000,2048,OS2-i8-accu-11,1.488951e+01,3.846080e-04,1.221920e-04,1.369600e-04,7.481600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.438792e+01,3.980160e-04,1.253120e-04,1.418880e-04,7.990400e-05,2.659200e-05,
-1.000000,2048,OS2-f8-fast-3,2.562385e+01,2.234880e-04,5.166400e-05,1.025600e-04,3.110400e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-4,2.092942e+01,2.736160e-04,5.681600e-05,1.357920e-04,4.086400e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-5,1.764079e+01,3.246240e-04,6.228800e-05,1.699040e-04,5.092800e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-6,1.502893e+01,3.810400e-04,7.310400e-05,2.018080e-04,6.131200e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-7,1.359132e+01,4.213440e-04,8.273600e-05,2.188960e-04,7.489600e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-8,1.188372e+01,4.818880e-04,9.480000e-05,2.523680e-04,8.633600e-05,2.665600e-05,
-1.000000,2048,OS2-f8-fast-9,1.083209e+01,5.286720e-04,1.074080e-04,2.710080e-04,9.852800e-05,2.870400e-05,
-1.000000,2048,OS2-f8-fast-10,9.763597e+00,5.865280e-04,1.178560e-04,3.043680e-04,1.095840e-04,3.075200e-05,
-1.000000,2048,OS2-f8-fast-11,9.073057e+00,6.311680e-04,1.289280e-04,3.229760e-04,1.217280e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-12,8.282744e+00,6.913920e-04,1.399200e-04,3.570240e-04,1.323200e-04,3.689600e-05,
-1.000000,2048,OS2-f8-accu-3,2.151701e+01,2.661440e-04,9.515200e-05,1.018080e-04,3.065600e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-4,1.807099e+01,3.168960e-04,1.010880e-04,1.341440e-04,4.089600e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-5,1.562943e+01,3.664000e-04,1.060480e-04,1.680320e-04,5.068800e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-6,1.349804e+01,4.242560e-04,1.165920e-04,2.010560e-04,6.097600e-05,2.460800e-05,
-1.000000,2048,OS2-f8-accu-7,1.229818e+01,4.656480e-04,1.268960e-04,2.182240e-04,7.523200e-05,2.460800e-05,
-1.000000,2048,OS2-f8-accu-8,1.090337e+01,5.252160e-04,1.390720e-04,2.524480e-04,8.505600e-05,2.665600e-05,
-1.000000,2048,OS2-f8-accu-9,1.002364e+01,5.713120e-04,1.504800e-04,2.704320e-04,9.856000e-05,2.870400e-05,
-1.000000,2048,OS2-f8-accu-10,9.106994e+00,6.288160e-04,1.603680e-04,3.033920e-04,1.097120e-04,3.075200e-05,
-1.000000,2048,OS2-f8-accu-11,8.518110e+00,6.722880e-04,1.696640e-04,3.236160e-04,1.205920e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-12,7.827875e+00,7.315680e-04,1.792640e-04,3.565440e-04,1.327680e-04,3.689600e-05,
-1.000000,2048,BF16x9,4.600436e+01,1.244800e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),1.939913e+01,2.952000e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.061154e+02,4.317280e-04,1.004000e-04,1.852320e-04,5.576000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,8.672497e+01,5.282560e-04,1.119840e-04,2.500480e-04,7.456000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,7.721983e+01,5.932800e-04,1.230400e-04,2.837760e-04,9.331200e-05,7.577600e-05,
-1.000000,4096,OS2-i8-fast-6,6.678901e+01,6.859360e-04,1.330240e-04,3.459200e-04,1.126400e-04,7.379200e-05,
-1.000000,4096,OS2-i8-fast-7,6.124207e+01,7.480640e-04,1.432800e-04,3.775520e-04,1.311840e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-8,5.327983e+01,8.598560e-04,1.710080e-04,4.414880e-04,1.499520e-04,7.574400e-05,
-1.000000,4096,OS2-i8-fast-9,4.944331e+01,9.265760e-04,1.837120e-04,4.722560e-04,1.682720e-04,7.987200e-05,
-1.000000,4096,OS2-i8-fast-10,4.674413e+01,9.800800e-04,1.963520e-04,4.925120e-04,1.850720e-04,8.190400e-05,
-1.000000,4096,OS2-i8-fast-11,4.250949e+01,1.077712e-03,2.080960e-04,5.541600e-04,2.047520e-04,8.601600e-05,
-1.000000,4096,OS2-i8-fast-12,3.993238e+01,1.147264e-03,2.199840e-04,5.864000e-04,2.223520e-04,9.216000e-05,
-1.000000,4096,OS2-i8-accu-3,7.492834e+01,6.114240e-04,2.784480e-04,1.859680e-04,5.555200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,6.515671e+01,7.031200e-04,2.866400e-04,2.494720e-04,7.427200e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-5,5.976812e+01,7.665120e-04,2.978400e-04,2.815840e-04,9.300800e-05,7.376000e-05,
-1.000000,4096,OS2-i8-accu-6,5.336822e+01,8.584320e-04,3.067520e-04,3.439040e-04,1.124640e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-7,4.983659e+01,9.192640e-04,3.166560e-04,3.752000e-04,1.305920e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-8,4.447103e+01,1.030176e-03,3.419200e-04,4.397440e-04,1.496960e-04,7.574400e-05,
-1.000000,4096,OS2-i8-accu-9,4.187046e+01,1.094160e-03,3.531840e-04,4.697600e-04,1.683040e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-10,3.996694e+01,1.146272e-03,3.637920e-04,4.909600e-04,1.850080e-04,8.188800e-05,
-1.000000,4096,OS2-i8-accu-11,3.685323e+01,1.243120e-03,3.742880e-04,5.526400e-04,2.044640e-04,8.601600e-05,
-1.000000,4096,OS2-i8-accu-12,3.491929e+01,1.311968e-03,3.861760e-04,5.848160e-04,2.228160e-04,9.216000e-05,
-1.000000,4096,OS2-f8-fast-3,6.207183e+01,7.380640e-04,1.409440e-04,3.881920e-04,1.168000e-04,7.372800e-05,
-1.000000,4096,OS2-f8-fast-4,4.921724e+01,9.308320e-04,1.607200e-04,5.196640e-04,1.563360e-04,7.376000e-05,
-1.000000,4096,OS2-f8-fast-5,4.079256e+01,1.123072e-03,1.805280e-04,6.505120e-04,1.956160e-04,7.577600e-05,
