phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.414688e+00,1.048160e-04,2.324800e-05,3.812800e-05,1.873600e-05,9.984000e-06,
-1.000000,1024,OS2-i8-fast-4,2.847819e+00,1.256800e-04,2.417600e-05,5.100800e-05,2.499200e-05,9.232000e-06,
-1.000000,1024,OS2-i8-fast-5,2.789925e+00,1.282880e-04,2.432000e-05,5.059200e-05,2.806400e-05,8.224000e-06,
-1.000000,1024,OS2-i8-fast-6,2.369161e+00,1.510720e-04,2.539200e-05,6.348800e-05,3.443200e-05,1.003200e-05,
-1.000000,1024,OS2-i8-fast-7,2.316415e+00,1.545120e-04,2.651200e-05,6.304000e-05,3.651200e-05,8.224000e-06,
-1.000000,1024,OS2-i8-fast-8,2.024217e+00,1.768160e-04,2.899200e-05,7.556800e-05,4.316800e-05,9.248000e-06,
-1.000000,1024,OS2-i8-fast-9,1.970545e+00,1.816320e-04,2.964800e-05,7.555200e-05,4.520000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.916192e+00,1.867840e-04,3.145600e-05,7.569600e-05,4.819200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,1.710608e+00,2.092320e-04,3.276800e-05,8.844800e-05,5.476800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.683192e+00,2.126400e-04,3.337600e-05,8.832000e-05,5.683200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.606271e+00,1.373280e-04,5.572800e-05,3.811200e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,2.239426e+00,1.598240e-04,5.676800e-05,5.097600e-05,2.540800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,2.212186e+00,1.617920e-04,5.766400e-05,4.984000e-05,2.795200e-05,8.288000e-06,
-1.000000,1024,OS2-i8-accu-6,1.953508e+00,1.832160e-04,5.752000e-05,6.329600e-05,3.420800e-05,9.232000e-06,
-1.000000,1024,OS2-i8-accu-7,1.909648e+00,1.874240e-04,5.921600e-05,6.305600e-05,3.672000e-05,8.256000e-06,
-1.000000,1024,OS2-i8-accu-8,1.701371e+00,2.103680e-04,6.131200e-05,7.582400e-05,4.332800e-05,9.232000e-06,
-1.000000,1024,OS2-i8-accu-9,1.666763e+00,2.147360e-04,6.254400e-05,7.566400e-05,4.536000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.619813e+00,2.209600e-04,6.414400e-05,7.587200e-05,4.843200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.482414e+00,2.414400e-04,6.548800e-05,8.804800e-05,5.436800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.454651e+00,2.460480e-04,6.662400e-05,8.830400e-05,5.625600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-3,3.147991e+00,1.136960e-04,2.427200e-05,4.566400e-05,1.822400e-05,8.224000e-06,
-1.000000,1024,OS2-f8-fast-4,2.616942e+00,1.367680e-04,2.574400e-05,6.003200e-05,2.513600e-05,8.256000e-06,
-1.000000,1024,OS2-f8-fast-5,2.228494e+00,1.606080e-04,2.817600e-05,7.408000e-05,3.100800e-05,8.992000e-06,
-1.000000,1024,OS2-f8-fast-6,1.925096e+00,1.859200e-04,3.123200e-05,8.824000e-05,3.825600e-05,8.272000e-06,
-1.000000,1024,OS2-f8-fast-7,1.807354e+00,1.980320e-04,3.507200e-05,9.195200e-05,4.113600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,1.575215e+00,2.272160e-04,4.092800e-05,1.080960e-04,4.720000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,1.491010e+00,2.400480e-04,4.433600e-05,1.128640e-04,5.038400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,1.340221e+00,2.670560e-04,4.718400e-05,1.292480e-04,5.728000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-11,1.282588e+00,2.790560e-04,5.088000e-05,1.331040e-04,6.036800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,1.169103e+00,3.061440e-04,5.408000e-05,1.498880e-04,6.673600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-3,2.589077e+00,1.382400e-04,4.998400e-05,4.432000e-05,1.875200e-05,8.256000e-06,
-1.000000,1024,OS2-f8-accu-4,2.208909e+00,1.620320e-04,5.240000e-05,5.822400e-05,2.467200e-05,9.248000e-06,
