phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,6.356812e+00,1.126080e-04,2.940800e-05,3.872000e-05,1.916800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.374083e+00,1.332000e-04,3.004800e-05,5.100800e-05,2.534400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.277099e+00,1.356480e-04,3.097600e-05,5.036800e-05,2.704000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.559181e+00,1.570080e-04,3.148800e-05,6.326400e-05,3.356800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.490539e+00,1.594080e-04,3.230400e-05,6.323200e-05,3.449600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,3.943868e+00,1.815040e-04,3.409600e-05,7.523200e-05,4.110400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,3.860825e+00,1.854080e-04,3.620800e-05,7.520000e-05,4.227200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.770373e+00,1.898560e-04,3.724800e-05,7.516800e-05,4.600000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.352007e+00,2.135520e-04,3.865600e-05,8.873600e-05,5.348800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.268262e+00,2.190240e-04,4.113600e-05,8.832000e-05,5.624000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.058711e+00,1.415040e-04,5.929600e-05,3.811200e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.395249e+00,1.628640e-04,6.000000e-05,5.091200e-05,2.531200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.299370e+00,1.664960e-04,6.137600e-05,5.070400e-05,2.681600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,3.801771e+00,1.882880e-04,6.265600e-05,6.329600e-05,3.299200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.756759e+00,1.905440e-04,6.313600e-05,6.297600e-05,3.500800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,3.354269e+00,2.134080e-04,6.532800e-05,7.566400e-05,4.171200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-9,3.278321e+00,2.183520e-04,6.601600e-05,7.627200e-05,4.451200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.207574e+00,2.231680e-04,6.806400e-05,7.577600e-05,4.710400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,2.938924e+00,2.435680e-04,6.848000e-05,8.870400e-05,5.352000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.885286e+00,2.480960e-04,7.032000e-05,8.784000e-05,5.622400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.022243e+00,1.188640e-04,2.867200e-05,4.515200e-05,1.846400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.024059e+00,1.424800e-04,3.049600e-05,5.931200e-05,2.544000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.293593e+00,1.667200e-04,3.345600e-05,7.278400e-05,3.240000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.689530e+00,1.940160e-04,3.697600e-05,8.851200e-05,3.860800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.487624e+00,2.052480e-04,3.980800e-05,9.251200e-05,4.212800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.086955e+00,2.318880e-04,4.270400e-05,1.084960e-04,4.892800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.953865e+00,2.423360e-04,4.520000e-05,1.135840e-04,5.134400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.661149e+00,2.689920e-04,4.774400e-05,1.300480e-04,5.841600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.542725e+00,2.815200e-04,5.024000e-05,1.348160e-04,6.065600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.329198e+00,3.073280e-04,5.302400e-05,1.504800e-04,6.744000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-3,5.050146e+00,1.417440e-04,5.278400e-05,4.331200e-05,1.931200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.320962e+00,1.656640e-04,5.502400e-05,5.756800e-05,2.540800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,3.776101e+00,1.895680e-04,5.643200e-05,7.264000e-05,3.225600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.308626e+00,2.163520e-04,6.051200e-05,8.780800e-05,3.884800e-05,1.022400e-05,
-1.000000,1024,OS2-f8-accu-7,3.131684e+00,2.285760e-04,6.339200e-05,9.308800e-05,4.185600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.814851e+00,2.543040e-04,6.558400e-05,1.080480e-04,4.876800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.681244e+00,2.669760e-04,6.899200e-05,1.134560e-04,5.214400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.437973e+00,2.936160e-04,7.089600e-05,1.298240e-04,5.971200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.347654e+00,3.049120e-04,7.305600e-05,1.342880e-04,6.193600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.165396e+00,3.305760e-04,7.640000e-05,1.495840e-04,6.825600e-05,1.225600e-05,
-1.000000,1024,BF16x9,1.808377e+01,3.958400e-05,,,,,
-1.000000,1024,STRTRMM (GEMM),1.471202e+01,4.865600e-05,,,,,
-1.000000,2048,OS2-i8-fast-3,3.651810e+01,1.568160e-04,4.900800e-05,4.524800e-05,2.502400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.061710e+01,1.870400e-04,5.177600e-05,6.265600e-05,3.321600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,2.848046e+01,2.010720e-04,5.505600e-05,6.883200e-05,3.726400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.480690e+01,2.308480e-04,5.779200e-05,8.624000e-05,4.545600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.334729e+01,2.452800e-04,6.012800e-05,9.241600e-05,5.056000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-8,2.067194e+01,2.770240e-04,6.587200e-05,1.088640e-04,5.900800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-9,1.969157e+01,2.908160e-04,6.960000e-05,1.140960e-04,6.275200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.877828e+01,3.049600e-04,7.291200e-05,1.194880e-04,6.620800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-11,1.706790e+01,3.355200e-04,7.603200e-05,1.360800e-04,7.414400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.625625e+01,3.522720e-04,7.980800e-05,1.415040e-04,7.971200e-05,2.672000e-05,
-1.000000,2048,OS2-i8-accu-3,2.785539e+01,2.055840e-04,9.774400e-05,4.563200e-05,2.464000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.441099e+01,2.345920e-04,1.000000e-04,6.220800e-05,3.276800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.283780e+01,2.507520e-04,1.037280e-04,6.979200e-05,3.721600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.038931e+01,2.808640e-04,1.067360e-04,8.667200e-05,4.604800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,1.956028e+01,2.927680e-04,1.102560e-04,9.083200e-05,4.956800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-8,1.740488e+01,3.290240e-04,1.196640e-04,1.082240e-04,5.768000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-9,1.655629e+01,3.458880e-04,1.243520e-04,1.132800e-04,6.284800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.592923e+01,3.595040e-04,1.286560e-04,1.174400e-04,6.652800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-11,1.467522e+01,3.902240e-04,1.306240e-04,1.353280e-04,7.478400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.399851e+01,4.090880e-04,1.366080e-04,1.408800e-04,7.968000e-05,2.867200e-05,
-1.000000,2048,OS2-f8-fast-3,2.504471e+01,2.286560e-04,5.820800e-05,1.006080e-04,3.110400e-05,2.256000e-05,
-1.000000,2048,OS2-f8-fast-4,2.057450e+01,2.783360e-04,6.281600e-05,1.348960e-04,4.076800e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-5,1.742182e+01,3.287040e-04,6.840000e-05,1.680640e-04,5.158400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-fast-6,1.494359e+01,3.832160e-04,7.699200e-05,2.005600e-04,6.128000e-05,2.460800e-05,
-1.000000,2048,OS2-f8-fast-7,1.349397e+01,4.243840e-04,8.590400e-05,2.193280e-04,7.392000e-05,2.457600e-05,
-1.000000,2048,OS2-f8-fast-8,1.184636e+01,4.834080e-04,9.712000e-05,2.521120e-04,8.548800e-05,2.665600e-05,
-1.000000,2048,OS2-f8-fast-9,1.081311e+01,5.296000e-04,1.098880e-04,2.703520e-04,9.852800e-05,2.870400e-05,
-1.000000,2048,OS2-f8-fast-10,9.739155e+00,5.880000e-04,1.189760e-04,3.038080e-04,1.106080e-04,3.073600e-05,
-1.000000,2048,OS2-f8-fast-11,9.084341e+00,6.303840e-04,1.283840e-04,3.228640e-04,1.203040e-04,3.484800e-05,
-1.000000,2048,OS2-f8-fast-12,8.319130e+00,6.883680e-04,1.379200e-04,3.587200e-04,1.322880e-04,3.484800e-05,
-1.000000,2048,OS2-f8-accu-3,2.070423e+01,2.765920e-04,1.049120e-04,1.021120e-04,3.065600e-05,2.256000e-05,
-1.000000,2048,OS2-f8-accu-4,1.758704e+01,3.256160e-04,1.102880e-04,1.347840e-04,4.081600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,1.517806e+01,3.772960e-04,1.157280e-04,1.690880e-04,5.123200e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-6,1.318041e+01,4.344800e-04,1.259360e-04,2.013760e-04,6.280000e-05,2.460800e-05,
-1.000000,2048,OS2-f8-accu-7,1.205625e+01,4.749920e-04,1.360800e-04,2.188320e-04,7.417600e-05,2.457600e-05,
-1.000000,2048,OS2-f8-accu-8,1.070701e+01,5.348480e-04,1.483040e-04,2.523520e-04,8.507200e-05,2.665600e-05,
-1.000000,2048,OS2-f8-accu-9,9.880302e+00,5.796000e-04,1.608480e-04,2.703040e-04,9.769600e-05,2.870400e-05,
-1.000000,2048,OS2-f8-accu-10,8.982431e+00,6.375360e-04,1.694720e-04,3.046400e-04,1.096320e-04,3.075200e-05,
-1.000000,2048,OS2-f8-accu-11,8.400750e+00,6.816800e-04,1.798720e-04,3.218880e-04,1.204320e-04,3.484800e-05,
-1.000000,2048,OS2-f8-accu-12,7.751753e+00,7.387520e-04,1.886080e-04,3.569760e-04,1.321600e-04,3.484800e-05,
-1.000000,2048,BF16x9,5.241856e+01,1.092480e-04,,,,,
-1.000000,2048,STRTRMM (GEMM),1.995395e+01,2.869920e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.100469e+02,4.163040e-04,1.240640e-04,1.508800e-04,4.944000e-05,7.577600e-05,
-1.000000,4096,OS2-i8-fast-4,9.282602e+01,4.935360e-04,1.363360e-04,1.999040e-04,6.481600e-05,7.376000e-05,
-1.000000,4096,OS2-i8-fast-5,8.202686e+01,5.585120e-04,1.472320e-04,2.294080e-04,8.913600e-05,7.382400e-05,
-1.000000,4096,OS2-i8-fast-6,7.179458e+01,6.381120e-04,1.577760e-04,2.793920e-04,1.059040e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-7,6.551151e+01,6.993120e-04,1.676960e-04,3.074720e-04,1.283200e-04,7.580800e-05,
-1.000000,4096,OS2-i8-fast-8,5.737065e+01,7.985440e-04,1.968960e-04,3.579520e-04,1.453440e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-9,5.307540e+01,8.631680e-04,2.075200e-04,3.865280e-04,1.674080e-04,7.987200e-05,
-1.000000,4096,OS2-i8-fast-10,4.975605e+01,9.207520e-04,2.191680e-04,4.104160e-04,1.852000e-04,8.396800e-05,
-1.000000,4096,OS2-i8-fast-11,4.576466e+01,1.001056e-03,2.291840e-04,4.595040e-04,2.012160e-04,8.806400e-05,
-1.000000,4096,OS2-i8-fast-12,4.271304e+01,1.072576e-03,2.418560e-04,4.881280e-04,2.241920e-04,9.424000e-05,
-1.000000,4096,OS2-i8-accu-3,7.868402e+01,5.822400e-04,2.936160e-04,1.496320e-04,4.944000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,6.951641e+01,6.590240e-04,3.024960e-04,2.000480e-04,6.470400e-05,7.376000e-05,
-1.000000,4096,OS2-i8-accu-5,6.348524e+01,7.216320e-04,3.117280e-04,2.284640e-04,8.865600e-05,7.382400e-05,
-1.000000,4096,OS2-i8-accu-6,5.729488e+01,7.996000e-04,3.213120e-04,2.772000e-04,1.064000e-04,7.580800e-05,
-1.000000,4096,OS2-i8-accu-7,5.304983e+01,8.635840e-04,3.311680e-04,3.070080e-04,1.285440e-04,7.580800e-05,
-1.000000,4096,OS2-i8-accu-8,4.765911e+01,9.612640e-04,3.601440e-04,3.568800e-04,1.451520e-04,7.782400e-05,
-1.000000,4096,OS2-i8-accu-9,4.471828e+01,1.024480e-03,3.708640e-04,3.842560e-04,1.673600e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-10,4.232162e+01,1.082496e-03,3.824960e-04,4.092160e-04,1.847200e-04,8.396800e-05,
-1.000000,4096,OS2-i8-accu-11,3.937989e+01,1.163360e-03,3.913280e-04,4.591520e-04,2.018880e-04,8.806400e-05,
-1.000000,4096,OS2-i8-accu-12,3.713908e+01,1.233552e-03,4.044480e-04,4.871040e-04,2.238240e-04,9.424000e-05,
