phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,7.221831e+00,9.912000e-05,1.777600e-05,3.788800e-05,1.804800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,5.927297e+00,1.207680e-04,1.811200e-05,5.070400e-05,2.475200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.772061e+00,1.240160e-04,1.836800e-05,5.096000e-05,2.755200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.908848e+00,1.458240e-04,1.939200e-05,6.348800e-05,3.444800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.857154e+00,1.473760e-04,2.027200e-05,6.249600e-05,3.537600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.192601e+00,1.707360e-04,2.308800e-05,7.580800e-05,4.131200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.113575e+00,1.740160e-04,2.433600e-05,7.523200e-05,4.326400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,4.004228e+00,1.787680e-04,2.566400e-05,7.529600e-05,4.617600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.569146e+00,2.005600e-04,2.651200e-05,8.854400e-05,5.268800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,3.496073e+00,2.047520e-04,2.753600e-05,8.825600e-05,5.448000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,5.455340e+00,1.312160e-04,4.825600e-05,3.846400e-05,1.886400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,4.727308e+00,1.514240e-04,4.800000e-05,5.097600e-05,2.544000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.622300e+00,1.548640e-04,4.899200e-05,5.040000e-05,2.707200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.068313e+00,1.759520e-04,5.006400e-05,6.326400e-05,3.360000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.998145e+00,1.790400e-04,5.230400e-05,6.249600e-05,3.446400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.535302e+00,2.024800e-04,5.366400e-05,7.588800e-05,4.193600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.454768e+00,2.072000e-04,5.598400e-05,7.628800e-05,4.393600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.364106e+00,2.127840e-04,5.720000e-05,7.654400e-05,4.755200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,3.063492e+00,2.336640e-04,5.732800e-05,8.916800e-05,5.406400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,3.011324e+00,2.377120e-04,5.878400e-05,8.820800e-05,5.657600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,6.502797e+00,1.100800e-04,1.985600e-05,4.555200e-05,1.931200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.329273e+00,1.343200e-04,2.110400e-05,6.030400e-05,2.569600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.520942e+00,1.583360e-04,2.329600e-05,7.449600e-05,3.235200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.839290e+00,1.864480e-04,2.734400e-05,8.982400e-05,3.977600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.643557e+00,1.964640e-04,3.096000e-05,9.304000e-05,4.238400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,3.121633e+00,2.293120e-04,3.878400e-05,1.090720e-04,4.974400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.977059e+00,2.404480e-04,4.225600e-05,1.136480e-04,5.275200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.658303e+00,2.692800e-04,4.577600e-05,1.295040e-04,6.102400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.539117e+00,2.819200e-04,4.934400e-05,1.356640e-04,6.291200e-05,1.020800e-05,
