phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,3.355275e+00,1.066720e-04,2.358400e-05,3.825600e-05,1.849600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,2.819463e+00,1.269440e-04,2.411200e-05,5.075200e-05,2.496000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,2.726340e+00,1.312800e-04,2.468800e-05,5.096000e-05,2.809600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,2.348024e+00,1.524320e-04,2.531200e-05,6.347200e-05,3.465600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,2.297147e+00,1.558080e-04,2.643200e-05,6.329600e-05,3.654400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,2.006964e+00,1.783360e-04,2.864000e-05,7.566400e-05,4.332800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,1.966906e+00,1.819680e-04,2.982400e-05,7.526400e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,1.915699e+00,1.868320e-04,3.102400e-05,7.518400e-05,4.828800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,1.712048e+00,2.090560e-04,3.228800e-05,8.848000e-05,5.539200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,1.680789e+00,2.129440e-04,3.331200e-05,8.838400e-05,5.691200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,2.579225e+00,1.387680e-04,5.561600e-05,3.808000e-05,1.884800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,2.221192e+00,1.611360e-04,5.804800e-05,5.099200e-05,2.537600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,2.178152e+00,1.643200e-04,5.734400e-05,5.118400e-05,2.803200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,1.924765e+00,1.859520e-04,5.961600e-05,6.276800e-05,3.424000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,1.895088e+00,1.888640e-04,5.913600e-05,6.316800e-05,3.686400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,1.691721e+00,2.115680e-04,6.129600e-05,7.590400e-05,4.339200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,1.640362e+00,2.181920e-04,6.452800e-05,7.580800e-05,4.564800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,1.618056e+00,2.212000e-04,6.452800e-05,7.579200e-05,4.825600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,1.475082e+00,2.426400e-04,6.704000e-05,8.795200e-05,5.440000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,1.449091e+00,2.469920e-04,6.768000e-05,8.785600e-05,5.635200e-05,1.024000e-05,
