phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.966069e+00,3.609760e-04,6.801600e-05,2.068640e-04,5.318400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.551156e+00,4.031520e-04,7.158400e-05,2.369760e-04,5.932800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.453834e+00,4.145120e-04,7.528000e-05,2.393280e-04,6.259200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.144340e+00,4.553120e-04,7.907200e-05,2.679360e-04,6.998400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.074228e+00,4.656960e-04,8.297600e-05,2.709600e-04,7.280000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.994093e+00,4.781600e-04,8.896000e-05,2.727200e-04,7.657600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.753608e+00,5.199200e-04,9.307200e-05,3.017280e-04,8.302400e-05,1.232000e-05,
-1.000000,1024,OS2-i8-fast-16,2.558282e+00,5.596160e-04,1.258400e-04,3.043360e-04,8.544000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.507735e+00,5.708960e-04,1.324640e-04,3.044800e-04,8.913600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.322548e+00,6.164160e-04,1.400640e-04,3.348800e-04,9.563200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.274780e+00,6.293600e-04,1.470080e-04,3.360800e-04,9.894400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.231161e+00,6.416640e-04,1.545440e-04,3.371360e-04,1.009600e-04,1.433600e-05,
-1.000000,1024,OS2-i8-accu-9,3.484908e+00,4.108160e-04,1.162240e-04,2.071360e-04,5.281600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.178180e+00,4.504640e-04,1.183680e-04,2.371680e-04,5.929600e-05,1.219200e-05,
-1.000000,1024,OS2-i8-accu-11,3.098500e+00,4.620480e-04,1.219360e-04,2.393280e-04,6.332800e-05,1.228800e-05,
