phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.115594e+00,3.528160e-04,5.284800e-05,2.086240e-04,5.416000e-05,1.436800e-05,
-1.000000,1024,OS2-i8-fast-10,7.251974e+00,3.948320e-04,5.667200e-05,2.387200e-04,6.136000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,7.040284e+00,4.067040e-04,6.088000e-05,2.404480e-04,6.467200e-05,1.443200e-05,
-1.000000,1024,OS2-i8-fast-12,6.361783e+00,4.500800e-04,6.553600e-05,2.694720e-04,7.230400e-05,1.641600e-05,
-1.000000,1024,OS2-i8-fast-13,6.219614e+00,4.603680e-04,6.995200e-05,2.725920e-04,7.414400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.040130e+00,4.740480e-04,7.798400e-05,2.750560e-04,7.699200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.521659e+00,5.185600e-04,8.364800e-05,3.026880e-04,8.512000e-05,1.846400e-05,
-1.000000,1024,OS2-i8-fast-16,5.083860e+00,5.632160e-04,1.227520e-04,3.060160e-04,8.659200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.969094e+00,5.762240e-04,1.302240e-04,3.057600e-04,9.084800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.607662e+00,6.214240e-04,1.362560e-04,3.354240e-04,9.779200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.529409e+00,6.321600e-04,1.435520e-04,3.349600e-04,1.008640e-04,2.051200e-05,
-1.000000,1024,OS2-i8-fast-20,4.425356e+00,6.470240e-04,1.510880e-04,3.379360e-04,1.034400e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,7.062511e+00,4.054240e-04,1.042080e-04,2.090560e-04,5.414400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.428283e+00,4.454240e-04,1.064640e-04,2.389120e-04,6.182400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.288017e+00,4.553600e-04,1.083520e-04,2.417760e-04,6.526400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.747221e+00,4.982080e-04,1.128320e-04,2.701280e-04,7.233600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.649251e+00,5.068480e-04,1.161280e-04,2.729920e-04,7.440000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.555772e+00,5.153760e-04,1.189600e-04,2.754400e-04,7.689600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-15,5.147027e+00,5.563040e-04,1.216000e-04,3.021600e-04,8.515200e-05,1.846400e-05,
-1.000000,1024,OS2-i8-accu-16,5.025328e+00,5.697760e-04,1.295040e-04,3.043680e-04,8.764800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.948073e+00,5.786720e-04,1.328480e-04,3.053280e-04,9.025600e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.579598e+00,6.252320e-04,1.371520e-04,3.379680e-04,9.792000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.518545e+00,6.336800e-04,1.395360e-04,3.388320e-04,1.011360e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.482666e+00,6.387520e-04,1.421440e-04,3.382080e-04,1.029440e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.008171e+00,5.717280e-04,1.124000e-04,3.324480e-04,8.880000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-10,4.683144e+00,6.114080e-04,1.272960e-04,3.482880e-04,9.784000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.206299e+00,6.807200e-04,1.428480e-04,3.862720e-04,1.090400e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.999396e+00,7.159360e-04,1.579360e-04,3.985920e-04,1.166880e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,2.471406e+00,1.158576e-03,5.513600e-04,4.351040e-04,1.260320e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,2.320952e+00,1.233680e-03,6.046400e-04,4.493280e-04,1.320000e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.137131e+00,1.339792e-03,6.588160e-04,4.876640e-04,1.426240e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.009759e+00,1.424704e-03,7.168160e-04,5.036640e-04,1.520640e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,1.879859e+00,1.523152e-03,7.663840e-04,5.411040e-04,1.625760e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,1.796486e+00,1.593840e-03,8.194400e-04,5.538240e-04,1.644960e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,1.693113e+00,1.691152e-03,8.691360e-04,5.856160e-04,1.797920e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-20,1.595679e+00,1.794416e-03,9.158080e-04,6.261440e-04,1.930880e-04,2.256000e-05,
-1.000000,1024,OS2-f8-accu-9,4.949853e+00,5.784640e-04,1.175040e-04,3.337440e-04,8.960000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-10,4.691738e+00,6.102880e-04,1.261760e-04,3.484480e-04,9.699200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-11,4.249145e+00,6.738560e-04,1.355200e-04,3.871040e-04,1.091360e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.075540e+00,7.025600e-04,1.457920e-04,3.988000e-04,1.155840e-04,1.635200e-05,
-1.000000,1024,OS2-f8-accu-13,3.670159e+00,7.801600e-04,1.691840e-04,4.384480e-04,1.262720e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-14,3.522498e+00,8.128640e-04,1.793920e-04,4.518880e-04,1.336160e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.291405e+00,8.699360e-04,1.893760e-04,4.894080e-04,1.424800e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.158993e+00,9.064000e-04,1.967040e-04,5.061920e-04,1.519680e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.989242e+00,9.578720e-04,2.044320e-04,5.398560e-04,1.601760e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.878695e+00,9.946560e-04,2.139680e-04,5.569760e-04,1.686240e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.738565e+00,1.045552e-03,2.230880e-04,5.846720e-04,1.810560e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.587691e+00,1.106512e-03,2.345440e-04,6.231040e-04,1.904320e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.348786e+01,2.122880e-04,,,,,
-1.000000,1024,OS1-7,1.228762e+01,2.330240e-04,,,,,
-1.000000,1024,OS1-8,1.124596e+01,2.546080e-04,,,,,
