phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.963434e+00,3.612160e-04,6.790400e-05,2.070880e-04,5.288000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.554118e+00,4.028160e-04,7.132800e-05,2.360480e-04,5.955200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.461450e+00,4.136000e-04,7.526400e-05,2.390720e-04,6.225600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,3.146552e+00,4.549920e-04,7.902400e-05,2.677760e-04,6.985600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,3.081852e+00,4.645440e-04,8.257600e-05,2.704160e-04,7.276800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.987895e+00,4.791520e-04,8.880000e-05,2.722080e-04,7.665600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.754116e+00,5.198240e-04,9.294400e-05,3.012480e-04,8.312000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-16,2.567163e+00,5.576800e-04,1.254240e-04,3.021920e-04,8.542400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.503665e+00,5.718240e-04,1.324160e-04,3.049760e-04,8.920000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.321283e+00,6.167520e-04,1.397120e-04,3.343840e-04,9.616000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.277850e+00,6.285120e-04,1.467840e-04,3.363520e-04,9.862400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.236738e+00,6.400640e-04,1.539040e-04,3.368640e-04,1.010560e-04,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.517513e+00,4.070080e-04,1.156640e-04,2.058560e-04,5.238400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.181231e+00,4.500320e-04,1.180640e-04,2.370720e-04,5.932800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,3.108835e+00,4.605120e-04,1.209280e-04,2.390720e-04,6.259200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-12,2.850269e+00,5.022880e-04,1.255040e-04,2.670560e-04,6.958400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.802947e+00,5.107680e-04,1.281600e-04,2.707200e-04,7.249600e-05,1.225600e-05,
