phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.857261e+00,3.644160e-04,6.268800e-05,2.091680e-04,5.648000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.050824e+00,4.060960e-04,6.584000e-05,2.396160e-04,6.281600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.892238e+00,4.154400e-04,6.921600e-05,2.410240e-04,6.584000e-05,1.436800e-05,
-1.000000,1024,OS2-i8-fast-12,6.244137e+00,4.585600e-04,7.225600e-05,2.713760e-04,7.332800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.136018e+00,4.666400e-04,7.564800e-05,2.729440e-04,7.529600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.042373e+00,4.738720e-04,7.835200e-05,2.736000e-04,7.836800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.532755e+00,5.175200e-04,8.124800e-05,3.042240e-04,8.617600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.241089e+00,5.463200e-04,1.079040e-04,3.016800e-04,8.801600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.097618e+00,5.616960e-04,1.146240e-04,3.073600e-04,9.177600e-05,1.840000e-05,
-1.000000,1024,OS2-i8-fast-18,4.711254e+00,6.077600e-04,1.217920e-04,3.376320e-04,9.784000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.600555e+00,6.223840e-04,1.287200e-04,3.391360e-04,1.026400e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.516720e+00,6.339360e-04,1.366720e-04,3.403680e-04,1.045280e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.741137e+00,4.247520e-04,1.233920e-04,2.097920e-04,5.510400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.094019e+00,4.698560e-04,1.300800e-04,2.396000e-04,6.230400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.006678e+00,4.766880e-04,1.312960e-04,2.414240e-04,6.523200e-05,1.436800e-05,
