phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.094188e+00,3.496800e-04,5.803200e-05,2.076000e-04,5.201600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.644596e+00,3.928160e-04,6.160000e-05,2.369920e-04,5.929600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.548621e+00,4.034400e-04,6.542400e-05,2.394880e-04,6.217600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.213564e+00,4.455040e-04,6.899200e-05,2.694400e-04,6.980800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.147216e+00,4.548960e-04,7.316800e-05,2.716000e-04,7.267200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.103121e+00,4.613600e-04,7.771200e-05,2.712320e-04,7.393600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.818309e+00,5.079840e-04,8.336000e-05,3.012000e-04,8.254400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-16,2.628628e+00,5.446400e-04,1.143840e-04,3.029920e-04,8.422400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.560845e+00,5.590560e-04,1.220160e-04,3.047360e-04,8.812800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.372742e+00,6.033760e-04,1.296480e-04,3.344160e-04,9.438400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.320801e+00,6.168800e-04,1.369280e-04,3.360800e-04,9.800000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.276748e+00,6.288160e-04,1.436160e-04,3.364480e-04,1.006560e-04,1.436800e-05,
-1.000000,1024,OS2-i8-accu-9,3.520280e+00,4.066880e-04,1.143520e-04,2.076000e-04,5.201600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.197030e+00,4.478080e-04,1.169440e-04,2.370400e-04,5.849600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.126541e+00,4.579040e-04,1.209600e-04,2.391360e-04,6.169600e-05,1.228800e-05,
