phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.509419e+00,3.812960e-04,8.331200e-05,2.072640e-04,5.395200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.755898e+00,4.238240e-04,8.616000e-05,2.387840e-04,6.099200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.563134e+00,4.362720e-04,8.971200e-05,2.424640e-04,6.408000e-05,1.539200e-05,
-1.000000,1024,OS2-i8-fast-12,6.012935e+00,4.761920e-04,9.267200e-05,2.705440e-04,7.092800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,5.903054e+00,4.850560e-04,9.611200e-05,2.724640e-04,7.347200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.788116e+00,4.946880e-04,9.972800e-05,2.741440e-04,7.649600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.344711e+00,5.357280e-04,1.023520e-04,3.029760e-04,8.363200e-05,1.846400e-05,
-1.000000,1024,OS2-i8-fast-16,5.088631e+00,5.626880e-04,1.235040e-04,3.030880e-04,8.734400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.974067e+00,5.756480e-04,1.285280e-04,3.071520e-04,9.043200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.626124e+00,6.189440e-04,1.354880e-04,3.346880e-04,9.745600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.520143e+00,6.334560e-04,1.404480e-04,3.405280e-04,1.001440e-04,2.051200e-05,
-1.000000,1024,OS2-i8-fast-20,4.462100e+00,6.416960e-04,1.469280e-04,3.390080e-04,1.024640e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.755388e+00,4.238560e-04,1.249920e-04,2.076960e-04,5.400000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.152684e+00,4.653760e-04,1.284160e-04,2.385440e-04,6.099200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,5.988588e+00,4.781280e-04,1.323200e-04,2.415040e-04,6.435200e-05,1.638400e-05,
