phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.082606e+00,3.506720e-04,5.764800e-05,2.077760e-04,5.299200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.643854e+00,3.928960e-04,6.147200e-05,2.374080e-04,5.939200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.549184e+00,4.033760e-04,6.510400e-05,2.387680e-04,6.296000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.218766e+00,4.447840e-04,6.891200e-05,2.687360e-04,6.984000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.139816e+00,4.559680e-04,7.262400e-05,2.719680e-04,7.220800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.082914e+00,4.643840e-04,7.801600e-05,2.718880e-04,7.560000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.817776e+00,5.080800e-04,8.275200e-05,3.011040e-04,8.313600e-05,1.235200e-05,
-1.000000,1024,OS2-i8-fast-16,2.617401e+00,5.469760e-04,1.149280e-04,3.034880e-04,8.508800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.551062e+00,5.612000e-04,1.225760e-04,3.051840e-04,8.934400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.365404e+00,6.052480e-04,1.294720e-04,3.350720e-04,9.560000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.309957e+00,6.197760e-04,1.366560e-04,3.365120e-04,9.936000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.271316e+00,6.303200e-04,1.436320e-04,3.377600e-04,1.016800e-04,1.433600e-05,
-1.000000,1024,OS2-i8-accu-9,3.509235e+00,4.079680e-04,1.157280e-04,2.070080e-04,5.264000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.177729e+00,4.505280e-04,1.185120e-04,2.378880e-04,5.878400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.111321e+00,4.601440e-04,1.208000e-04,2.398880e-04,6.249600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.853723e+00,5.016800e-04,1.247840e-04,2.689600e-04,6.987200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.797339e+00,5.117920e-04,1.295680e-04,2.718400e-04,7.158400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.746424e+00,5.212800e-04,1.318720e-04,2.744000e-04,7.561600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.554995e+00,5.603360e-04,1.343680e-04,3.022880e-04,8.236800e-05,1.232000e-05,
-1.000000,1024,OS2-i8-accu-16,2.453617e+00,5.834880e-04,1.514720e-04,3.034560e-04,8.504000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.405659e+00,5.951200e-04,1.575520e-04,3.042720e-04,8.899200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.246453e+00,6.372960e-04,1.613920e-04,3.340480e-04,9.556800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.204284e+00,6.494880e-04,1.674400e-04,3.366080e-04,9.865600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.167494e+00,6.605120e-04,1.726720e-04,3.382880e-04,1.018880e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-9,2.617248e+00,5.470080e-04,9.860800e-05,3.338560e-04,8.033600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.463072e+00,5.812480e-04,1.107840e-04,3.488160e-04,8.563200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-11,2.229882e+00,6.420320e-04,1.221440e-04,3.871200e-04,9.499200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.120293e+00,6.752160e-04,1.346560e-04,4.003520e-04,1.016160e-04,1.228800e-05,
-1.000000,1024,OS2-f8-fast-13,1.547321e+00,9.252480e-04,3.411360e-04,4.356480e-04,1.086720e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.457850e+00,9.820320e-04,3.728320e-04,4.527040e-04,1.150560e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-15,1.347405e+00,1.062528e-03,4.055360e-04,4.892800e-04,1.237120e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-16,1.277862e+00,1.120352e-03,4.397760e-04,5.055360e-04,1.296000e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-17,1.197902e+00,1.195136e-03,4.683200e-04,5.424000e-04,1.383040e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-18,1.149651e+00,1.245296e-03,5.004640e-04,5.539040e-04,1.423840e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-19,1.089872e+00,1.313600e-03,5.278560e-04,5.867840e-04,1.495520e-04,1.435200e-05,
-1.000000,1024,OS2-f8-fast-20,1.025530e+00,1.396016e-03,5.563520e-04,6.272480e-04,1.604640e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-9,2.503665e+00,5.718240e-04,1.243360e-04,3.330240e-04,8.040000e-05,1.022400e-05,
-1.000000,1024,OS2-f8-accu-10,2.368409e+00,6.044800e-04,1.330240e-04,3.487520e-04,8.576000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-11,2.168177e+00,6.603040e-04,1.412480e-04,3.870880e-04,9.446400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-12,2.072413e+00,6.908160e-04,1.506240e-04,4.006880e-04,1.009600e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-13,1.879682e+00,7.616480e-04,1.735840e-04,4.376960e-04,1.109760e-04,1.225600e-05,
-1.000000,1024,OS2-f8-accu-14,1.803202e+00,7.939520e-04,1.830880e-04,4.526720e-04,1.162880e-04,1.238400e-05,
-1.000000,1024,OS2-f8-accu-15,1.674404e+00,8.550240e-04,1.937600e-04,4.899520e-04,1.260000e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-16,1.617558e+00,8.850720e-04,2.018720e-04,5.056640e-04,1.315520e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-17,1.522572e+00,9.402880e-04,2.098240e-04,5.441440e-04,1.401600e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-18,1.476664e+00,9.695200e-04,2.191200e-04,5.577440e-04,1.461120e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-19,1.406651e+00,1.017776e-03,2.279200e-04,5.882240e-04,1.528000e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-20,1.330713e+00,1.075856e-03,2.368960e-04,6.266080e-04,1.613920e-04,1.638400e-05,
-1.000000,1024,OS1-6,6.737838e+00,2.124800e-04,,,,,
-1.000000,1024,OS1-7,6.119442e+00,2.339520e-04,,,,,
-1.000000,1024,OS1-8,5.559051e+00,2.575360e-04,,,,,
-1.000000,1024,OS1-9,5.088631e+00,2.813440e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),5.515193e+00,2.595840e-04,,,,,
-1.000000,2048,OS2-i8-fast-9,1.926132e+01,5.946240e-04,1.491200e-04,3.113280e-04,8.512000e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-10,1.735130e+01,6.600800e-04,1.604000e-04,3.513920e-04,9.574400e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-11,1.639664e+01,6.985120e-04,1.724800e-04,3.693920e-04,1.022720e-04,3.072000e-05,
-1.000000,2048,OS2-i8-fast-12,1.500624e+01,7.632320e-04,1.846720e-04,4.090080e-04,1.129120e-04,3.072000e-05,
-1.000000,2048,OS2-i8-fast-13,1.423995e+01,8.043040e-04,1.976000e-04,4.269760e-04,1.207360e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-14,1.356017e+01,8.446240e-04,2.093440e-04,4.461760e-04,1.278400e-04,3.481600e-05,
-1.000000,2048,OS2-i8-fast-15,1.260882e+01,9.083520e-04,2.240960e-04,4.839360e-04,1.379680e-04,3.481600e-05,
-1.000000,2048,OS2-i8-fast-16,1.127465e+01,1.015840e-03,3.020480e-04,5.012960e-04,1.462880e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-17,1.080593e+01,1.059904e-03,3.176320e-04,5.197440e-04,1.530560e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-18,1.018668e+01,1.124336e-03,3.329760e-04,5.582240e-04,1.632160e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-19,9.790840e+00,1.169792e-03,3.481920e-04,5.767200e-04,1.720640e-04,4.096000e-05,
-1.000000,2048,OS2-i8-fast-20,9.456614e+00,1.211136e-03,3.648800e-04,5.923840e-04,1.794560e-04,4.096000e-05,
-1.000000,2048,OS2-i8-accu-9,1.689868e+01,6.777600e-04,2.324000e-04,3.101760e-04,8.488000e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-10,1.545864e+01,7.408960e-04,2.426240e-04,3.491840e-04,9.536000e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-11,1.470265e+01,7.789920e-04,2.523040e-04,3.683840e-04,1.023040e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-12,1.364781e+01,8.392000e-04,2.617280e-04,4.079520e-04,1.125120e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-13,1.304518e+01,8.779680e-04,2.724640e-04,4.251680e-04,1.207200e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-14,1.248131e+01,9.176320e-04,2.821440e-04,4.450240e-04,1.281120e-04,3.481600e-05,
-1.000000,2048,OS2-i8-accu-15,1.170112e+01,9.788160e-04,2.940320e-04,4.831040e-04,1.381120e-04,3.481600e-05,
-1.000000,2048,OS2-i8-accu-16,1.085690e+01,1.054928e-03,3.411360e-04,5.003520e-04,1.465600e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-17,1.044379e+01,1.096656e-03,3.542400e-04,5.190240e-04,1.531360e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-18,9.897652e+00,1.157168e-03,3.670080e-04,5.564800e-04,1.632320e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-19,9.543354e+00,1.200128e-03,3.789600e-04,5.764960e-04,1.719040e-04,4.096000e-05,
-1.000000,2048,OS2-i8-accu-20,9.251769e+00,1.237952e-03,3.916640e-04,5.914400e-04,1.799200e-04,4.096000e-05,
-1.000000,2048,OS2-f8-fast-9,8.437188e+00,1.357472e-03,2.784160e-04,8.589600e-04,1.673440e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-10,7.812156e+00,1.466080e-03,3.152800e-04,9.088000e-04,1.865600e-04,2.870400e-05,
-1.000000,2048,OS2-f8-fast-11,7.058959e+00,1.622512e-03,3.515520e-04,1.006960e-03,2.041440e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-12,6.620373e+00,1.730000e-03,3.887200e-04,1.058400e-03,2.232320e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-13,5.002990e+00,2.289280e-03,8.311680e-04,1.154976e-03,2.411200e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-14,4.689679e+00,2.442224e-03,9.128960e-04,1.203744e-03,2.605600e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-15,4.321145e+00,2.650512e-03,1.006640e-03,1.298064e-03,2.795200e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-16,4.086079e+00,2.802992e-03,1.087488e-03,1.350240e-03,2.965120e-04,3.891200e-05,
-1.000000,2048,OS2-f8-fast-17,3.823785e+00,2.995264e-03,1.162464e-03,1.443760e-03,3.153920e-04,4.096000e-05,
-1.000000,2048,OS2-f8-fast-18,3.655858e+00,3.132848e-03,1.232784e-03,1.492384e-03,3.329280e-04,4.096000e-05,
-1.000000,2048,OS2-f8-fast-19,3.438405e+00,3.330976e-03,1.310576e-03,1.588480e-03,3.542560e-04,4.300800e-05,
-1.000000,2048,OS2-f8-fast-20,3.267442e+00,3.505264e-03,1.386416e-03,1.671840e-03,3.675360e-04,4.505600e-05,
-1.000000,2048,OS2-f8-accu-9,8.089731e+00,1.415776e-03,3.363840e-04,8.582080e-04,1.688480e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-10,7.562334e+00,1.514512e-03,3.637280e-04,9.086240e-04,1.882080e-04,2.870400e-05,
-1.000000,2048,OS2-f8-accu-11,6.897020e+00,1.660608e-03,3.893600e-04,1.006720e-03,2.053440e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-12,6.512559e+00,1.758640e-03,4.173280e-04,1.057968e-03,2.236960e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-13,5.832590e+00,1.963664e-03,5.041120e-04,1.155168e-03,2.416640e-04,3.481600e-05,
-1.000000,2048,OS2-f8-accu-14,5.552109e+00,2.062864e-03,5.354080e-04,1.203616e-03,2.595200e-04,3.481600e-05,
-1.000000,2048,OS2-f8-accu-15,5.178678e+00,2.211616e-03,5.709760e-04,1.296848e-03,2.769920e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-16,4.937731e+00,2.319536e-03,6.034400e-04,1.349088e-03,2.980320e-04,3.891200e-05,
-1.000000,2048,OS2-f8-accu-17,4.651314e+00,2.462368e-03,6.263520e-04,1.445024e-03,3.142880e-04,4.096000e-05,
-1.000000,2048,OS2-f8-accu-18,4.470879e+00,2.561744e-03,6.607040e-04,1.492912e-03,3.319360e-04,4.096000e-05,
-1.000000,2048,OS2-f8-accu-19,4.218544e+00,2.714976e-03,6.943200e-04,1.590944e-03,3.530080e-04,4.300800e-05,
-1.000000,2048,OS2-f8-accu-20,3.999485e+00,2.863680e-03,7.413600e-04,1.671808e-03,3.689920e-04,4.505600e-05,
-1.000000,2048,OS1-6,1.374029e+01,8.335520e-04,,,,,
-1.000000,2048,OS1-7,1.167536e+01,9.809760e-04,,,,,
-1.000000,2048,OS1-8,9.936120e+00,1.152688e-03,,,,,
-1.000000,2048,OS1-9,8.562227e+00,1.337648e-03,,,,,
-1.000000,2048,ZTRTRMM (GEMM),6.316091e+00,1.813344e-03,,,,,
-1.000000,4096,OS2-i8-fast-9,5.186971e+01,1.766464e-03,4.570080e-04,9.674240e-04,2.281280e-04,9.011200e-05,
-1.000000,4096,OS2-i8-fast-10,4.766149e+01,1.922432e-03,4.960800e-04,1.054592e-03,2.532960e-04,9.420800e-05,
-1.000000,4096,OS2-i8-fast-11,4.352893e+01,2.104944e-03,5.365120e-04,1.163744e-03,2.780000e-04,1.003520e-04,
-1.000000,4096,OS2-i8-fast-12,4.048457e+01,2.263232e-03,5.788640e-04,1.250336e-03,3.026720e-04,1.044480e-04,
-1.000000,4096,OS2-i8-fast-13,3.753194e+01,2.441280e-03,6.180320e-04,1.358512e-03,3.284800e-04,1.065600e-04,
-1.000000,4096,OS2-i8-fast-14,3.524011e+01,2.600048e-03,6.598880e-04,1.446096e-03,3.536000e-04,1.105920e-04,
-1.000000,4096,OS2-i8-fast-15,3.320513e+01,2.759392e-03,7.048480e-04,1.530768e-03,3.784640e-04,1.146880e-04,
