phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.155910e+00,3.510720e-04,5.172800e-05,2.082880e-04,5.484800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.266993e+00,3.940160e-04,5.584000e-05,2.377760e-04,6.211200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,7.090213e+00,4.038400e-04,6.022400e-05,2.400800e-04,6.486400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-12,6.384935e+00,4.484480e-04,6.507200e-05,2.694080e-04,7.235200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.242830e+00,4.586560e-04,6.894400e-05,2.719520e-04,7.473600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.079321e+00,4.709920e-04,7.520000e-05,2.757120e-04,7.744000e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.556807e+00,5.152800e-04,8.041600e-05,3.043200e-04,8.425600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.144807e+00,5.565440e-04,1.182880e-04,3.038880e-04,8.664000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.009292e+00,5.716000e-04,1.256480e-04,3.065600e-04,9.036800e-05,1.841600e-05,
-1.000000,1024,OS2-i8-fast-18,4.647147e+00,6.161440e-04,1.326880e-04,3.350080e-04,9.771200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.558136e+00,6.281760e-04,1.394720e-04,3.351040e-04,1.008960e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.456322e+00,6.425280e-04,1.462080e-04,3.394080e-04,1.039200e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,7.148271e+00,4.005600e-04,9.971200e-05,2.093920e-04,5.478400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.449597e+00,4.439520e-04,1.045280e-04,2.399040e-04,6.172800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.364046e+00,4.499200e-04,1.046880e-04,2.406240e-04,6.507200e-05,1.440000e-05,
-1.000000,1024,OS2-i8-accu-12,5.786619e+00,4.948160e-04,1.103680e-04,2.700160e-04,7.211200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.675948e+00,5.044640e-04,1.144320e-04,2.728160e-04,7.420800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.614865e+00,5.099520e-04,1.155520e-04,2.739200e-04,7.640000e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.166791e+00,5.541760e-04,1.175840e-04,3.050400e-04,8.476800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,5.049148e+00,5.670880e-04,1.276160e-04,3.042080e-04,8.763200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.956982e+00,5.776320e-04,1.313440e-04,3.067200e-04,9.088000e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.633550e+00,6.179520e-04,1.346720e-04,3.354240e-04,9.760000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.529754e+00,6.321120e-04,1.382240e-04,3.386400e-04,1.019200e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.492794e+00,6.373120e-04,1.409600e-04,3.386240e-04,1.044160e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.012660e+00,5.712160e-04,1.110880e-04,3.336800e-04,8.859200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.692476e+00,6.101920e-04,1.268800e-04,3.485600e-04,9.665600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.221579e+00,6.782560e-04,1.421760e-04,3.873920e-04,1.071200e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.984081e+00,7.186880e-04,1.609760e-04,4.005120e-04,1.140000e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,2.484340e+00,1.152544e-03,5.435040e-04,4.377440e-04,1.259360e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,2.314468e+00,1.237136e-03,6.027360e-04,4.543840e-04,1.330080e-04,1.844800e-05,
-1.000000,1024,OS2-f8-fast-15,2.143351e+00,1.335904e-03,6.568000e-04,4.886560e-04,1.419040e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.017189e+00,1.419456e-03,7.152160e-04,5.045760e-04,1.486880e-04,2.051200e-05,
-1.000000,1024,OS2-f8-fast-17,1.886677e+00,1.517648e-03,7.645600e-04,5.418720e-04,1.582720e-04,2.051200e-05,
-1.000000,1024,OS2-f8-fast-18,1.796558e+00,1.593776e-03,8.205280e-04,5.543360e-04,1.650080e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,1.691929e+00,1.692336e-03,8.672160e-04,5.893280e-04,1.790880e-04,2.256000e-05,
-1.000000,1024,OS2-f8-fast-20,1.607027e+00,1.781744e-03,9.166400e-04,6.201600e-04,1.863840e-04,2.256000e-05,
-1.000000,1024,OS2-f8-accu-9,4.964408e+00,5.767680e-04,1.164000e-04,3.342240e-04,8.830400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.681796e+00,6.115840e-04,1.261920e-04,3.499040e-04,9.702400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-11,4.253993e+00,6.730880e-04,1.364640e-04,3.880960e-04,1.068800e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.056601e+00,7.058400e-04,1.460640e-04,4.023680e-04,1.146400e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.681636e+00,7.777280e-04,1.678240e-04,4.388960e-04,1.258560e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-14,3.524648e+00,8.123680e-04,1.799680e-04,4.543360e-04,1.305920e-04,1.846400e-05,
-1.000000,1024,OS2-f8-accu-15,3.285242e+00,8.715680e-04,1.901600e-04,4.906400e-04,1.421760e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.164356e+00,9.048640e-04,1.982880e-04,5.071360e-04,1.487680e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.973646e+00,9.628960e-04,2.072960e-04,5.437600e-04,1.586400e-04,2.051200e-05,
-1.000000,1024,OS2-f8-accu-18,2.874811e+00,9.960000e-04,2.166400e-04,5.575680e-04,1.668000e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.723519e+00,1.051328e-03,2.262720e-04,5.889920e-04,1.794560e-04,2.256000e-05,
-1.000000,1024,OS2-f8-accu-20,2.586756e+00,1.106912e-03,2.357600e-04,6.256000e-04,1.880320e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.357895e+01,2.108640e-04,,,,,
-1.000000,1024,OS1-7,1.235635e+01,2.317280e-04,,,,,
-1.000000,1024,OS1-8,1.126295e+01,2.542240e-04,,,,,
-1.000000,1024,OS1-9,1.028607e+01,2.783680e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),1.177271e+01,2.432160e-04,,,,,
-1.000000,2048,OS2-i8-fast-9,3.721680e+01,6.154880e-04,1.391520e-04,3.140640e-04,1.030080e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-10,3.348354e+01,6.841120e-04,1.520640e-04,3.543200e-04,1.142240e-04,4.092800e-05,
-1.000000,2048,OS2-i8-fast-11,3.115682e+01,7.352000e-04,1.649920e-04,3.720000e-04,1.283520e-04,4.505600e-05,
-1.000000,2048,OS2-i8-fast-12,2.864744e+01,7.996000e-04,1.786720e-04,4.112000e-04,1.387360e-04,4.508800e-05,
-1.000000,2048,OS2-i8-fast-13,2.706241e+01,8.464320e-04,1.910560e-04,4.315040e-04,1.497920e-04,4.713600e-05,
-1.000000,2048,OS2-i8-fast-14,2.562844e+01,8.937920e-04,2.049600e-04,4.477600e-04,1.640960e-04,4.915200e-05,
-1.000000,2048,OS2-i8-fast-15,2.377021e+01,9.636640e-04,2.209440e-04,4.872640e-04,1.753440e-04,5.120000e-05,
-1.000000,2048,OS2-i8-fast-16,2.093737e+01,1.094048e-03,3.198080e-04,5.040800e-04,1.865440e-04,5.324800e-05,
-1.000000,2048,OS2-i8-fast-17,1.995701e+01,1.147792e-03,3.371680e-04,5.223040e-04,2.007360e-04,5.532800e-05,
-1.000000,2048,OS2-i8-fast-18,1.875810e+01,1.221152e-03,3.550240e-04,5.608480e-04,2.157440e-04,5.734400e-05,
-1.000000,2048,OS2-i8-fast-19,1.800893e+01,1.271952e-03,3.733600e-04,5.786400e-04,2.259680e-04,6.147200e-05,
-1.000000,2048,OS2-i8-fast-20,1.732044e+01,1.322512e-03,3.915680e-04,5.954880e-04,2.392640e-04,6.352000e-05,
-1.000000,2048,OS2-i8-accu-9,3.339139e+01,6.860000e-04,2.105120e-04,3.138880e-04,1.022720e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-10,3.044975e+01,7.522720e-04,2.196960e-04,3.537760e-04,1.148160e-04,4.096000e-05,
-1.000000,2048,OS2-i8-accu-11,2.872734e+01,7.973760e-04,2.281280e-04,3.723840e-04,1.278720e-04,4.505600e-05,
-1.000000,2048,OS2-i8-accu-12,2.666125e+01,8.591680e-04,2.376480e-04,4.120640e-04,1.391520e-04,4.508800e-05,
-1.000000,2048,OS2-i8-accu-13,2.546524e+01,8.995200e-04,2.467040e-04,4.297440e-04,1.499520e-04,4.710400e-05,
-1.000000,2048,OS2-i8-accu-14,2.432307e+01,9.417600e-04,2.544480e-04,4.458080e-04,1.644960e-04,4.912000e-05,
-1.000000,2048,OS2-i8-accu-15,2.272794e+01,1.007856e-03,2.667680e-04,4.852320e-04,1.753280e-04,5.120000e-05,
-1.000000,2048,OS2-i8-accu-16,2.119056e+01,1.080976e-03,3.080640e-04,5.022240e-04,1.870240e-04,5.324800e-05,
-1.000000,2048,OS2-i8-accu-17,2.032447e+01,1.127040e-03,3.199520e-04,5.198720e-04,2.000960e-04,5.529600e-05,
-1.000000,2048,OS2-i8-accu-18,1.919290e+01,1.193488e-03,3.322880e-04,5.587200e-04,2.133280e-04,5.734400e-05,
-1.000000,2048,OS2-i8-accu-19,1.847894e+01,1.239600e-03,3.433280e-04,5.772320e-04,2.249600e-04,6.147200e-05,
-1.000000,2048,OS2-i8-accu-20,1.785975e+01,1.282576e-03,3.537760e-04,5.934560e-04,2.384640e-04,6.352000e-05,
-1.000000,2048,OS2-f8-fast-9,1.538604e+01,1.488784e-03,2.982560e-04,8.536320e-04,2.783520e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-10,1.417930e+01,1.615488e-03,3.419840e-04,9.030880e-04,3.076960e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-11,1.276270e+01,1.794800e-03,3.873440e-04,9.995840e-04,3.396320e-04,4.297600e-05,
-1.000000,2048,OS2-f8-fast-12,1.187081e+01,1.929648e-03,4.373440e-04,1.050512e-03,3.694240e-04,4.502400e-05,
-1.000000,2048,OS2-f8-fast-13,7.977843e+00,2.871264e-03,1.249472e-03,1.144544e-03,4.009280e-04,4.710400e-05,
-1.000000,2048,OS2-f8-fast-14,7.392052e+00,3.098800e-03,1.391888e-03,1.196368e-03,4.322240e-04,4.915200e-05,
-1.000000,2048,OS2-f8-fast-15,6.768674e+00,3.384192e-03,1.548944e-03,1.289808e-03,4.645760e-04,5.120000e-05,
-1.000000,2048,OS2-f8-fast-16,6.356135e+00,3.603840e-03,1.682368e-03,1.342448e-03,4.918880e-04,5.529600e-05,
-1.000000,2048,OS2-f8-fast-17,5.940850e+00,3.855760e-03,1.805376e-03,1.435792e-03,5.238400e-04,5.734400e-05,
-1.000000,2048,OS2-f8-fast-18,5.666647e+00,4.042336e-03,1.917792e-03,1.482240e-03,5.471680e-04,5.939200e-05,
-1.000000,2048,OS2-f8-fast-19,5.324298e+00,4.302256e-03,2.042912e-03,1.580256e-03,5.826880e-04,6.144000e-05,
-1.000000,2048,OS2-f8-fast-20,5.035137e+00,4.549328e-03,2.167232e-03,1.666096e-03,6.139040e-04,6.553600e-05,
-1.000000,2048,OS2-f8-accu-9,1.516681e+01,1.510304e-03,3.201920e-04,8.527040e-04,2.776160e-04,3.481600e-05,
-1.000000,2048,OS2-f8-accu-10,1.410679e+01,1.623792e-03,3.493440e-04,9.024000e-04,3.096320e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-11,1.284227e+01,1.783680e-03,3.757920e-04,9.984160e-04,3.387520e-04,4.297600e-05,
-1.000000,2048,OS2-f8-accu-12,1.207720e+01,1.896672e-03,4.058880e-04,1.049792e-03,3.676800e-04,4.505600e-05,
-1.000000,2048,OS2-f8-accu-13,1.074454e+01,2.131920e-03,5.059520e-04,1.146704e-03,4.034400e-04,4.710400e-05,
-1.000000,2048,OS2-f8-accu-14,1.018900e+01,2.248160e-03,5.409920e-04,1.196288e-03,4.312000e-04,4.912000e-05,
-1.000000,2048,OS2-f8-accu-15,9.498841e+00,2.411504e-03,5.774240e-04,1.289824e-03,4.611200e-04,5.120000e-05,
-1.000000,2048,OS2-f8-accu-16,9.040457e+00,2.533776e-03,6.115200e-04,1.342816e-03,4.936000e-04,5.529600e-05,
-1.000000,2048,OS2-f8-accu-17,8.505155e+00,2.693248e-03,6.437760e-04,1.436528e-03,5.228640e-04,5.734400e-05,
-1.000000,2048,OS2-f8-accu-18,8.162466e+00,2.806320e-03,6.784320e-04,1.484672e-03,5.500160e-04,5.939200e-05,
-1.000000,2048,OS2-f8-accu-19,7.691533e+00,2.978144e-03,7.189280e-04,1.578896e-03,5.819040e-04,6.144000e-05,
-1.000000,2048,OS2-f8-accu-20,7.284334e+00,3.144624e-03,7.732320e-04,1.664480e-03,6.101120e-04,6.553600e-05,
-1.000000,2048,OS1-6,2.744476e+01,8.346400e-04,,,,,
-1.000000,2048,OS1-7,2.330283e+01,9.829920e-04,,,,,
-1.000000,2048,OS1-8,1.992673e+01,1.149536e-03,,,,,
-1.000000,2048,OS1-9,1.714435e+01,1.336096e-03,,,,,
-1.000000,2048,ZTRTRMM (GEMM),1.265966e+01,1.809408e-03,,,,,
-1.000000,4096,OS2-i8-fast-9,8.442300e+01,2.170640e-03,4.227360e-04,1.247584e-03,3.512320e-04,1.238720e-04,
-1.000000,4096,OS2-i8-fast-10,7.825715e+01,2.341664e-03,4.597600e-04,1.331232e-03,3.900320e-04,1.351680e-04,
-1.000000,4096,OS2-i8-fast-11,7.093418e+01,2.583408e-03,5.025280e-04,1.476384e-03,4.292640e-04,1.495040e-04,
-1.000000,4096,OS2-i8-fast-12,6.654918e+01,2.753632e-03,5.470080e-04,1.559136e-03,4.674240e-04,1.536000e-04,
-1.000000,4096,OS2-i8-fast-13,6.133258e+01,2.987840e-03,5.862720e-04,1.704128e-03,5.058080e-04,1.617600e-04,
-1.000000,4096,OS2-i8-fast-14,5.791868e+01,3.163952e-03,6.317600e-04,1.788416e-03,5.449920e-04,1.679040e-04,
-1.000000,4096,OS2-i8-fast-15,5.498702e+01,3.332640e-03,6.808960e-04,1.863072e-03,5.798720e-04,1.761440e-04,
-1.000000,4096,OS2-i8-fast-16,4.767438e+01,3.843824e-03,9.951200e-04,2.009632e-03,6.196800e-04,1.863680e-04,
-1.000000,4096,OS2-i8-fast-17,4.539085e+01,4.037200e-03,1.053840e-03,2.093072e-03,6.588800e-04,1.966080e-04,
-1.000000,4096,OS2-i8-fast-18,4.348184e+01,4.214448e-03,1.119264e-03,2.166192e-03,6.932000e-04,2.027200e-04,
-1.000000,4096,OS2-i8-fast-19,4.097968e+01,4.471776e-03,1.180000e-03,2.308800e-03,7.333120e-04,2.129920e-04,
-1.000000,4096,OS2-i8-fast-20,3.936310e+01,4.655424e-03,1.238368e-03,2.390512e-03,7.702080e-04,2.191360e-04,
-1.000000,4096,OS2-i8-accu-9,7.563343e+01,2.422896e-03,6.762080e-04,1.246224e-03,3.509760e-04,1.248960e-04,
-1.000000,4096,OS2-i8-accu-10,7.069381e+01,2.592192e-03,7.105600e-04,1.330224e-03,3.901440e-04,1.351680e-04,
-1.000000,4096,OS2-i8-accu-11,6.492181e+01,2.822656e-03,7.419840e-04,1.475136e-03,4.288480e-04,1.495040e-04,
