phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.972584e+00,3.603840e-04,6.814400e-05,2.071680e-04,5.262400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.550452e+00,4.032320e-04,7.134400e-05,2.377920e-04,5.920000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.451702e+00,4.147680e-04,7.515200e-05,2.395680e-04,6.326400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.142683e+00,4.555520e-04,7.881600e-05,2.679200e-04,6.990400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.077188e+00,4.652480e-04,8.265600e-05,2.714240e-04,7.300800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.994995e+00,4.780160e-04,8.827200e-05,2.729760e-04,7.627200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.750730e+00,5.204640e-04,9.302400e-05,3.020800e-04,8.332800e-05,1.238400e-05,
-1.000000,1024,OS2-i8-fast-16,2.557771e+00,5.597280e-04,1.256000e-04,3.050720e-04,8.502400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.499050e+00,5.728800e-04,1.326240e-04,3.047360e-04,8.985600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.328592e+00,6.148160e-04,1.390080e-04,3.346240e-04,9.542400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.278139e+00,6.284320e-04,1.464960e-04,3.365760e-04,9.908800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.234448e+00,6.407200e-04,1.540640e-04,3.379200e-04,1.010880e-04,1.433600e-05,
-1.000000,1024,OS2-i8-accu-9,3.508823e+00,4.080160e-04,1.157120e-04,2.067840e-04,5.230400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.187577e+00,4.491360e-04,1.176800e-04,2.370240e-04,5.875200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.106137e+00,4.609120e-04,1.217760e-04,2.402240e-04,6.220800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.852267e+00,5.019360e-04,1.248000e-04,2.682720e-04,6.976000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.806640e+00,5.100960e-04,1.274720e-04,2.709920e-04,7.252800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.740284e+00,5.224480e-04,1.316320e-04,2.736480e-04,7.699200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.557040e+00,5.598880e-04,1.328640e-04,3.022720e-04,8.318400e-05,1.235200e-05,
-1.000000,1024,OS2-i8-accu-16,2.449653e+00,5.844320e-04,1.512320e-04,3.035840e-04,8.545600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.396060e+00,5.975040e-04,1.563360e-04,3.051360e-04,8.979200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.238473e+00,6.395680e-04,1.623840e-04,3.354880e-04,9.590400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.204827e+00,6.493280e-04,1.667040e-04,3.368480e-04,9.900800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.175557e+00,6.580640e-04,1.714560e-04,3.376320e-04,1.014880e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-9,2.596515e+00,5.513760e-04,1.086720e-04,3.320640e-04,7.691200e-05,1.020800e-05,
