phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.023177e+00,3.568800e-04,5.736000e-05,2.084160e-04,5.460800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.129192e+00,4.016320e-04,6.140800e-05,2.402880e-04,6.211200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.980962e+00,4.101600e-04,6.540800e-05,2.410400e-04,6.516800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-12,6.305298e+00,4.541120e-04,6.886400e-05,2.716800e-04,7.220800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.194855e+00,4.622080e-04,7.300800e-05,2.724480e-04,7.427200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.063460e+00,4.722240e-04,7.804800e-05,2.735840e-04,7.694400e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.537892e+00,5.170400e-04,8.284800e-05,3.029120e-04,8.494400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.205415e+00,5.500640e-04,1.137600e-04,3.011360e-04,8.748800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.050716e+00,5.669120e-04,1.219680e-04,3.046400e-04,9.120000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.677024e+00,6.122080e-04,1.297600e-04,3.345920e-04,9.684800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.559181e+00,6.280320e-04,1.360000e-04,3.381920e-04,1.016160e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.490652e+00,6.376160e-04,1.425920e-04,3.387680e-04,1.040960e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.910336e+00,4.143520e-04,1.134400e-04,2.104480e-04,5.408000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.259644e+00,4.574240e-04,1.172480e-04,2.408320e-04,6.176000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.129503e+00,4.671360e-04,1.217120e-04,2.408320e-04,6.491200e-05,1.436800e-05,
-1.000000,1024,OS2-i8-accu-12,5.636973e+00,5.079520e-04,1.232480e-04,2.703040e-04,7.209600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.544068e+00,5.164640e-04,1.271520e-04,2.728960e-04,7.403200e-05,1.636800e-05,
-1.000000,1024,OS2-i8-accu-14,5.416373e+00,5.286400e-04,1.315040e-04,2.762560e-04,7.707200e-05,1.636800e-05,
-1.000000,1024,OS2-i8-accu-15,5.026458e+00,5.696480e-04,1.350720e-04,3.039680e-04,8.456000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.847549e+00,5.906720e-04,1.518560e-04,3.040160e-04,8.691200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.781749e+00,5.988000e-04,1.562560e-04,3.034400e-04,9.044800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.438857e+00,6.450560e-04,1.615040e-04,3.348320e-04,9.732800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.345620e+00,6.588960e-04,1.670400e-04,3.389280e-04,1.011840e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.295552e+00,6.665760e-04,1.715360e-04,3.383040e-04,1.037760e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.120957e+00,5.591360e-04,9.892800e-05,3.342720e-04,8.928000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.798288e+00,5.967360e-04,1.108480e-04,3.500480e-04,9.718400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.334988e+00,6.605120e-04,1.229920e-04,3.888640e-04,1.072480e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,4.133337e+00,6.927360e-04,1.351360e-04,4.016320e-04,1.141440e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,3.012338e+00,9.505280e-04,3.409920e-04,4.375200e-04,1.260000e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,2.858509e+00,1.001680e-03,3.729920e-04,4.516480e-04,1.308800e-04,1.846400e-05,
-1.000000,1024,OS2-f8-fast-15,2.645570e+00,1.082304e-03,4.045600e-04,4.887360e-04,1.402400e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.510021e+00,1.140752e-03,4.396480e-04,5.038880e-04,1.466560e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,2.342921e+00,1.222112e-03,4.692160e-04,5.413440e-04,1.581760e-04,2.051200e-05,
-1.000000,1024,OS2-f8-fast-18,2.243243e+00,1.276416e-03,5.007360e-04,5.557440e-04,1.647680e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,2.125354e+00,1.347216e-03,5.284480e-04,5.850240e-04,1.774560e-04,2.256000e-05,
-1.000000,1024,OS2-f8-fast-20,2.001241e+00,1.430768e-03,5.577600e-04,6.260800e-04,1.900800e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-9,4.907502e+00,5.834560e-04,1.227040e-04,3.341600e-04,8.876800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.647750e+00,6.160640e-04,1.316320e-04,3.492000e-04,9.702400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.219987e+00,6.785120e-04,1.407520e-04,3.884320e-04,1.071520e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.038476e+00,7.090080e-04,1.502560e-04,4.016160e-04,1.145440e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.655316e+00,7.833280e-04,1.721920e-04,4.395040e-04,1.255200e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-14,3.518066e+00,8.138880e-04,1.831040e-04,4.526240e-04,1.314240e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.279703e+00,8.730400e-04,1.921600e-04,4.904960e-04,1.422400e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.159105e+00,9.063680e-04,2.011520e-04,5.059360e-04,1.485280e-04,2.051200e-05,
-1.000000,1024,OS2-f8-accu-17,2.972658e+00,9.632160e-04,2.083840e-04,5.428000e-04,1.587200e-04,2.051200e-05,
-1.000000,1024,OS2-f8-accu-18,2.861755e+00,1.000544e-03,2.183360e-04,5.598240e-04,1.683040e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-19,2.722317e+00,1.051792e-03,2.270880e-04,5.869760e-04,1.809760e-04,2.256000e-05,
-1.000000,1024,OS2-f8-accu-20,2.583768e+00,1.108192e-03,2.356800e-04,6.244160e-04,1.906080e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.345642e+01,2.127840e-04,,,,,
-1.000000,1024,OS1-7,1.228004e+01,2.331680e-04,,,,,
-1.000000,1024,OS1-8,1.120161e+01,2.556160e-04,,,,,
-1.000000,1024,OS1-9,1.019407e+01,2.808800e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),1.106038e+01,2.588800e-04,,,,,
