phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.017426e+00,3.571360e-04,5.774400e-05,2.081440e-04,5.510400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.162863e+00,3.997440e-04,6.142400e-05,2.388000e-04,6.198400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.983686e+00,4.100000e-04,6.515200e-05,2.402240e-04,6.579200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-12,6.319102e+00,4.531200e-04,6.916800e-05,2.700800e-04,7.248000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.203660e+00,4.615520e-04,7.201600e-05,2.726560e-04,7.403200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.078908e+00,4.710240e-04,7.790400e-05,2.736320e-04,7.684800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.529336e+00,5.178400e-04,8.260800e-05,3.032960e-04,8.515200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.153994e+00,5.555520e-04,1.141920e-04,3.068000e-04,8.656000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.039338e+00,5.681920e-04,1.221760e-04,3.062720e-04,9.044800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.662280e+00,6.141440e-04,1.292640e-04,3.359360e-04,9.728000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.561272e+00,6.277440e-04,1.361920e-04,3.366240e-04,1.015840e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.476386e+00,6.396480e-04,1.430560e-04,3.392800e-04,1.042720e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.932555e+00,4.130240e-04,1.125760e-04,2.088160e-04,5.488000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.294431e+00,4.548960e-04,1.157120e-04,2.394560e-04,6.160000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.162430e+00,4.646400e-04,1.183680e-04,2.408640e-04,6.526400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-12,5.616098e+00,5.098400e-04,1.241920e-04,2.704480e-04,7.307200e-05,1.640000e-05,
